"","ResponseId","Article_day","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Ideology_Score","Treat_Search","True_Dummy","Article","X","Search_Online"
"14","R_0ilm8GyerAgVl2p","jan 14_3","424","1","True",5,1,66,0,0,"2",0,"1","1205","1","1",1,1,"3",13435,0
"15","R_0lynLGEkK9I60XD","dec 19_3","2863","1","True",4,1,20,1,1,"3",0,"0","611","3.4","-1",1,1,"3",12470,0
"16","R_0lynLGEkK9I60XD","dec 19_3","6061","0","CND",4,1,20,1,1,"3",0,"0","611","3.4","-1",0,0,"3",12470,0
"17","R_0Sqx2u12JB3VKM1","dec 9_2","2147","0","CND",5,1,36,1,1,"2",0,"0","472","4.4","2",1,0,"2",11459,0
"18","R_0Sqx2u12JB3VKM1","dec 9_2","5345","0","CND",5,1,36,1,1,"2",0,"0","472","4.4","2",0,0,"2",11459,0
"19","R_0TdGWOlHGDQT8LT","jan 9_1","3341","0","FM",3,4,35,1,2,"0",0,"0","1005","3.3","-2",0,0,"1",13164,0
"20","R_0TdGWOlHGDQT8LT","jan 9_1","143","0","Misl/False",1,4,35,1,2,"0",0,"0","1005","3.3","-2",1,0,"1",13164,0
"21","R_0TK35lTcQgEaUyl","jan 6_2","2959","0","Misl/False",3,3,30,1,1,"1",1,"1","709","4.3","-2",1,0,"2",12679,0
"22","R_0TK35lTcQgEaUyl","jan 6_2","6157","0","T",6,3,30,1,1,"1",1,"1","709","4.3","-2",0,1,"2",12679,0
"23","R_0Tl4DWttXqng41z","jan 28_3","1199","1","True",6,1,42,1,1,"1",0,"0","1723","2.3","2",1,1,"3",14701,1
"24","R_0Tl4DWttXqng41z","jan 28_3","4397","0","CND",5,1,42,1,1,"1",0,"0","1723","2.3","2",0,0,"3",14701,1
"25","R_10B1Gr0ws5ErjTB","jan 8_3","72","0","CND",4,2,72,0,1,"1",0,"0","951","2.2","-1",1,0,"3",12926,0
"26","R_10B1Gr0ws5ErjTB","jan 8_3","3270","0","T",5,2,72,0,1,"1",0,"0","951","2.2","-1",0,1,"3",12926,0
"27","R_10Jcpo11MUN4GjG","jan 6_2","6147","0","CND",4,1,66,1,0,"3",0,"0","1616","2.3","0",0,0,"2",12638,0
"28","R_10Jcpo11MUN4GjG","jan 6_2","2949","1","True",6,1,66,1,0,"3",0,"0","1616","2.3","0",1,1,"2",12638,0
"29","R_10oTnVvzpopUnpj","jan 6_3","2977","0","CND",4,3,24,1,1,"2",0,"0","937","5","-3",1,0,"3",12601,0
"30","R_10oTnVvzpopUnpj","jan 6_3","6175","0","CND",4,3,24,1,1,"2",0,"0","937","5","-3",0,0,"3",12601,0
"31","R_10pzKNjPNspbZjg","jan 23_3","934","1","True",6,4,43,0,1,"2",0,"1","1182","4.1","0",1,1,"3",14266,0
"32","R_10pzKNjPNspbZjg","jan 23_3","4132","0","T",5,4,43,0,1,"2",0,"1","1182","4.1","0",0,1,"3",14266,0
"33","R_10rbun1QOs4ov7O","dec 11_2","5545","0","FM",2,2,33,1,0,"2",1,"0","1166","2.3","-2",0,0,"2",11744,0
"34","R_10rbun1QOs4ov7O","dec 11_2","2347","0","Misl/False",2,2,33,1,0,"2",1,"0","1166","2.3","-2",1,0,"2",11744,0
"35","R_10Tb4PeqCdAj8BS","jan 13_3","3457","0","T",5,3,36,0,0,"2",0,"0","2334","1.8","0",0,1,"3",13247,0
"36","R_10Tb4PeqCdAj8BS","jan 13_3","259","0","Misl/False",4,3,36,0,0,"2",0,"0","2334","1.8","0",1,0,"3",13247,0
"37","R_11d98RTRuTlVLuI","jan 15_2","3730","0","CND",3,3,40,0,3,"2",0,"0","584","4.2","2",0,0,"2",13605,0
"38","R_11d98RTRuTlVLuI","jan 15_2","532","0","Misl/False",4,3,40,0,3,"2",0,"0","584","4.2","2",1,0,"2",13605,0
"39","R_11jzqjH2m9JxaCX","dec 12_3","5650","0","CND",4,1,56,1,1,"3",NA,"0","5712","1.6",NA,0,0,"3",11855,0
"40","R_11jzqjH2m9JxaCX","dec 12_3","2452","1","True",6,1,56,1,1,"3",NA,"0","5712","1.6",NA,1,1,"3",11855,0
"41","R_11WQ3P2tz1hdZ5A","jan 15_3","600","0","Misl/False",2,3,76,0,1,"1",0,"0","1581","2.4","2",1,0,"3",13762,0
"42","R_11WQ3P2tz1hdZ5A","jan 15_3","3798","0","T",7,3,76,0,1,"1",0,"0","1581","2.4","2",0,1,"3",13762,0
"43","R_12Dp2Vedz40o7XY","jan 15_3","574","1","True",5,1,19,1,0,"3",NA,"0","1500","3.3",NA,1,1,"3",13647,0
"44","R_12Dp2Vedz40o7XY","jan 15_3","3772","0","T",4,1,19,1,0,"3",NA,"0","1500","3.3",NA,0,1,"3",13647,0
"45","R_12EJe6o87ErBmu8","dec 16_3","2600","1","True",7,3,57,1,2,"1",0,"1","1780","4.8","0",1,1,"3",12091,0
"46","R_12EJe6o87ErBmu8","dec 16_3","5798","0","T",7,3,57,1,2,"1",0,"1","1780","4.8","0",0,1,"3",12091,0
"47","R_12eVaHGOTOilupf","dec 9_3","2181","0","CND",4,1,30,1,0,"1",0,"0","989","2","-1",1,0,"3",11475,0
"48","R_12eVaHGOTOilupf","dec 9_3","5379","0","T",7,1,30,1,0,"1",0,"0","989","2","-1",0,1,"3",11475,0
"49","R_12gNZGBPwOyZOpX","dec 19_2","2843","1","True",6,4,45,0,0,"1",1,"0","2768","5","-2",1,1,"2",12528,0
"50","R_12gNZGBPwOyZOpX","dec 19_2","6041","0","T",6,4,45,0,0,"1",1,"0","2768","5","-2",0,1,"2",12528,0
"51","R_12hvJGKKMxfZx1l","dec 11_2","5539","0","FM",1,4,34,1,2,"3",0,"0","1155","4.1","2",0,0,"2",11712,0
"52","R_12hvJGKKMxfZx1l","dec 11_2","2341","0","Misl/False",1,4,34,1,2,"3",0,"0","1155","4.1","2",1,0,"2",11712,0
"53","R_12KcfkaD6KskMj9","jan 14_1","406","1","True",7,2,40,1,0,"1",0,"1","1480","4","-1",1,1,"1",13562,0
"54","R_12KcfkaD6KskMj9","jan 14_1","3604","0","T",4,2,40,1,0,"1",0,"1","1480","4","-1",0,1,"1",13562,0
"55","R_12Kjnjz1mwS0OJB","dec 3_3","1813","0","CND",4,4,43,1,1,"2",0,"0","1197","3.5","-2",1,0,"3",11005,0
"56","R_12Kjnjz1mwS0OJB","dec 3_3","5011","0","CND",4,4,43,1,1,"2",0,"0","1197","3.5","-2",0,0,"3",11005,0
"57","R_12m2Rs46JOLXZoc","dec 11_2","5534","0","FM",3,0,41,0,0,"2",0,"0","1232","3.9","0",0,0,"2",11699,0
"58","R_12m2Rs46JOLXZoc","dec 11_2","2336","0","Misl/False",2,0,41,0,0,"2",0,"0","1232","3.9","0",1,0,"2",11699,0
"59","R_12mrXshI94xkX02","jan 6_2","6144","0","CND",4,1,69,1,1,"2",NA,"1","1451","4.1",NA,0,0,"2",12615,0
"60","R_12mrXshI94xkX02","jan 6_2","2946","0","CND",4,1,69,1,1,"2",NA,"1","1451","4.1",NA,1,0,"2",12615,0
"61","R_12nlVwCAosIoQ33","jan 14_1","3589","0","CND",5,2,45,0,1,"0",0,"0","594","4.8","0",0,0,"1",13501,1
"62","R_12nlVwCAosIoQ33","jan 14_1","391","1","True",5,2,45,0,1,"0",0,"0","594","4.8","0",1,1,"1",13501,1
"63","R_12PhCzdjUNqNrRT","dec 5_1","5158","0","CND",6,4,65,0,1,"0",0,"0","1409","4.7","-2",0,0,"1",11252,1
"64","R_12PhCzdjUNqNrRT","dec 5_1","1960","1","True",7,4,65,0,1,"0",0,"0","1409","4.7","-2",1,1,"1",11252,1
"65","R_12QZYC1ix5IIqB2","jan 7_1","3092","0","CND",4,1,62,0,0,"2",0,"1","1485","2.5","3",1,0,"1",12824,0
"66","R_12QZYC1ix5IIqB2","jan 7_1","6290","0","T",5,1,62,0,0,"2",0,"1","1485","2.5","3",0,1,"1",12824,0
"67","R_12r91G1qYiTLPCV","dec 10_3","2232","1","True",7,5,32,0,2,"1",0,"0","2442","2.1","2",1,1,"3",11484,0
"68","R_12r91G1qYiTLPCV","dec 10_3","5430","0","T",7,5,32,0,2,"1",0,"0","2442","2.1","2",0,1,"3",11484,0
"69","R_12rO0KzUscY7M4k","jan 23_3","935","0","Misl/False",3,3,23,1,0,"1",0,"0","505","2.7","-2",1,0,"3",14267,0
"70","R_12rO0KzUscY7M4k","jan 23_3","4133","0","CND",3,3,23,1,0,"1",0,"0","505","2.7","-2",0,0,"3",14267,0
"71","R_12RsboIkDoYhBGg","feb 5_2","1376","0","Misl/False",2,3,45,1,1,"1",0,"1","1946","4.3","2",1,0,"2",15026,0
"72","R_12RsboIkDoYhBGg","feb 5_2","4574","0","FM",1,3,45,1,1,"1",0,"1","1946","4.3","2",0,0,"2",15026,0
"73","R_12zCKKPWKOKcoXU","jan 9_3","3379","0","CND",4,3,40,1,1,"1",1,"0","712","4.5","-2",0,0,"3",13183,0
"74","R_12zCKKPWKOKcoXU","jan 9_3","181","1","True",6,3,40,1,1,"1",1,"0","712","4.5","-2",1,1,"3",13183,0
"75","R_1BQniB4R2eerVrO","dec 3_3","1805","1","True",5,4,27,1,2,"2",0,"0","600","3.7","-3",1,1,"3",10978,0
"76","R_1BQniB4R2eerVrO","dec 3_3","5003","0","T",6,4,27,1,2,"2",0,"0","600","3.7","-3",0,1,"3",10978,0
"77","R_1BQuCEMlVEKgRXm","dec 9_1","2119","1","True",6,2,38,1,0,"1",0,"0","1276","3.8","-2",1,1,"1",11460,1
"78","R_1BQuCEMlVEKgRXm","dec 9_1","5317","0","CND",3,2,38,1,0,"1",0,"0","1276","3.8","-2",0,0,"1",11460,1
"79","R_1BWANIOcunwSUHT","jan 23_3","4116","0","CND",4,1,59,1,0,"0",0,"1","3475","4.6","0",0,0,"3",14215,0
"80","R_1BWANIOcunwSUHT","jan 23_3","918","1","True",7,1,59,1,0,"0",0,"1","3475","4.6","0",1,1,"3",14215,0
"81","R_1BWNwuQO7d8NWws","jan 23_3","4115","0","CND",3,3,30,1,1,"2",0,"0","1232","4.6","-2",0,0,"3",14203,0
"82","R_1BWNwuQO7d8NWws","jan 23_3","917","0","Misl/False",4,3,30,1,1,"2",0,"0","1232","4.6","-2",1,0,"3",14203,0
"83","R_1C1s7sIESzDvjdR","dec 16_3","5785","0","T",7,3,58,1,1,"0",0,"0","777","4.5","-3",0,1,"3",12040,0
"84","R_1C1s7sIESzDvjdR","dec 16_3","2587","1","True",7,3,58,1,1,"0",0,"0","777","4.5","-3",1,1,"3",12040,0
"85","R_1C421Rvf5OBg7mw","dec 10_3","5457","0","T",6,1,54,1,0,"1",0,"1","985","4.7","2",0,1,"3",11607,0
"86","R_1C421Rvf5OBg7mw","dec 10_3","2259","1","True",5,1,54,1,0,"1",0,"1","985","4.7","2",1,1,"3",11607,0
"87","R_1C7m5fmrq9M8ecV","dec 2_1","4904","0","FM",1,1,66,0,0,"2",0,"0","611","4","-3",0,0,"1",10773,0
"88","R_1C7m5fmrq9M8ecV","dec 2_1","1706","1","True",7,1,66,0,0,"2",0,"0","611","4","-3",1,1,"1",10773,0
"89","R_1C8QK94A6mmuvyK","dec 18_2","2730","0","Misl/False",2,1,80,0,1,"3",0,"0","1393","3.1","1",1,0,"2",12291,0
"90","R_1C8QK94A6mmuvyK","dec 18_2","5928","0","FM",2,1,80,0,1,"3",0,"0","1393","3.1","1",0,0,"2",12291,0
"91","R_1Ca33vDGmJ2tFOk","jan 28_3","1178","0","CND",6,2,57,0,2,"1",0,"1","2151","3","2",1,0,"3",14609,0
"92","R_1Ca33vDGmJ2tFOk","jan 28_3","4376","0","T",6,2,57,0,2,"1",0,"1","2151","3","2",0,1,"3",14609,0
"93","R_1CC7w8Ksl0eiVvw","jan 23_3","937","1","True",6,4,27,1,0,"1",0,"1","1017","4.6","0",1,1,"3",14280,0
"94","R_1CC7w8Ksl0eiVvw","jan 23_3","4135","0","T",6,4,27,1,0,"1",0,"1","1017","4.6","0",0,1,"3",14280,0
"95","R_1CC8wfvpMPR92xy","jan 8_2","3249","0","CND",3,1,18,0,3,"3",0,"1","637","4.4","3",0,0,"2",12976,0
"96","R_1CC8wfvpMPR92xy","jan 8_2","51","1","True",6,1,18,0,3,"3",0,"1","637","4.4","3",1,1,"2",12976,0
"97","R_1CEC5XKptifXokV","dec 12_3","2473","1","True",4,3,24,0,1,"0",NA,"1","484","3.8",NA,1,1,"3",11934,1
"98","R_1CEC5XKptifXokV","dec 12_3","5671","0","T",5,3,24,0,1,"0",NA,"1","484","3.8",NA,0,1,"3",11934,1
"99","R_1CEIHrRjvaeCS7T","dec 19_3","2854","1","True",4,1,21,1,0,"1",1,"1","961","3","1",1,1,"3",12432,1
"100","R_1CEIHrRjvaeCS7T","dec 19_3","6052","0","T",4,1,21,1,0,"1",1,"1","961","3","1",0,1,"3",12432,1
"101","R_1CEjMO82igwbJy2","nov 20_2","4724","0","CND",2,1,57,1,0,"0",1,"0","980","1.7","-3",0,0,"2",10476,0
"102","R_1CEjMO82igwbJy2","nov 20_2","1526","0","CND",4,1,57,1,0,"0",1,"0","980","1.7","-3",1,0,"2",10476,0
"103","R_1CIO1krgbUTHpE9","jan 9_3","179","1","True",7,4,35,0,0,"0",1,"1","2049","4.2","-3",1,1,"3",13179,1
"104","R_1CIO1krgbUTHpE9","jan 9_3","3377","0","T",3,4,35,0,0,"0",1,"1","2049","4.2","-3",0,1,"3",13179,1
"105","R_1cUH87vXn7npJPF","jan 15_2","563","1","True",6,4,64,0,0,"3",1,"0","2338","3.4","-2",1,1,"2",13771,0
"106","R_1cUH87vXn7npJPF","jan 15_2","3761","0","T",5,4,64,0,0,"3",1,"0","2338","3.4","-2",0,1,"2",13771,0
"107","R_1cYuApnE7IJTXln","jan 21_2","695","1","True",5,4,43,0,0,"4",0,"0","3387","3","2",1,1,"2",13908,0
"108","R_1cYuApnE7IJTXln","jan 21_2","3893","0","T",4,4,43,0,0,"4",0,"0","3387","3","2",0,1,"2",13908,0
"109","R_1d4tP7Kd9fS8YQH","dec 18_2","2728","0","CND",4,1,26,0,0,"1",0,"1","748","3.9","1",1,0,"2",12275,1
"110","R_1d4tP7Kd9fS8YQH","dec 18_2","5926","0","T",6,1,26,0,0,"1",0,"1","748","3.9","1",0,1,"2",12275,1
"111","R_1d7i8TWil1tLcnq","dec 12_3","5657","0","T",5,3,42,0,3,"3",0,"0","1839","4.2","-2",0,1,"3",11876,0
"112","R_1d7i8TWil1tLcnq","dec 12_3","2459","1","True",7,3,42,0,3,"3",0,"0","1839","4.2","-2",1,1,"3",11876,0
"113","R_1DAxsJiBAZFIVnw","dec 9_3","5351","0","T",4,2,51,0,1,"1",1,"1","799","2.8","1",0,1,"3",11378,0
"114","R_1DAxsJiBAZFIVnw","dec 9_3","2153","1","True",4,2,51,0,1,"1",1,"1","799","2.8","1",1,1,"3",11378,0
"115","R_1DBXglKzYk0GZI4","jan 27_2","4302","0","CND",4,1,42,1,0,"2",NA,"0","762","2.9",NA,0,0,"2",14497,0
"116","R_1DBXglKzYk0GZI4","jan 27_2","1104","0","CND",4,1,42,1,0,"2",NA,"0","762","2.9",NA,1,0,"2",14497,0
"117","R_1DI44xM4zB6EWW7","dec 9_3","5350","0","T",5,4,72,0,2,"0",1,"1","1923","3.5","2",0,1,"3",11364,0
"118","R_1DI44xM4zB6EWW7","dec 9_3","2152","0","CND",4,4,72,0,2,"0",1,"1","1923","3.5","2",1,0,"3",11364,0
"119","R_1dKr8phEYUL44v6","jan 14_1","3585","0","CND",4,1,34,0,0,"3",0,"0","864","4","0",0,0,"1",13492,0
"120","R_1dKr8phEYUL44v6","jan 14_1","387","1","True",7,1,34,0,0,"3",0,"0","864","4","0",1,1,"1",13492,0
"121","R_1DMSCcTNUkTrnUu","jan 14_1","3605","0","T",6,3,64,1,2,"2",0,"1","1633","4.6","0",0,1,"1",13567,1
"122","R_1DMSCcTNUkTrnUu","jan 14_1","407","1","True",7,3,64,1,2,"2",0,"1","1633","4.6","0",1,1,"1",13567,1
"123","R_1dpsmIN2QyUf6yU","dec 2_1","4917","0","T",7,4,39,0,3,"2",0,"0","1116","4.6","0",0,1,"1",10832,0
"124","R_1dpsmIN2QyUf6yU","dec 2_1","1719","0","Misl/False",1,4,39,0,3,"2",0,"0","1116","4.6","0",1,0,"1",10832,0
"125","R_1DRSUD1HEv2vp62","jan 22_2","3995","0","T",7,1,36,1,0,"3",0,"0","653","4","3",0,1,"2",14111,0
"126","R_1DRSUD1HEv2vp62","jan 22_2","797","1","True",7,1,36,1,0,"3",0,"0","653","4","3",1,1,"2",14111,0
"127","R_1DSDWgFQVPiCadg","dec 19_3","2867","1","True",7,3,71,1,1,"0",0,"0","1494","4","-2",1,1,"3",12497,1
"128","R_1DSDWgFQVPiCadg","dec 19_3","6065","0","T",5,3,71,1,1,"0",0,"0","1494","4","-2",0,1,"3",12497,1
"129","R_1DSIwng0h72HsMf","jan 7_3","3150","0","CND",4,2,64,0,1,"1",0,"0","1271","4","0",1,0,"3",12777,0
"130","R_1DSIwng0h72HsMf","jan 7_3","6348","0","FM",2,2,64,0,1,"1",0,"0","1271","4","0",0,0,"3",12777,0
"131","R_1dsQGOQhjYRcMvE","dec 5_3","2035","1","True",7,1,21,1,0,"2",0,"0","1065","4","-3",1,1,"3",11329,0
"132","R_1dsQGOQhjYRcMvE","dec 5_3","5233","0","T",7,1,21,1,0,"2",0,"0","1065","4","-3",0,1,"3",11329,0
"133","R_1DZGWqWmaYSdC5i","dec 9_3","5356","0","FM",5,4,65,0,2,"2",0,"1","995","4.6","-2",0,0,"3",11396,0
"134","R_1DZGWqWmaYSdC5i","dec 9_3","2158","0","Misl/False",5,4,65,0,2,"2",0,"1","995","4.6","-2",1,0,"3",11396,0
"135","R_1DzNqt45AI4LaiV","dec 5_2","5178","0","FM",3,2,60,0,1,"1",0,"0","643","3.1","2",0,0,"2",11203,0
"136","R_1DzNqt45AI4LaiV","dec 5_2","1980","0","CND",4,2,60,0,1,"1",0,"0","643","3.1","2",1,0,"2",11203,0
"137","R_1dzSRLEE4QTtbkP","jan 21_2","699","0","CND",4,4,36,0,0,"2",1,"0","835","3.2","-3",1,0,"2",13932,0
"138","R_1dzSRLEE4QTtbkP","jan 21_2","3897","0","CND",4,4,36,0,0,"2",1,"0","835","3.2","-3",0,0,"2",13932,0
"139","R_1dzsTN7FBXo9oi4","jan 7_3","6357","0","T",4,1,45,0,0,"2",1,"0","692","2.9","3",0,1,"3",12813,0
"140","R_1dzsTN7FBXo9oi4","jan 7_3","3159","0","CND",2,1,45,0,0,"2",1,"0","692","2.9","3",1,0,"3",12813,0
"141","R_1dzyp1qusB2eBvp","jan 7_2","3128","0","CND",4,1,39,0,1,"1",1,"0","1220","4.6","-1",1,0,"2",12825,0
"142","R_1dzyp1qusB2eBvp","jan 7_2","6326","0","FM",2,1,39,0,1,"1",1,"0","1220","4.6","-1",0,0,"2",12825,0
"143","R_1E1hy2W8NflKxYN","dec 3_3","1802","1","True",7,3,80,0,3,"1",0,"0","1024","4.9","2",1,1,"3",10965,0
"144","R_1E1hy2W8NflKxYN","dec 3_3","5000","0","CND",4,3,80,0,3,"1",0,"0","1024","4.9","2",0,0,"3",10965,0
"145","R_1E9RT2POmKbwUpz","jan 8_2","3234","0","T",6,1,36,1,1,"3",NA,"0","735","2.1",NA,0,1,"2",12896,0
"146","R_1E9RT2POmKbwUpz","jan 8_2","36","1","True",6,1,36,1,1,"3",NA,"0","735","2.1",NA,1,1,"2",12896,0
"147","R_1Ebdk7qlzcqpcaA","jan 22_2","776","1","True",7,3,30,0,1,"3",1,"1","760","4.2","-2",1,1,"2",13974,0
"148","R_1Ebdk7qlzcqpcaA","jan 22_2","3974","0","T",6,3,30,0,1,"3",1,"1","760","4.2","-2",0,1,"2",13974,0
"149","R_1eCSijV2Nx1kuuc","jan 15_3","3766","0","CND",4,1,51,0,1,"2",0,"0","960","5","-3",0,0,"3",13612,0
"150","R_1eCSijV2Nx1kuuc","jan 15_3","568","1","True",5,1,51,0,1,"2",0,"0","960","5","-3",1,1,"3",13612,0
"151","R_1eEHvLxOhkzl2Jd","dec 3_3","1817","0","Misl/False",6,1,43,1,0,"0",0,"0","835","3.9","2",1,0,"3",11024,0
"152","R_1eEHvLxOhkzl2Jd","dec 3_3","5015","0","FM",1,1,43,1,0,"0",0,"0","835","3.9","2",0,0,"3",11024,0
"153","R_1eFeRXsDCwONsLj","dec 10_3","2234","0","CND",4,1,26,1,0,"2",0,"0","558","4","-2",1,0,"3",11492,0
"154","R_1eFeRXsDCwONsLj","dec 10_3","5432","0","T",5,1,26,1,0,"2",0,"0","558","4","-2",0,1,"3",11492,0
"155","R_1EhVvcWmcTowGIS","jan 6_3","6185","0","T",4,3,43,0,1,"3",0,"1","1627","2.3","2",0,1,"3",12623,0
"156","R_1EhVvcWmcTowGIS","jan 6_3","2987","1","True",5,3,43,0,1,"3",0,"1","1627","2.3","2",1,1,"3",12623,0
"157","R_1EiJ2TsBQKH71JW","dec 3_3","1820","1","True",7,1,49,1,0,"2",0,"0","2269","4.5","3",1,1,"3",11041,0
"158","R_1EiJ2TsBQKH71JW","dec 3_3","5018","0","T",6,1,49,1,0,"2",0,"0","2269","4.5","3",0,1,"3",11041,0
"159","R_1etTh1LwM1SvYzW","jan 7_1","6293","0","CND",6,3,49,1,2,"0",0,"1","516","5","-2",0,0,"1",12846,0
"160","R_1etTh1LwM1SvYzW","jan 7_1","3095","1","True",6,3,49,1,2,"0",0,"1","516","5","-2",1,1,"1",12846,0
"161","R_1eUGkk3ZSiud4lH","jan 14_1","3573","0","T",6,1,81,1,3,"2",0,"0","1365","2.1","-2",0,1,"1",13431,0
"162","R_1eUGkk3ZSiud4lH","jan 14_1","375","1","True",6,1,81,1,3,"2",0,"0","1365","2.1","-2",1,1,"1",13431,0
"163","R_1eWqOsgp38M33dr","dec 5_1","5156","0","T",7,2,77,0,0,"3",1,"1","1179","3.7","3",0,1,"1",11250,0
"164","R_1eWqOsgp38M33dr","dec 5_1","1958","1","True",7,2,77,0,0,"3",1,"1","1179","3.7","3",1,1,"1",11250,0
"165","R_1f1ImsALMBHRksm","dec 19_3","2855","1","True",6,1,85,1,0,"3",1,"0","2867","3.4","3",1,1,"3",12435,1
"166","R_1f1ImsALMBHRksm","dec 19_3","6053","0","CND",6,1,85,1,0,"3",1,"0","2867","3.4","3",0,0,"3",12435,1
"167","R_1f1JYBMhwoRAI2g","jan 27_2","4274","0","CND",5,1,35,1,0,"1",NA,"0","742","3.4",NA,0,0,"2",14346,0
"168","R_1f1JYBMhwoRAI2g","jan 27_2","1076","0","CND",4,1,35,1,0,"1",NA,"0","742","3.4",NA,1,0,"2",14346,0
"169","R_1F2soRKXkrj2P59","nov 21_2","4812","0","CND",4,4,38,1,3,"2",0,"0","431","3","0",0,0,"2",10623,0
"170","R_1F2soRKXkrj2P59","nov 21_2","1614","0","CND",4,4,38,1,3,"2",0,"0","431","3","0",1,0,"2",10623,0
"171","R_1F396q1ByspftP2","jan 9_3","3362","0","T",3,1,64,1,0,"4",1,"0","2194","3.6","-2",0,1,"3",13118,1
"172","R_1F396q1ByspftP2","jan 9_3","164","1","True",4,1,64,1,0,"4",1,"0","2194","3.6","-2",1,1,"3",13118,1
"173","R_1F8jBhJzyrFPjKX","dec 2_1","4928","0","T",4,4,49,1,1,"3",0,"1","900","3.7","0",0,1,"1",10869,0
"174","R_1F8jBhJzyrFPjKX","dec 2_1","1730","1","True",4,4,49,1,1,"3",0,"1","900","3.7","0",1,1,"1",10869,0
"175","R_1F9WM1gwnZ6Y81o","dec 19_2","2842","0","Misl/False",1,1,20,0,1,"2",1,"0","598","3.2","-2",1,0,"2",12527,0
"176","R_1F9WM1gwnZ6Y81o","dec 19_2","6040","0","T",4,1,20,0,1,"2",1,"0","598","3.2","-2",0,1,"2",12527,0
"177","R_1feHKdD9VFlPCqZ","jan 27_2","4275","0","FM",2,4,69,0,1,"1",0,"1","1250","2.5","2",0,0,"2",14349,0
"178","R_1feHKdD9VFlPCqZ","jan 27_2","1077","0","CND",3,4,69,0,1,"1",0,"1","1250","2.5","2",1,0,"2",14349,0
"179","R_1feogKCLq3yU9OZ","dec 12_2","2429","0","Misl/False",5,1,59,1,0,"0",0,"0","1026","3","1",1,0,"2",11877,0
"180","R_1feogKCLq3yU9OZ","dec 12_2","5627","0","FM",5,1,59,1,0,"0",0,"0","1026","3","1",0,0,"2",11877,0
"181","R_1ff6syPnxp2xtTV","dec 9_3","2172","1","True",7,1,38,1,0,"1",0,"0","975","3.4","-3",1,1,"3",11449,0
"182","R_1ff6syPnxp2xtTV","dec 9_3","5370","0","CND",4,1,38,1,0,"1",0,"0","975","3.4","-3",0,0,"3",11449,0
"183","R_1FfZmL1Q5adRWJb","dec 9_2","2137","1","True",6,3,47,0,1,"3",0,"0","2194","3.5","0",1,1,"2",11420,0
"184","R_1FfZmL1Q5adRWJb","dec 9_2","5335","0","T",5,3,47,0,1,"3",0,"0","2194","3.5","0",0,1,"2",11420,0
"185","R_1fg6Pnz5EDlTirZ","jan 8_3","3281","0","FM",1,4,46,0,1,"2",0,"0","527","2.9","-3",0,0,"3",12986,0
"186","R_1fg6Pnz5EDlTirZ","jan 8_3","83","0","Misl/False",1,4,46,0,1,"2",0,"0","527","2.9","-3",1,0,"3",12986,0
"187","R_1fgcGcXg7uA7Fd2","jan 13_3","3449","0","T",5,4,29,0,2,"3",0,"0","656","4.7","-1",0,1,"3",13208,0
