"","ResponseId","Article_day","X1","Susc_FN","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Treat_Search","True_Dummy","X","Search_Online"
"44","R_1i3dl2Z3zi2sTIk","May 28_2","761","1",6,3,50,0,2,0,"0","43.7","3.9",0,1,2496,0
"45","R_1ignUkBJIRKjVAs","May 28_3","766","1",4,1,20,1,1,0,"0","18.6166666666667","2.2",0,1,2366,1
"46","R_1IjajgcAMwTfElX","Jun 1_3","430","1",6,3,30,0,1,0,"0","11.2166666666667","3.4",0,1,2553,0
"47","R_1inBN67OWH2u6nN","Jun 8_1","647","0",4,2,24,1,1,0,"1","11.7666666666667","3.6",0,0,2832,1
"48","R_1INneo0p3CBqQoU","Jun 15_3","515","0",3,3,25,0,0,0,"0","26.2166666666667","3.4",0,0,3149,0
"49","R_1INqJHBiJsSewxl","Jun 15_3","527","0",4,2,44,1,1,0,"1","17.2833333333333","5",0,0,3226,0
"50","R_1IQwcIEUgUNYP51","Jun 1_3","429","0",4,4,74,0,3,1,"0","38.05","4.9",0,0,2548,0
"51","R_1IYlWsahZkmENH0","Jun 1_1","407","1",6,2,68,0,0,1,"1","26.0333333333333","2.6",0,1,2591,0
"52","R_1j7iB6lvsAfvyAR","Jun 10_3","485","0",6,3,40,0,2,0,"1","45.15","5",0,0,2975,0
"53","R_1jdHlOwZT2Mkg5H","Jun 10_1","454","0",6,2,37,0,0,1,"0","10.2","1.4",0,0,3001,0
"54","R_1jkyxBVpkWQanKE","May 28_3","776","0",4,2,23,1,0,0,"0","11.7166666666667","2.6",0,0,2427,0
"55","R_1jldEk0h0MM7dqo","Jun 1_1","404","1",5,3,39,0,1,0,"1","14.25","4.6",0,1,2573,0
"56","R_1jlYgI3GtyllKM1","May 28_2","758","1",4,2,61,0,0,0,"0","60","2.7",0,1,2478,0
"57","R_1jv4wMYuc70NrmJ","Jun 1_3","418","0",3,3,45,0,2,1,"0","19.9333333333333","4.7",0,0,2517,0
"58","R_1kS7DTDKositQut","Jun 8_3","673","0",5,1,18,0,1,0,"0","15.25","4.1",0,0,2805,1
"59","R_1KvCgz07XZwjNjE","Jun 10_1","468","1",6,3,36,1,3,1,"0","6.78333333333333","4.6",0,1,3051,1
"60","R_1l3q1I81Scco6uS","Jun 15_3","519","0",4,3,38,0,2,0,"0","24.1333333333333","4.7",0,0,3169,0
"61","R_1LbrPzeGFslovlf","Jun 8_3","667","0",1,2,41,1,1,0,"0","60","3.4",0,0,2784,0
"62","R_1LGcSjpK3dHWHQ8","Jun 3_1","575","0",4,4,69,0,2,0,"1","45.6666666666667","2",0,0,2639,0
"63","R_1LHjUE5TjDfTEvu","Jun 10_1","464","0",4,3,41,0,3,0,"1","11.7","4.8",0,0,3037,0
"64","R_1LoFGHcX2LmSuxu","Jun 3_3","616","0",4,4,66,0,2,1,"0","19.45","4.1",0,0,2662,0
"65","R_1LSAvG7TqwZaULD","Jun 8_1","645","1",5,2,19,0,1,0,"0","13.75","4.7",0,1,2820,1
"66","R_1LSeEfhxoEYpIfe","Jun 22_3","570","0",3,0,28,1,1,0,"0","20.1333333333333","2.9",0,0,3545,0
"67","R_1LT0mHNzFM8pyox","Jun 15_3","512","0",4,5,44,1,1,NA,"0","22.95","3.8",0,0,3119,0
"68","R_1LvwmEGhpfDsFFg","May 28_1","704","1",7,4,45,0,3,0,"0","15.8833333333333","4.1",0,1,2381,0
"69","R_1lyE4s653hURJMN","Jun 10_3","480","0",4,3,26,0,1,0,"0","11.5666666666667","2.4",0,0,2951,0
"70","R_1M4FKrqVOTIjKTr","Jun 1_1","415","0",4,1,50,0,0,0,"0","29.2333333333333","3.7",0,0,2619,0
"71","R_1ML1yHeaNRNZmMw","Jun 1_1","398","0",5,3,65,1,1,1,"0","24.1166666666667","4.7",0,0,2524,0
"72","R_1MLDOsA84IhJy4M","Jun 8_3","688","0",2,1,41,0,1,0,"0","23.6","3.6",0,0,2892,0
"73","R_1mseSITXdb13Vhj","May 28_1","729","1",5,3,39,1,1,0,"1","34.2166666666667","4.5",0,1,2471,1
"74","R_1MYAOV0j6sZkfvM","Jun 8_1","637","1",7,1,23,0,1,0,"0","45.4333333333333","4.2",0,1,2780,0
"75","R_1n0DGEAGZvm0CcR","May 28_2","751","0",4,1,56,0,0,0,"0","19.2666666666667","3.2",0,0,2461,0
"76","R_1N3Ut25FQPHnmlg","Jun 22_3","552","0",5,2,51,1,0,0,"0","15.2833333333333","2.8",0,0,3481,0
"77","R_1n907ZgBKyrqHlI","Jun 3_3","627","0",3,3,23,0,3,0,"0","15.05","4.1",0,0,2732,0
"78","R_1Nl8IIyvlYTW3f0","Jun 3_3","633","0",1,4,39,1,3,0,"0","22.6666666666667","4.4",0,0,2757,0
"79","R_1o5ayvnsqOJe1DS","Jun 10_3","492","1",6,2,69,0,1,0,"1","22.3333333333333","4.5",0,1,3010,0
"80","R_1o5rbjFXr8U2RXi","Jun 1_1","402","1",6,4,30,0,2,1,"0","37.0833333333333","4.5",0,1,2559,0
"81","R_1OP7ljxtMi7iwvG","Jun 8_1","651","0",1,3,37,1,0,0,"0","41.3333333333333","4.9",0,0,2850,0
"82","R_1OZD11UzoJSCKra","Jun 3_3","615","0",2,1,62,1,0,0,"0","23.6333333333333","2.7",0,0,2660,0
"83","R_1pArYJugXWt2p6j","Jun 1_1","406","0",6,1,42,0,2,0,"0","60","4",0,0,2587,0
"84","R_1pEf83EYUjs9Xng","Jun 8_3","689","0",4,1,41,0,0,0,"1","29.2333333333333","3.8",0,0,2893,1
"85","R_1Pel06o0nrH9ATK","Jun 1_1","411","1",3,3,29,0,0,0,"0","7.3","3.9",0,1,2600,0
"86","R_1pxj4VAa0xK5tu4","May 28_3","784","1",7,1,75,0,1,0,"0","27.25","3.9",0,1,2462,0
"87","R_1pzF8Vcu8ntAe0H","Jun 22_3","542","0",1,1,69,0,0,0,"0","21.7","5",0,0,3444,0
"88","R_1Q58YdUpjMHtWQD","Jun 10_3","500","0",4,1,19,1,2,0,"0","15.1666666666667","3",0,0,3056,0
"89","R_1q9wwCg7uRUfhqG","May 28_3","782","0",5,3,58,0,0,0,"0","35.85","4",0,0,2452,0
"90","R_1QAX6fWTA1dptIX","May 28_2","748","0",1,3,60,0,1,0,"0","29.6166666666667","3.4",0,0,2448,0
"91","R_1QGEWtPJWO9MrUB","Jun 8_1","655","0",1,4,41,1,2,0,"1","60","4.2",0,0,2868,0
"92","R_1Qn42XvrljWS2GX","Jun 8_3","680","0",1,3,76,1,0,1,"1","18.8","3.6",0,0,2835,0
"93","R_1QxRC19eS6CPexi","Jun 22_3","566","0",4,1,18,1,0,0,"0","9.16666666666667","2.8",0,0,3537,0
"94","R_1QxwPOY6mHCAXLX","Jun 22_3","554","0",5,1,19,1,1,0,"0","11.2333333333333","3.9",0,0,3493,0
"95","R_1r00pMlftmCnNdS","Jun 10_3","482","1",7,5,39,0,3,0,"1","21.3","4.6",0,1,2958,1
"96","R_1rBc2gQj05RmBCZ","Jun 8_3","683","0",5,1,24,1,0,0,"0","17.5166666666667","4.4",0,0,2856,0
"97","R_1rlk8lc8rmrUdVM","Jun 8_3","695","0",1,4,46,1,2,0,"0","17.85","5",0,0,2915,0
"98","R_1rNZV2Js0LcsWNz","May 28_1","706","0",3,3,49,0,2,0,"0","17.3833333333333","4.5",0,0,2390,0
"99","R_1rohzTx11p2B9Xs","Jun 8_3","681","1",5,3,24,0,0,1,"1","7.05","4.6",0,1,2841,1
"100","R_1rqR90DP0Nj7aus","Jun 1_3","432","1",6,3,22,0,1,0,"0","16.9","4.1",0,1,2567,0
"101","R_1TwUKK9JHezY8XT","May 28_2","754","0",2,2,60,1,1,0,"0","27.9666666666667","3.1",0,0,2470,0
"102","R_20Pzcmzi67CNorj","Jun 1_3","425","1",7,4,46,1,1,0,"0","16.8","3.8",0,1,2534,0
"103","R_20SZ8kqOuHMw14U","May 28_2","742","1",5,3,23,1,0,0,"0","22.45","3.7",0,1,2438,0
"104","R_20YfIMBTYFuD2Ax","Jun 3_1","588","1",7,5,27,0,3,1,"1","39.5333333333333","5",0,1,2697,1
"105","R_21cxUu5E2e0CiBr","Jun 10_3","488","0",1,3,50,1,0,0,"0","12.6","4.6",0,0,2987,0
"106","R_21oKGBp2PfnLzG6","Jun 1_3","420","1",6,2,67,1,1,1,"1","22.3333333333333","4.6",0,1,2519,0
"107","R_21uOEJTwYzosgBw","Jun 3_3","621","0",3,3,57,1,0,1,"1","60","3.4",0,0,2708,0
"108","R_22KYIw8C2SbCTnq","Jun 8_3","677","0",2,1,37,0,1,1,"0","20.3166666666667","2.2",0,0,2822,0
"109","R_231PMidlmZFMAeO","Jun 3_3","620","1",7,1,51,1,0,1,"0","30.1333333333333","4",0,1,2707,0
"110","R_23UAym36NvSTYqo","May 28_3","767","1",4,1,18,1,1,0,"1","13.7333333333333","3.4",0,1,2369,0
"111","R_23WdzdMt9h5ufti","Jun 10_1","475","0",3,1,45,1,0,1,"1","19.45","4.2",0,0,3083,0
"112","R_2463qYzKVFnc7Di","Jun 8_3","678","0",4,1,66,1,0,0,"1","15.6","2.9",0,0,2824,0
"113","R_24FWA34ndmONE5E","Jun 15_3","504","0",6,0,68,1,0,0,"0","24.8333333333333","2.1",0,0,3087,0
"114","R_24vi69sYMb6s6ve","May 28_3","771","1",7,2,18,0,1,0,"1","12.7333333333333","4.5",0,1,2378,0
"115","R_24vJUM6YRExnJBy","Jun 1_3","437","0",2,0,18,0,2,0,"0","13.2333333333333","3.8",0,0,2589,1
"116","R_25AVxOTUcmBrvwd","Jun 22_3","551","0",4,0,60,1,0,0,"0","19.5166666666667","2.6",0,0,3479,0
"117","R_25sycceSSnGb58K","Jun 10_3","498","1",5,1,30,0,0,0,"0","14.4833333333333","4.5",0,1,3032,0
"118","R_25vIEYyWXKGPHZR","Jun 8_3","669","0",1,3,35,1,2,0,"0","31.6333333333333","4.3",0,0,2787,0
"119","R_27HiyuFOovgOgtH","May 28_2","752","0",2,3,60,0,1,0,"0","18.05","4.1",0,0,2463,0
"120","R_27lFVcynsQvO8oR","May 28_3","775","0",4,1,18,1,2,0,"0","32.95","4.3",0,0,2426,1
"121","R_27P4DtHOq4iWrsy","Jun 3_1","603","0",1,3,37,1,1,0,"0","12.1833333333333","4.5",0,0,2755,0
"122","R_28CyCzTzJoqvyVq","Jun 22_3","559","1",7,1,64,1,0,0,"0","35.1333333333333","3.4",0,1,3500,0
"123","R_28RS1NKXYxvgiDk","Jun 3_3","626","1",6,1,18,0,0,0,"0","30.0166666666667","2.7",0,1,2727,1
"124","R_29mMtQKHKkTau4a","May 28_2","750","0",3,1,56,0,1,0,"0","20.5166666666667","4.6",0,0,2458,0
"125","R_2aCwCiaef7Yvom8","May 28_2","745","1",6,2,57,0,0,0,"1","12.0333333333333","4",0,1,2443,0
"126","R_2AHjwSqxvbfWYqg","Jun 10_1","470","0",4,4,45,1,0,1,"0","53.6333333333333","3.8",0,0,3057,0
"127","R_2aPmC7YsaSzR8vU","Jun 22_3","536","0",3,4,72,0,1,0,"0","24.1666666666667","3.7",0,0,3428,0
"128","R_2AWkL2jmytg2jb2","Jun 8_3","670","1",6,1,19,0,3,1,"0","20.1","3.1",0,1,2788,0
"129","R_2aXFMTOLWlLcBLQ","May 28_2","753","1",5,3,37,1,0,0,"1","20.5","3.5",0,1,2467,0
"130","R_2b41CAVaC1dwpXz","May 28_1","711","0",5,3,21,1,1,0,"0","11.05","4.2",0,0,2400,0
"131","R_2B9gzZaWBRMK1vi","Jun 10_1","461","0",2,2,68,0,1,0,"0","10.6166666666667","2.2",0,0,3025,0
"132","R_2BgpbCdG9hZU6x6","Jun 22_3","539","0",4,3,70,0,1,0,"0","13.9","4.1",0,0,3437,0
"133","R_2Bh7nJIF0yzaoMQ","Jun 8_1","652","0",5,1,57,1,2,0,"0","14.9166666666667","2.2",0,0,2855,0
"134","R_2bNbDuBuT9JDYxS","Jun 22_3","564","0",4,3,38,1,2,0,"0","26.7833333333333","3.6",0,0,3528,1
"135","R_2bVm9YMewXmzWTx","Jun 8_1","640","0",5,1,20,0,0,0,"0","15.35","4.9",0,0,2795,0
"136","R_2ByS5rrQFAkjcx8","Jun 8_3","682","0",1,4,41,1,3,0,"0","21.5","4.6",0,0,2842,0
"137","R_2BzEjjaC6N7FNIu","Jun 15_3","520","1",6,3,60,0,0,0,"0","17.95","4.9",0,1,3173,0
"138","R_2CIySnwy0pc69vc","May 28_1","699","0",3,3,35,0,2,0,"0","8.3","3",0,0,2365,0
"139","R_2cw8NkCNGvdqKMm","Jun 3_1","602","0",4,3,59,1,1,0,"1","22.4333333333333","3.3",0,0,2748,0
"140","R_2D7vPF0Yi0UHLhk","May 28_3","786","1",4,3,50,0,2,0,"0","25.0333333333333","2.6",0,1,2486,0
"141","R_2dATQ1miAbCBgn5","Jun 3_1","576","0",5,1,67,1,0,1,"1","56.1","4.6",0,0,2644,1
"142","R_2DLKq1fM8mEHq5R","May 28_1","728","0",2,1,41,1,1,1,"0","14.7","3.4",0,0,2469,0
"143","R_2DTTz3RIPKAZ9Zi","Jun 10_3","481","1",6,2,25,0,1,0,"0","11.15","3.9",0,1,2954,1
"144","R_2DXPwFjsYEaCbRs","May 28_1","726","0",3,4,68,1,0,0,"1","28.8166666666667","4",0,0,2465,0
"145","R_2DYxPLR29FY1M3i","Jun 1_3","439","0",5,1,19,0,1,0,"0","35.55","4.4",0,0,2603,1
"146","R_2DZihgUgRHdEBfp","Jun 22_3","563","0",3,4,34,1,2,0,"0","26.3","4.5",0,0,3522,0
"147","R_2e3eGTcUQFb75pR","Jun 3_3","631","0",3,1,39,1,1,1,"0","29.25","4.8",0,0,2751,0
"148","R_2e3TvX7gv3Az17C","Jun 3_3","625","0",3,3,20,0,3,0,"0","60","4.2",0,0,2718,1
"149","R_2EbeWKvC6w3WCgS","May 28_1","713","0",4,4,45,1,1,0,"0","11.6333333333333","3.4",0,0,2406,0
"150","R_2eQmO1gSCQGrzV9","May 28_2","737","1",5,1,20,0,2,0,"0","22.3","3.9",0,1,2395,0
"151","R_2eVbjN8seXOqM5n","May 28_1","708","0",6,1,40,0,1,0,"0","14.8666666666667","4.6",0,0,2394,0
"152","R_2f7qS4mf5w1daqB","Jun 8_1","650","0",2,1,39,1,1,0,"0","26.4","3.8",0,0,2848,0
"153","R_2odXhMZbrsKbJip","Jun 15_3","526","0",4,2,46,1,2,0,"1","48.8166666666667","4.6",0,0,3221,0
"154","R_2PiqsHvcudgsDRj","Jun 1_3","431","0",3,2,35,0,0,0,"0","46.3166666666667","4.7",0,0,2562,0
"155","R_2pQ3z7bEvan2r5k","Jun 10_3","496","1",5,3,37,0,1,0,"0","54.0833333333333","4.2",0,1,3027,0
"156","R_2pRIeR1t5KWReUN","May 28_1","701","1",5,5,38,0,1,0,"0","33.0666666666667","4.8",0,1,2371,0
"157","R_2PsRqzzvlg898Z2","Jun 8_3","684","0",2,4,63,1,3,0,"0","40.7833333333333","4",0,0,2861,0
"158","R_2q3fO1QOmtw4NIn","Jun 10_1","472","0",1,2,36,1,2,0,"0","15.6","4.6",0,0,3063,0
"159","R_2q3mJY76qYEeEZE","Jun 10_3","486","0",4,1,26,0,0,NA,"0","9.38333333333333","3",0,0,2981,0
"160","R_2q8xe9r8kidRbHV","Jun 10_1","449","0",3,3,63,0,3,1,"0","18.2333333333333","4",0,0,2983,0
"161","R_2qdDVjuwi7lqZGc","Jun 22_3","543","0",1,2,72,0,1,0,"0","23.3","3.2",0,0,3447,0
"162","R_2QK6A64Luxf9dDu","Jun 10_3","502","1",6,0,18,1,0,0,"1","23.3666666666667","3.5",0,1,3065,1
"163","R_2QWZTN8CnrWFVLZ","Jun 3_3","614","0",5,4,39,0,1,0,"0","11.85","4.8",0,0,2657,0
"164","R_2RaFuesumaO1hbL","May 28_2","738","0",5,1,18,1,1,0,"0","9.8","4.2",0,0,2403,0
"165","R_2rCaiXGSyEa9FYT","May 28_2","763","1",7,1,66,1,1,0,"1","24.0333333333333","4.5",0,1,2501,0
"166","R_2rHj0IXRZGZm5cr","Jun 1_3","441","0",4,3,30,0,0,0,"0","12.3666666666667","3.4",0,0,2605,0
"167","R_2rNQxLmMyMzXGEs","Jun 3_1","571","1",5,2,43,1,0,1,"0","10.6","4.4",0,1,2622,0
"168","R_2rOz7nIUNPWtm49","Jun 22_3","555","1",5,2,77,1,0,0,"0","12.5333333333333","4.6",0,1,3494,0
"169","R_2RQjWBPP2L9PCX7","Jun 10_3","476","0",3,2,66,1,1,0,"0","17.2","1.5",0,0,2932,0
"170","R_2s0zAPEQQxYAFsK","Jun 8_3","697","0",3,4,78,1,1,0,"0","17.1666666666667","3.3",0,0,2925,0
"171","R_2S1RHOxibaJ338V","Jun 3_3","612","0",1,1,19,1,1,0,"0","11.8333333333333","4.7",0,0,2643,0
"172","R_2SCvbQVV0UKelSB","Jun 1_3","417","0",3,1,63,0,1,0,"0","16.4666666666667","1.9",0,0,2514,0
"173","R_2sNCTmvxVCOSrDz","May 28_2","760","1",4,4,40,1,2,0,"0","60","4.2",0,1,2485,0
"174","R_2srAFncmAoI9F1n","May 28_1","720","0",6,4,49,1,2,1,"0","34.3666666666667","4.4",0,0,2431,1
"175","R_2sYF4prtn44yb12","Jun 8_1","660","0",2,5,62,0,1,0,"0","17.25","5",0,0,2897,0
"176","R_2t4hr6RB8aK6g6Q","Jun 10_3","483","0",2,4,74,1,1,0,"0","36.3666666666667","3.6",0,0,2967,0
"177","R_2TG1kkGSrdZib7e","Jun 8_1","654","0",1,3,59,0,1,0,"0","13.1833333333333","4",0,0,2867,0
"178","R_2TGiHJ0p28eC3iQ","May 28_2","764","1",6,5,67,0,2,0,"1","23.5666666666667","4.3",0,1,2503,0
"179","R_2tJ4RiUsTNGtxr7","Jun 3_1","578","1",4,3,67,1,0,0,"0","29.2166666666667","4",0,1,2654,0
"180","R_2TLyQVJu46hn5So","May 28_3","787","0",4,3,52,0,3,0,"0","27.0333333333333","4.3",0,0,2488,0
"181","R_2tmXrGeLb5CpwPF","Jun 3_3","617","1",7,5,42,0,3,0,"0","26.2166666666667","4.9",0,1,2664,1
"182","R_2TtaXOjWpxd761t","Jun 1_3","433","0",1,3,54,0,1,0,"0","32.9","4.2",0,0,2577,0
"183","R_2U8YFNCYlHeWwWq","Jun 22_3","548","0",1,3,53,1,1,0,"0","23.7333333333333","4.1",0,0,3470,0
"184","R_2UaAGVuEXQRzOiz","Jun 1_3","421","0",2,3,72,0,2,0,"0","22.3333333333333","3.5",0,0,2521,0
"185","R_2uwygsAdhTTis9v","Jun 8_1","638","0",1,2,71,1,1,0,"1","23.6666666666667","3.5",0,0,2782,0
"186","R_2VfQJvWH54kgSYl","May 28_1","721","0",5,2,57,1,0,0,"0","21.6166666666667","3.3",0,0,2435,0
"187","R_2VvvqG0Lni9ewO3","Jun 8_3","671","0",5,1,23,1,2,NA,"1","20.6833333333333","2.8",0,0,2790,0
"188","R_2VybvlnGvi9DesF","Jun 3_1","594","0",2,4,70,0,2,0,"1","20.45","3.4",0,0,2721,0
"189","R_2w1ghEfa7uWFZLy","Jun 3_1","574","1",4,3,29,1,0,1,"0","23.5","3.7",0,1,2632,0
"190","R_2wAD4bULtySCDJ9","Jun 3_3","622","0",4,2,55,0,0,0,"0","30.6166666666667","3.5",0,0,2709,0
"191","R_2WBZwBP6PGvOck9","Jun 15_3","521","0",2,1,64,0,0,0,"1","39.4666666666667","3.7",0,0,3186,1
"192","R_2WPDKZDtWj636q0","Jun 8_3","692","0",1,1,51,0,2,0,"0","13.5166666666667","3.2",0,0,2901,0
"193","R_2WPtl8vw4bSSydJ","Jun 15_3","511","0",4,3,82,0,1,0,"0","20.5666666666667","2.5",0,0,3118,0
"194","R_2WSGpBkWUi801hI","Jun 8_1","663","0",5,1,55,1,1,0,"0","11.3833333333333","1.9",0,0,2916,0
"195","R_2WUnkBFXZtwRimn","May 28_1","709","0",5,1,21,0,0,0,"0","8","2.3",0,0,2397,0
"196","R_2xFC1JYVmdyoAuH","Jun 15_3","516","0",4,1,65,0,0,0,"0","35.3666666666667","3.3",0,0,3151,0
"197","R_2XhpIrH73WSk3bw","May 28_1","702","1",5,3,69,1,1,0,"0","56.9833333333333","2",0,1,2375,0
"198","R_2xJYeQWw2prOo6g","May 28_2","749","1",7,3,38,0,1,0,"1","32.25","5",0,1,2449,0
"199","R_2xKMErsRYaTKpyh","Jun 15_3","507","0",3,3,44,1,3,0,"0","15.6333333333333","3.1",0,0,3101,0
"200","R_2xXl0cCgOnoljGO","Jun 1_1","396","1",7,1,19,1,0,0,"1","10.3333333333333","5",0,1,2510,0
"201","R_2y8YDg02ze3WwAM","Jun 22_3","540","0",2,4,30,0,3,0,"0","26.8","4.6",0,0,3439,1
"202","R_2YEdXJu4fobQd65","Jun 22_3","530","0",5,2,79,0,1,0,"0","41.0666666666667","4.4",0,0,3410,0
"203","R_2YEzOJgqkT4CYaq","Jun 15_3","522","0",4,4,55,0,1,0,"0","13.4666666666667","3.6",0,0,3187,0
"204","R_2YJUxOiSphH7MEa","Jun 1_1","412","1",7,3,25,0,3,1,"1","12.1166666666667","5",0,1,2602,1
"205","R_2z5CFjhlh9mf996","Jun 3_1","573","0",3,2,25,1,0,0,"0","7.18333333333333","3.3",0,0,2629,0
"206","R_2zGR9mPFXMf2e8k","Jun 10_3","494","1",6,3,82,0,3,1,"1","60","2.1",0,1,3015,0
"207","R_2zhGyA5s89YMHBL","Jun 10_3","487","0",4,1,62,1,0,0,"1","11.3833333333333","4",0,0,2984,0
"208","R_2zI80AzqiujVs5P","Jun 3_1","589","0",1,5,30,0,2,0,"0","15.4","4.1",0,0,2700,0
"209","R_2zwmSymN5F8rdtJ","May 28_3","777","0",4,1,29,0,0,0,"0","9.25","3.1",0,0,2429,0
