"","Likert_Evaluation","Susc_FN","Treat_Search","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Article_day","ResponseId"
"130",6,1,1,3,41,1,0,0,1,"nov 20_1","R_8IDWyC9NJtPrE9r"
"131",NA,NA,1,1,34,1,1,0,0,"nov 20_1","R_3L0DDCJhcgx61lI"
"132",NA,NA,1,2,36,1,0,1,0,"nov 20_1","R_1mVfSD7hmr4TY3D"
"133",7,1,1,1,34,1,0,NA,0,"nov 20_1","R_1gGy9blCZv4p2Ou"
"134",NA,NA,1,1,56,1,1,1,0,"nov 20_1","R_vqTXeNyqi5sa6Fb"
"135",NA,NA,1,2,33,1,0,1,0,"nov 20_1","R_2dHeaogOCIAWnJS"
"136",3,0,1,3,45,1,1,0,1,"nov 20_1","R_3dG7BN6CnHsZSll"
"137",NA,NA,1,3,36,1,1,1,0,"nov 20_1","R_2X6GAiFg7oLRIbQ"
"138",4,0,1,3,53,1,1,0,0,"nov 20_1","R_2VdN7zBcmzkBS3m"
"139",2,0,1,3,46,1,2,1,0,"nov 20_1","R_3HiVJTMDhhMjKrq"
"140",7,1,1,3,33,1,1,0,0,"nov 20_1","R_3J9s1dlifHd9tJ9"
"141",7,1,1,2,45,1,0,1,0,"nov 20_1","R_1iqhnibaeHdBgvA"
"142",NA,NA,1,1,46,1,0,1,0,"nov 20_1","R_D2d7UwL9arV1Rqp"
"143",NA,NA,1,3,48,1,0,0,0,"nov 20_1","R_2RNYurLpZbPk3Oi"
"144",NA,NA,1,2,46,1,1,1,0,"nov 20_1","R_1oub4ku0AcIMFBr"
"145",NA,NA,1,3,65,1,0,1,0,"nov 20_1","R_2urnCJ3kjYPB51B"
"146",4,0,1,2,51,1,1,0,0,"nov 20_1","R_1jTgEP2m0obRV9g"
"147",NA,NA,1,4,37,1,1,0,0,"nov 20_1","R_yQixTKwmx5Orf57"
"148",7,1,1,4,72,1,1,1,1,"nov 20_1","R_3j67z40pbQaoglb"
"149",6,1,1,1,36,1,0,1,0,"nov 20_1","R_1IAb7B8W363Add2"
"150",NA,NA,1,3,77,1,0,1,0,"nov 20_1","R_3EEhFHY9oEBET6O"
"151",1,0,1,3,64,1,0,0,0,"nov 20_1","R_3D6DTAuziafxUzV"
"152",NA,NA,0,1,38,1,0,NA,0,"nov 20_1","R_12PiRURA3dyLE9W"
"153",4,0,0,1,23,0,0,0,0,"nov 20_1","R_RhpROdpdRzaL6Ip"
"154",5,0,0,0,27,0,2,0,0,"nov 20_1","R_325Fvi6iwyT91i3"
"155",6,1,0,2,38,0,1,1,0,"nov 20_1","R_3mfrYhzyzXC8gZE"
"156",1,0,0,2,72,0,1,1,1,"nov 20_1","R_1kXHqfuYpuv8CSc"
"157",4,0,0,1,27,0,0,0,0,"nov 20_1","R_8He41Kl7yjiK0Br"
"158",7,1,0,3,64,0,2,1,1,"nov 20_1","R_2AG1oY71yyIAHKj"
"159",NA,NA,0,3,30,0,0,0,0,"nov 20_1","R_31WZ4omCTDJWj0M"
"160",6,1,0,3,35,0,2,0,1,"nov 20_1","R_BX8ANrJ79yapBHb"
"161",3,0,0,1,41,1,0,0,0,"nov 20_1","R_1pS6qYmcwRuu5PX"
"162",1,0,0,5,77,0,3,0,0,"nov 20_1","R_309246CFXQujt0q"
"163",2,0,0,3,70,0,1,1,0,"nov 20_1","R_aXb7g25MTwag3qF"
"164",7,1,0,2,73,0,0,1,0,"nov 20_1","R_2f2kVOWS5MwGn8w"
"165",NA,NA,0,3,30,0,1,0,0,"nov 20_1","R_2wRkbwiAWJ3oEFQ"
"166",NA,NA,0,1,42,0,0,0,0,"nov 20_1","R_1IdbMaQZRlSkVGh"
"167",NA,NA,0,3,68,0,1,0,0,"nov 20_1","R_2D2oE1PZUt3bCaR"
"168",6,1,0,4,22,0,2,0,0,"nov 20_1","R_3MxU6xhDmSWftqQ"
"169",7,1,0,4,24,0,2,0,1,"nov 20_1","R_3esloR3fKsxWmUf"
"170",5,0,0,1,56,0,1,1,0,"nov 20_1","R_22VX3w23x5jLKV6"
"171",5,1,0,3,39,0,0,0,0,"nov 20_1","R_3pfD8dF7qUAo8Do"
"172",7,1,0,3,28,0,1,1,1,"nov 20_1","R_3I03CmDeMUvReHU"
"173",6,1,0,1,73,0,0,1,0,"nov 20_1","R_2S3uzT6IsyU5zUU"
"174",NA,NA,0,2,42,0,0,0,0,"nov 20_1","R_3Ge8AvH744lfD8O"
"175",NA,NA,0,3,29,1,2,1,0,"nov 20_1","R_2bZOuX8CC5dZvCC"
"176",NA,NA,0,1,34,0,0,1,0,"nov 20_1","R_1n907VmbEcaxGkH"
"177",NA,NA,0,1,31,0,0,0,0,"nov 20_1","R_1LpbuMzHDQCJ1mi"
"178",6,1,0,1,53,0,1,1,0,"nov 20_1","R_ebdrUcric0VbCaB"
"179",NA,NA,0,0,38,0,0,0,0,"nov 20_1","R_vCavge1qmQv0FUZ"
"180",4,0,0,2,68,0,1,1,0,"nov 20_1","R_3g1uDCrS8H65rti"
"181",4,0,0,3,72,1,2,0,0,"nov 20_1","R_1nU8Z2DanaiN1hy"
"182",5,0,0,4,77,1,3,1,0,"nov 20_1","R_28XOZfFjzdmTzvT"
"183",NA,NA,0,1,31,0,0,0,0,"nov 20_1","R_1o69VhVoIxe678r"
"184",6,1,0,1,30,0,1,0,0,"nov 20_1","R_vq86GsuQWaV923n"
"185",3,0,0,4,72,1,1,0,1,"nov 20_1","R_3JlosiSoqRvVhOl"
"186",4,0,0,3,69,1,1,0,1,"nov 20_1","R_3R8CaVrT6AYkwdu"
"187",5,1,0,4,44,0,3,0,0,"nov 20_1","R_2cBBFpOpkaXiB2d"
"188",NA,NA,0,2,66,0,1,0,0,"nov 20_1","R_1dsrBiyyGcpiUhI"
"189",2,0,0,3,49,0,2,1,0,"nov 20_1","R_3rZkaKTag2IT9nw"
"190",NA,NA,0,1,78,0,1,1,0,"nov 20_1","R_27NlFVu3CquvZ5D"
"191",1,0,0,1,53,0,0,0,0,"nov 20_1","R_22SueXtl0COKbgy"
"192",4,0,0,3,71,0,1,0,0,"nov 20_1","R_1QmSCjJ3JzoWGHh"
"193",5,0,0,3,72,0,1,1,0,"nov 20_1","R_VPaBFtFboeGr1IJ"
"194",4,1,0,1,22,0,0,0,0,"nov 20_1","R_3NJrfLV1176fThu"
"195",NA,NA,0,3,69,0,2,0,0,"nov 20_1","R_YYp6IfFhysNfosx"
"196",4,0,0,3,69,0,1,1,0,"nov 20_1","R_3hn0mZkgi8TYub9"
"197",4,1,0,3,21,1,1,0,0,"nov 20_1","R_3FVWki72JiRwCEL"
"198",3,0,0,3,71,1,1,0,0,"nov 20_1","R_10HOVa6ocybyCGM"
"199",NA,NA,0,4,67,1,1,1,0,"nov 20_1","R_3IXl2OvkwA4lsro"
"200",2,0,0,5,74,0,3,0,0,"nov 20_1","R_1OVMCbL7rlHxMQn"
"201",NA,NA,0,3,39,0,0,0,0,"nov 20_1","R_VR3qyjpaWpSdTln"
"202",NA,NA,0,3,22,0,0,0,0,"nov 20_1","R_2v63HJ4VE5BB9nq"
"203",3,0,0,5,67,0,3,0,0,"nov 20_1","R_2CE9Ae3Quq2Momi"
"204",NA,NA,0,4,59,0,1,1,0,"nov 20_1","R_12GtCGNXzl32HYC"
"205",NA,NA,0,4,67,0,3,0,0,"nov 20_1","R_1i4cIGs68W7w4WV"
"206",6,1,0,4,67,1,1,1,1,"nov 20_1","R_3kmHGrdxM0FidfL"
"207",NA,NA,0,3,66,1,3,1,0,"nov 20_1","R_T765obaHzI9erS1"
"208",3,0,0,2,38,0,0,0,0,"nov 20_1","R_1jrjOHzytDrQsiV"
"209",NA,NA,0,3,70,1,1,0,0,"nov 20_1","R_1pEuoa2XZSgEWEJ"
"210",NA,NA,0,4,44,0,1,1,0,"nov 20_1","R_2w03UHgGZ0uOn78"
"211",5,1,0,3,38,0,1,0,0,"nov 20_1","R_2TLuF0GHToCGt2I"
"212",5,1,0,3,32,0,3,0,0,"nov 20_1","R_tWH6YTGMdLFs7G9"
"213",NA,NA,0,4,42,0,1,0,0,"nov 20_1","R_1IAW6f64xem64I4"
"214",2,0,0,3,48,1,1,0,0,"nov 20_1","R_12bhvpWF2cJfZCi"
"215",7,1,0,1,36,1,0,0,1,"nov 20_1","R_OEhzrS6objsnwD7"
"216",2,0,0,3,25,1,0,0,0,"nov 20_1","R_3DiMnXD3d92jAwS"
"217",6,1,0,3,42,1,2,1,1,"nov 20_1","R_2CVcwuaDDUr9xY3"
"218",1,0,0,0,42,1,0,0,1,"nov 20_1","R_1LCBfhNKazrgkcC"
"219",7,1,0,3,30,1,1,0,1,"nov 20_1","R_20StH4i18y8b0Gq"
"220",4,0,0,1,21,1,1,1,0,"nov 20_1","R_1l4SG28196FaKmo"
"221",6,1,0,3,24,1,1,1,1,"nov 20_1","R_29vvGGIj3htiEeW"
"222",7,1,0,1,41,1,1,0,1,"nov 20_1","R_3mx5upPc9zTud7r"
"223",NA,NA,0,3,42,1,3,1,0,"nov 20_1","R_10YKZtyX1S8gL4s"
"224",NA,NA,0,3,44,0,1,1,0,"nov 20_1","R_1gub2IGTy3zaMff"
"225",5,0,0,1,20,1,2,0,1,"nov 20_1","R_2Y5uX1xA4rPoh4o"
"226",5,0,0,1,44,1,0,0,0,"nov 20_1","R_TnErpjq6xQE3d4d"
"227",1,0,0,2,62,0,1,0,0,"nov 20_1","R_1dLK02LNdAoJkYA"
"228",6,1,0,3,23,1,0,0,0,"nov 20_1","R_3RgR5CZITeffdU7"
"229",3,0,0,1,65,1,0,1,0,"nov 20_1","R_DS2K8VCFIswH9Yd"
"230",NA,NA,0,3,20,1,0,NA,0,"nov 20_1","R_xD82V8WJdAeNxpT"
"231",NA,NA,0,2,34,0,1,1,0,"nov 20_1","R_eqBBriF7bkPi4Nj"
"232",NA,NA,0,1,24,1,1,1,0,"nov 20_1","R_WjSbCXH76LwLMsN"
"233",4,0,0,1,69,0,2,0,0,"nov 20_1","R_XZDNb2shbfqLRkJ"
"234",NA,NA,0,1,57,1,0,0,0,"nov 20_1","R_1CEjMO82igwbJy2"
"235",4,0,0,2,28,1,1,0,1,"nov 20_1","R_1QF6lAVhRdMRaFg"
"236",2,0,0,3,30,1,2,0,1,"nov 20_1","R_1P2fJRkzG0nxRfH"
"237",1,0,0,3,64,0,3,0,0,"nov 20_1","R_1E7rQK88KQlnxod"
"238",4,0,0,2,41,1,0,1,0,"nov 20_1","R_2qw6oCgFjOiOEYo"
"239",NA,NA,0,3,45,1,2,0,0,"nov 20_1","R_8bSjKZNAI0UzWNP"
"240",4,0,0,3,45,1,2,1,0,"nov 20_1","R_1qV8WSuI26eZSNf"
"241",NA,NA,0,3,55,1,1,0,0,"nov 20_1","R_3dQSXsbmPz5PHkQ"
"242",5,1,0,1,35,0,1,0,0,"nov 20_1","R_2ZHRoIOhxi45YVL"
"243",NA,NA,0,4,63,0,2,0,0,"nov 20_1","R_b3gudYiegmydTLH"
"244",NA,NA,0,2,67,0,1,1,0,"nov 20_1","R_3PMg0OIoawhzBQQ"
"245",NA,NA,0,1,29,1,0,0,0,"nov 20_1","R_1llOmQhBbOZjOxI"
"246",NA,NA,0,4,77,0,3,0,0,"nov 20_1","R_2z6DMlWHZbQAJgT"
"247",3,0,0,3,29,1,1,0,0,"nov 20_1","R_BWfUg6UhdJW6geJ"
"248",5,1,0,1,76,0,0,NA,0,"nov 20_1","R_3qBsfMI8rmh67SP"
"249",1,0,0,1,40,0,0,0,0,"nov 20_1","R_3iCheI9rCbZuUtU"
"250",NA,NA,0,3,46,0,1,1,0,"nov 20_1","R_323bOPYxXp9UBuF"
"251",3,0,0,1,55,0,1,0,0,"nov 20_1","R_22tpHt700zlFhAQ"
"252",2,0,0,2,72,1,0,0,0,"nov 20_1","R_QfZ2hGYrwjt8yWt"
"253",1,0,0,1,71,1,1,0,1,"nov 20_1","R_28M5AQNW133UStd"
"254",3,0,0,1,35,0,3,1,0,"nov 20_1","R_3OjmRqqQGrMWrwX"
"255",7,0,0,4,41,0,2,1,0,"nov 20_1","R_1is8xQ9ZfWrIEWK"
"256",6,0,0,3,67,0,1,1,0,"nov 20_1","R_1IXjZ3wpGiVMuCX"
"257",NA,NA,0,3,71,0,2,0,0,"nov 20_1","R_ymcm04orReieVnX"
"258",4,0,0,4,74,0,1,0,0,"nov 20_1","R_31a9CFNgiRSrjSF"
"259",NA,NA,0,2,68,0,0,1,0,"nov 20_1","R_33CpfaFt2tx6YKx"
"260",NA,NA,0,1,63,0,0,1,0,"nov 20_1","R_1reT1rvdoM2x3ZQ"
"261",NA,NA,0,1,49,0,3,1,0,"nov 20_1","R_26fhsh5D5V04dWg"
"262",NA,NA,0,3,69,0,0,0,0,"nov 20_1","R_2PnDQxTBhARCTCl"
"263",6,1,0,1,39,0,0,0,0,"nov 20_1","R_27cXVvW2pQI0cZE"
"264",NA,NA,0,1,59,1,0,0,0,"nov 20_1","R_1OpHj0h4hJXfs03"
"265",NA,NA,0,3,39,0,2,0,0,"nov 20_1","R_3p5tNgFKT8APV5A"
"266",6,0,0,2,58,0,0,0,0,"nov 20_1","R_3wJXtZjCpbGOTHH"
"267",2,0,0,5,68,0,1,0,0,"nov 20_1","R_26lKGY7IPWP5qQe"
"268",NA,NA,0,1,39,0,1,0,0,"nov 20_1","R_3MQjQ3GLuxIPXdp"
"269",4,0,0,3,57,0,2,1,0,"nov 20_1","R_3qa1PDa6UnQDRR6"
"270",7,1,0,4,71,0,3,1,0,"nov 20_1","R_1IoqhoCfGnh74k0"
"271",3,0,0,3,43,0,2,0,1,"nov 20_1","R_2SiQe8Hr481isTu"
"272",2,0,0,3,56,0,2,0,1,"nov 20_1","R_yWxjYcL2Jhwn6bT"
"273",NA,NA,0,2,43,1,1,0,0,"nov 20_1","R_231y4F4sF3WVQHU"
"274",4,0,0,3,31,1,0,0,0,"nov 20_1","R_3DhWMVlssQgoh6S"
"275",NA,NA,0,2,31,1,0,0,0,"nov 20_1","R_1dE1o2ztkaFIGXa"
"276",1,0,0,4,32,0,1,0,0,"nov 20_1","R_dnCWLoaWraszZGp"
"277",1,0,0,4,29,1,1,0,0,"nov 20_1","R_1plpfoWGsAUNosn"
"278",2,0,0,5,29,1,1,0,0,"nov 20_1","R_1otiEmPswQrGgLs"
"279",NA,NA,0,1,23,1,1,0,0,"nov 20_1","R_b1KOgeTqxiu0Agh"
"280",5,1,0,3,24,1,0,0,0,"nov 20_1","R_33vZzSJpeaB5YgE"
"281",NA,NA,0,1,36,1,1,1,0,"nov 20_1","R_3D7qFoAvH03KVLL"
"282",NA,NA,0,1,44,1,0,1,0,"nov 20_1","R_1nTOQWZb29uKO0z"
"283",NA,NA,0,5,35,1,2,0,0,"nov 20_1","R_125WuHufGPZLiGh"
"284",6,1,0,1,37,1,1,1,1,"nov 20_1","R_2zU76u4uzGGNRIv"
"285",1,0,0,3,38,1,1,0,0,"nov 20_1","R_e2Oazp3enFBDc65"
"286",NA,NA,0,2,34,1,1,0,0,"nov 20_1","R_2upR5QQ16uPnk21"
"287",NA,NA,0,1,28,1,1,0,0,"nov 20_1","R_11WVWDSMqJEAGLi"
"288",NA,NA,0,1,50,1,1,1,0,"nov 20_1","R_3kvmH2BBBExpzYn"
