"","ResponseId","Article_day","True_Dummy","Treat_Search","Age","Dummy_Congruence","Education_Score","Gender","Income_Score","Dig_Lit_Avg","Article","X","Search_Online"
"47","R_12Fvp4PgcMWzCsp","nov 21_4",0,0,22,0,1,0,0,"4.5","4",618,0
"48","R_12g7scb16suqJym","dec 10_5",0,0,35,NA,1,1,0,"3.6","5",1432,0
"49","R_12GtCGNXzl32HYC","nov 20_4",0,0,59,0,4,0,1,"4.5","4",10567,0
"50","R_12GtCGNXzl32HYC","nov 20_5",1,0,59,0,4,0,1,"4.5","5",423,0
"51","R_12Kjnjz1mwS0OJB","dec 3_5",0,0,43,0,4,1,1,"3.5","5",5933,0
"52","R_12m2Rs46JOLXZoc","dec 11_4",0,0,41,0,0,0,0,"3.9","4",6627,0
"53","R_12mrXshI94xkX02","jan 6_5",0,0,69,NA,1,1,1,"4.1","5",2471,0
"54","R_12o3sBZFRPzN7h9","nov 21_4",0,0,71,0,1,1,0,"3.7","4",5572,0
"55","R_12o3sBZFRPzN7h9","nov 21_5",1,0,71,0,1,1,0,"3.7","5",10644,0
"56","R_12PhCzdjUNqNrRT","dec 5_5",1,0,65,0,4,0,1,"4.7","5",6180,0
"57","R_12PiRURA3dyLE9W","nov 20_4",0,0,38,NA,1,1,0,"2.9","4",5443,0
"58","R_12PiRURA3dyLE9W","nov 20_5",1,0,38,NA,1,1,0,"2.9","5",10515,0
"59","R_12Qo1JpUQtGft0T","dec 10_4",0,0,39,0,3,0,3,"3.7","4",6507,0
"60","R_12QZYC1ix5IIqB2","jan 7_5",0,0,62,0,1,0,0,"2.5","5",7752,0
"61","R_12SbxRIrUpu17nI","dec 5_5",1,0,68,0,4,0,1,"4.7","5",11241,0
"62","R_12Sg3fYMwekIzr9","jan 6_4",1,0,41,0,1,0,0,"3.5","4",12599,0
"63","R_12Sg3fYMwekIzr9","jan 6_5",0,0,41,1,1,0,0,"3.5","5",2455,1
"64","R_1BQniB4R2eerVrO","dec 3_4",0,0,27,0,4,1,2,"3.7","4",834,0
"65","R_1BQniB4R2eerVrO","dec 3_5",0,0,27,0,4,1,2,"3.7","5",5906,0
"66","R_1BQuCEMlVEKgRXm","dec 9_4",1,0,38,0,2,1,0,"3.8","4",1316,0
"67","R_1BQVCdhxZd33hUu","dec 10_4",1,0,33,0,1,1,1,"3.5","4",6444,0
"68","R_1BReylJxXHVlhNU","dec 11_4",1,0,21,0,1,1,0,"4.6","4",6663,0
"69","R_1C1qW60payxV1hO","dec 4_4",1,0,53,0,4,0,3,"4.9","4",11087,0
"70","R_1C1qW60payxV1hO","dec 4_5",1,0,53,0,4,0,3,"4.9","5",6015,0
"71","R_1C2P1GSEmn9IQgy","jan 6_4",1,0,49,0,1,0,0,"5","4",12647,0
"72","R_1C421Rvf5OBg7mw","dec 10_4",1,0,54,1,1,1,0,"4.7","4",6535,0
"73","R_1C7M55bv29nbX7W","dec 11_5",1,0,66,0,4,0,1,"3.7","5",1624,1
"74","R_1C8AyiRapxScpQ6","dec 4_4",1,0,57,0,2,0,0,"4","4",953,0
"75","R_1C8AyiRapxScpQ6","dec 4_5",1,0,57,0,2,0,0,"4","5",11097,0
"76","R_1C9eOn8p0E6dNxX","dec 3_5",1,0,78,0,3,0,2,"3","5",918,0
"77","R_1CEjMO82igwbJy2","nov 20_4",0,0,57,0,1,1,0,"1.7","4",332,0
"78","R_1CgaojrdAvn0ZIb","dec 4_4",0,0,68,0,1,0,1,"1.6","4",6011,0
"79","R_1CHmg5Y2L8f6mpf","jan 7_5",1,0,22,1,1,0,0,"3.4","5",12826,1
"80","R_1cS7vCtG96WCSme","dec 3_4",1,0,49,0,2,1,1,"4.5","4",5963,0
"81","R_1cS7vCtG96WCSme","dec 3_5",1,0,49,0,2,1,1,"4.5","5",891,0
"82","R_1Cv8p9lUGpeuoku","nov 21_5",1,0,34,0,1,1,0,"3","5",5683,0
"83","R_1CwNSoYjGqc5w68","dec 3_5",1,0,66,0,2,0,0,"3.7","5",10973,0
"84","R_1d4RkBFybLjF1eI","dec 3_5",1,0,39,0,4,1,0,"4.8","5",5939,0
"85","R_1dA0opz4KMu27Vq","nov 21_5",1,0,59,0,4,1,3,"4.8","5",521,0
"86","R_1dafg35WphZT608","jan 6_4",1,0,78,0,1,1,2,"1.3","4",12668,0
"87","R_1DAxsJiBAZFIVnw","dec 9_5",1,0,51,0,2,0,1,"2.8","5",6306,1
"88","R_1dcr2VEgsvXz6Cm","dec 11_5",1,0,52,0,5,0,3,"4.5","5",11756,0
"89","R_1dE1o2ztkaFIGXa","nov 20_4",0,0,31,0,2,1,0,"2.6","4",5525,0
"90","R_1dE1o2ztkaFIGXa","nov 20_5",1,0,31,0,2,1,0,"2.6","5",10597,0
"91","R_1dEQv7WbWMrPtxJ","dec 11_4",0,0,74,0,3,0,1,"3.6","4",11762,0
"92","R_1dEQv7WbWMrPtxJ","dec 11_5",0,0,74,0,3,0,1,"3.6","5",6690,0
"93","R_1dFCPBqQJF8MChP","dec 3_4",0,0,75,1,3,0,1,"4.9","4",796,0
"94","R_1dFCPBqQJF8MChP","dec 3_5",0,0,75,0,3,0,1,"4.9","5",5868,0
"95","R_1dFQQV9BDa8s10j","dec 11_4",0,0,29,0,1,1,1,"2.8","4",1605,0
"96","R_1dFQQV9BDa8s10j","dec 11_5",0,0,29,0,1,1,1,"2.8","5",11749,0
"97","R_1dHqZVVaJNs053O","dec 4_5",1,0,44,NA,1,0,1,"4.4","5",979,0
"98","R_1DI44xM4zB6EWW7","dec 9_4",0,0,72,0,4,0,2,"3.5","4",1220,0
"99","R_1djhTntiYjk8IfE","dec 10_4",0,0,68,0,4,1,1,"3.5","4",1494,0
"100","R_1djhTntiYjk8IfE","dec 10_5",1,0,68,0,4,1,1,"3.5","5",11638,0
"101","R_1dLClN6yekq7L7P","dec 9_4",0,0,32,NA,0,1,0,"1.7","4",11474,0
"102","R_1dLClN6yekq7L7P","dec 9_5",0,0,32,NA,0,1,0,"1.7","5",1330,0
"103","R_1dLK02LNdAoJkYA","nov 20_4",0,0,62,0,2,0,1,"4.7","4",325,0
"104","R_1dNzUCVeuZOgyUD","nov 21_4",1,0,39,0,5,0,3,"4.7","4",10689,0
"105","R_1dNzUCVeuZOgyUD","nov 21_5",1,0,39,0,5,0,3,"4.7","5",5617,0
"106","R_1DSIwng0h72HsMf","jan 7_4",1,0,64,0,2,0,1,"4","4",2633,0
"107","R_1DSIwng0h72HsMf","jan 7_5",1,0,64,0,2,0,1,"4","5",7705,0
"108","R_1dsQGOQhjYRcMvE","dec 5_5",1,0,21,0,1,1,0,"4","5",6257,0
"109","R_1dsrBiyyGcpiUhI","nov 20_5",1,0,66,0,2,0,1,"2.9","5",407,0
"110","R_1DTDe8CtGJpjOp5","dec 4_5",1,0,44,0,3,1,1,"4.4","5",11184,0
"111","R_1DUR8ufUmdgp6Wf","dec 11_4",1,0,19,0,1,1,1,"4.1","4",1567,0
"112","R_1DUR8ufUmdgp6Wf","dec 11_5",0,0,19,0,1,1,1,"4.1","5",11711,0
"113","R_1dvixSLhxUGUd04","dec 11_4",1,0,66,0,1,1,1,"4.1","4",1536,0
"114","R_1dvt7XTidyF1HKJ","dec 5_4",1,0,34,0,3,0,0,"3.7","4",6137,0
"115","R_1dvt7XTidyF1HKJ","dec 5_5",1,0,34,0,3,0,0,"3.7","5",11209,0
"116","R_1DzNqt45AI4LaiV","dec 5_4",1,0,60,1,2,0,1,"3.1","4",1059,0
"117","R_1dzsTN7FBXo9oi4","jan 7_5",0,0,45,0,1,0,0,"2.9","5",7741,0
"118","R_1dzTlCFU0Szpmbd","dec 9_4",1,0,50,0,3,0,3,"2.7","4",11385,0
"119","R_1dzTlCFU0Szpmbd","dec 9_5",1,0,50,0,3,0,3,"2.7","5",6313,0
"120","R_1dzyp1qusB2eBvp","jan 7_4",1,0,39,0,1,0,1,"4.6","4",2681,0
"121","R_1dzyp1qusB2eBvp","jan 7_5",1,0,39,1,1,0,1,"4.6","5",7753,0
"122","R_1E1hy2W8NflKxYN","dec 3_5",0,0,80,0,3,0,3,"4.9","5",5893,0
"123","R_1E5VzaAQmbm2vp7","dec 3_5",1,0,38,0,2,0,1,"3.9","5",5870,0
"124","R_1EcD52hycDGMdwZ","jan 6_4",1,0,46,0,4,0,3,"4.4","4",12582,0
"125","R_1EcD52hycDGMdwZ","jan 6_5",0,0,46,0,4,0,3,"4.4","5",7510,0
"126","R_1EdqaYyWzW1TCuA","dec 5_4",1,0,50,0,2,0,0,"3.5","4",11211,0
"127","R_1eEHvLxOhkzl2Jd","dec 3_5",0,0,43,0,1,1,0,"3.9","5",880,0
"128","R_1eFeRXsDCwONsLj","dec 10_4",0,0,26,0,1,1,0,"4","4",1348,0
"129","R_1EgpJacdOl259jk","dec 10_4",0,0,29,0,2,1,2,"4.9","4",11557,0
"130","R_1Eh4AN44UJmvlZY","jan 6_4",0,0,35,0,4,0,0,"4.8","4",12617,0
"131","R_1Eh4AN44UJmvlZY","jan 6_5",1,0,35,1,4,0,0,"4.8","5",7545,0
"132","R_1EhVvcWmcTowGIS","jan 6_5",1,0,43,0,3,0,1,"2.3","5",2479,0
"133","R_1erxTDx7zqkJUlu","jan 7_5",1,0,63,1,1,1,1,"4.6","5",12748,0
"134","R_1etTh1LwM1SvYzW","jan 7_5",1,0,49,1,3,1,2,"5","5",2702,0
"135","R_1eVtTsY1fTIo5tA","dec 3_4",1,0,74,1,3,0,2,"3.9","4",10962,0
"136","R_1eWDy7b9adJGs1V","dec 11_4",1,0,34,0,3,0,1,"3.9","4",11696,0
"137","R_1eWDy7b9adJGs1V","dec 11_5",1,0,34,0,3,0,1,"3.9","5",1552,0
"138","R_1ewL71kqfS4skYA","dec 5_4",1,0,62,1,2,0,2,"4.2","4",11231,0
"139","R_1ewL71kqfS4skYA","dec 5_5",0,0,62,0,2,0,2,"4.2","5",1087,0
"140","R_1eWqOsgp38M33dr","dec 5_5",1,0,77,0,2,0,0,"3.7","5",1106,0
"141","R_1F2DWE7C1b2JMbZ","jan 6_4",0,0,28,0,2,0,2,"4.6","4",7522,1
"142","R_1F2DWE7C1b2JMbZ","jan 6_5",1,0,28,0,2,0,2,"4.6","5",12594,1
"143","R_1f7qJf6u7rQtSHM","dec 9_4",0,0,29,0,1,0,1,"4.3","4",11469,1
"144","R_1f8zd516CxLkZVj","dec 10_4",0,0,64,0,4,1,0,"3.6","4",1492,0
"145","R_1FCzwyuo4g86pVs","nov 21_4",0,0,46,0,2,1,1,"3.8","4",598,0
"146","R_1fddykl9ynCug0s","jan 7_4",1,0,53,0,3,0,0,"4.1","4",12771,0
"147","R_1fddykl9ynCug0s","jan 7_5",1,0,53,1,3,0,0,"4.1","5",7699,0
"148","R_1FDNzdu2MDjrJe2","jan 7_4",0,0,57,NA,1,1,0,"1","4",12822,0
"149","R_1FDNzdu2MDjrJe2","jan 7_5",0,0,57,NA,1,1,0,"1","5",2678,0
"150","R_1ff6syPnxp2xtTV","dec 9_4",1,0,38,0,1,1,0,"3.4","4",6377,0
"151","R_1FFCxRG87LUxqSJ","dec 4_5",1,0,22,0,3,1,1,"3.9","5",11202,0
"152","R_1FfZmL1Q5adRWJb","dec 9_4",1,0,47,0,3,0,1,"3.5","4",6348,1
"153","R_1FfZmL1Q5adRWJb","dec 9_5",1,0,47,0,3,0,1,"3.5","5",1276,0
"154","R_1FJ5ZvFUjdAFANE","dec 4_5",1,0,31,0,1,1,0,"3.7","5",6085,0
"155","R_1FJOOlC19DTKbCR","dec 11_4",0,0,46,0,1,0,0,"1.9","4",6584,0
"156","R_1FJOOlC19DTKbCR","dec 11_5",0,0,46,0,1,0,0,"1.9","5",1512,0
"157","R_1Fmv1cSsV5y24ZV","dec 9_4",1,0,59,0,1,0,0,"2.7","4",11348,0
"158","R_1FqZARitwXZaMoY","dec 4_4",0,0,19,0,1,1,0,"3.9","4",6099,0
"159","R_1FQzNtDhPV3x2pv","dec 9_4",0,0,60,0,3,0,1,"5","4",6317,0
"160","R_1FQzNtDhPV3x2pv","dec 9_5",1,0,60,0,3,0,1,"5","5",11389,0
"161","R_1FS3D9kyONkeetI","jan 6_4",1,0,62,0,1,1,0,"3.6","4",7597,0
"162","R_1Fsq7VvcJFRHg5V","dec 5_5",0,0,28,0,2,1,0,"3.8","5",1150,0
"163","R_1FsRcTSfxXFFhjw","dec 9_5",1,0,42,0,3,1,1,"4.2","5",6376,1
"164","R_1gcleldFVNEx6lC","dec 5_4",1,0,45,1,3,0,3,"2.4","4",11279,0
"165","R_1gcleldFVNEx6lC","dec 5_5",1,0,45,0,3,0,3,"2.4","5",6207,0
"166","R_1GDhD1KeNtSEl2a","jan 7_4",1,0,52,NA,1,1,0,"2.6","4",7689,0
"167","R_1gFRNIMBiVwkWnC","dec 11_4",1,0,30,NA,3,1,0,"4.5","4",11733,0
"168","R_1gFRNIMBiVwkWnC","dec 11_5",1,0,30,NA,3,1,0,"4.5","5",6661,0
"169","R_1GHAcetyruJEJxX","dec 9_5",1,0,49,0,3,0,0,"4.5","5",1265,0
"170","R_1GHBu0r33sFDr9K","dec 4_5",1,0,69,0,2,0,2,"3.4","5",11113,0
"171","R_1gHIeqQogzu5blS","dec 9_4",1,0,65,0,1,0,2,"3.9","4",6299,0
"172","R_1GIlUgykUG3IbpD","nov 21_4",0,0,34,0,3,1,2,"3.8","4",5619,0
"173","R_1GIlUgykUG3IbpD","nov 21_5",0,0,34,0,3,1,2,"3.8","5",10691,0
"174","R_1gjPWtUXrp3e8Qm","dec 3_4",1,0,61,0,3,0,3,"4.8","4",768,0
"175","R_1gLvs0iENUileCa","jan 6_4",1,0,35,0,1,0,0,"3.9","4",7553,0
"176","R_1gO1WOZfiTRyXJG","dec 10_4",0,0,38,0,4,1,2,"4.1","4",1454,0
"177","R_1gO1WOZfiTRyXJG","dec 10_5",1,0,38,0,4,1,2,"4.1","5",11598,0
"178","R_1GOBY6Snzec4cUW","dec 5_5",0,0,71,0,3,0,0,"2.9","5",6184,0
"179","R_1GQYKTL9OUbrstj","nov 21_5",1,0,49,0,2,1,2,"3.3","5",10721,0
"180","R_1gSForhdi6R9m5P","nov 21_5",1,0,56,0,3,0,1,"3.7","5",554,0
"181","R_1gSJAXesJ6NhmFu","nov 20_4",0,0,18,0,1,1,1,"4","4",10594,0
"182","R_1GT6sjJmQ2Yo6gf","dec 3_4",0,0,38,0,3,0,3,"5","4",5986,0
"183","R_1GT6sjJmQ2Yo6gf","dec 3_5",1,0,38,0,3,0,3,"5","5",11058,0
"184","R_1gub2IGTy3zaMff","nov 20_4",1,0,44,0,3,0,1,"2.9","4",322,0
"185","R_1gub2IGTy3zaMff","nov 20_5",0,0,44,0,3,0,1,"2.9","5",5394,0
"186","R_1GVpBSVmrneoQza","dec 10_4",0,0,61,0,1,1,0,"1.5","4",6447,0
"187","R_1GVpBSVmrneoQza","dec 10_5",0,0,61,0,1,1,0,"1.5","5",1375,0
"188","R_1gwQVf1YEZi5BYl","jan 7_4",1,0,50,0,3,0,3,"3","4",12829,0
"189","R_1gwQVf1YEZi5BYl","jan 7_5",1,0,50,0,3,0,3,"3","5",2685,0
"190","R_1GwReoGZzNGrluT","dec 4_4",1,0,41,0,1,1,2,"2.7","4",11148,0
"191","R_1GwReoGZzNGrluT","dec 4_5",1,0,41,0,1,1,2,"2.7","5",1004,0
"192","R_1GWw7gIVK32hfcF","nov 21_4",0,0,43,0,4,1,1,"4.4","4",584,0
"193","R_1GWw7gIVK32hfcF","nov 21_5",1,0,43,0,4,1,1,"4.4","5",5656,0
"194","R_1GWzky2zM8qHYm6","nov 21_4",1,0,74,0,2,1,3,"4.4","4",10694,0
"195","R_1GWzky2zM8qHYm6","nov 21_5",1,0,74,0,2,1,3,"4.4","5",550,0
"196","R_1Gy9sqaUuI8MThb","jan 6_5",1,0,34,0,3,0,1,"3.2","5",2499,1
"197","R_1GZGOFmSF0qi0O0","dec 3_4",1,0,50,0,2,0,1,"4.6","4",11067,0
"198","R_1H2ekGM4R6BNCya","jan 7_4",0,0,50,0,3,0,3,"3","4",7684,0
"199","R_1H2ekGM4R6BNCya","jan 7_5",0,0,50,0,3,0,3,"3","5",2612,0
"200","R_1H2krzyc107TtQC","nov 21_4",1,0,69,0,4,0,3,"4.5","4",5609,0
"201","R_1H8Nmw9ZK7ghWix","jan 6_5",0,0,62,0,4,0,3,"3","5",7489,0
"202","R_1hDLaxhuOWqboNi","nov 21_4",0,0,35,0,4,0,1,"1.7","4",10699,0
"203","R_1He3B4XkgR6pr6x","dec 3_4",0,0,33,0,4,0,1,"4.9","4",753,0
"204","R_1He3B4XkgR6pr6x","dec 3_5",1,0,33,0,4,0,1,"4.9","5",5825,0
"205","R_1hFr4QOGSVk3jCT","jan 6_5",1,0,77,0,4,1,2,"3.6","5",2566,0
"206","R_1hG63WOdh52qQyG","dec 3_4",0,0,71,0,3,0,2,"3.2","4",806,0
"207","R_1hG63WOdh52qQyG","dec 3_5",1,0,71,0,3,0,2,"3.2","5",5878,0
"208","R_1HhIEloG95bOZ8z","nov 21_4",1,0,68,0,3,0,2,"4.1","4",5585,0
"209","R_1HhIEloG95bOZ8z","nov 21_5",1,0,68,0,3,0,2,"4.1","5",513,0
"210","R_1Hkug0fIM3PuByf","dec 5_4",1,0,45,0,4,1,3,"3.7","4",1188,1
"211","R_1hLqFRpDxtqtCYd","jan 7_4",1,0,71,0,1,1,0,"4.2","4",7722,0
"212","R_1HnrvtTm3qurDDF","nov 21_4",0,0,58,0,3,0,0,"3.4","4",5578,0
"213","R_1HoDGmxQvRIlwJ0","dec 3_4",0,0,63,0,2,0,1,"4.1","4",10969,0
"214","R_1HoRdTtBmABUG1b","dec 10_4",1,0,43,0,4,1,3,"5","4",1446,0
"215","R_1hzpFO4nQSKJG8F","dec 11_5",1,0,30,0,3,1,2,"3.1","5",1594,0
"216","R_1i4cIGs68W7w4WV","nov 20_4",0,0,67,0,4,0,3,"3.7","4",5496,0
"217","R_1i4cIGs68W7w4WV","nov 20_5",1,0,67,0,4,0,3,"3.7","5",424,0
"218","R_1I6qBHKOiBlAHKW","dec 3_5",1,0,62,0,3,0,1,"3.7","5",815,0
"219","R_1I77lMv2laANT4i","dec 10_4",1,0,70,0,1,1,1,"4.2","4",11623,0
"220","R_1i9uGJnczsDFG1D","dec 4_4",0,0,38,0,1,1,1,"2.9","4",1010,0
"221","R_1Ia2KDtMVd1HKTj","dec 9_4",0,0,42,0,3,1,3,"4.6","4",6350,0
"222","R_1IAW6f64xem64I4","nov 20_4",1,0,42,0,4,0,1,"4.8","4",5504,0
"223","R_1IAW6f64xem64I4","nov 20_5",1,0,42,0,4,0,1,"4.8","5",432,0
"224","R_1IdbMaQZRlSkVGh","nov 20_5",1,0,42,0,1,0,0,"3.4","5",5457,0
"225","R_1IDT9YauA2fuAAH","dec 5_4",0,0,29,0,1,1,0,"3.5","4",1190,0
"226","R_1IDT9YauA2fuAAH","dec 5_5",0,0,29,0,1,1,0,"3.5","5",11334,0
"227","R_1IFyIpGuesaPe9U","dec 5_5",1,0,69,0,5,0,2,"3.3","5",6204,0
"228","R_1igO5elwPeY6rkB","dec 4_5",1,0,46,0,3,1,1,"4","5",11142,0
"229","R_1IhLExu89XiREEf","dec 3_4",1,0,73,0,2,0,1,"4.5","4",5993,0
"230","R_1IizJpefVFNGS9I","jan 6_4",0,0,58,0,5,0,0,"2.8","4",12577,0
"231","R_1IizJpefVFNGS9I","jan 6_5",0,0,58,0,5,0,0,"2.8","5",2433,0
"232","R_1ILtePO4NtDir64","dec 5_5",1,0,37,0,0,1,0,"3.3","5",6213,0
"233","R_1IM0aK1BIXPH9JN","dec 11_5",1,0,39,0,3,0,2,"3.8","5",1554,0
"234","R_1InJsRBZFuhtjy7","dec 3_4",0,0,62,0,3,0,0,"3.4","4",11064,0
"235","R_1InJsRBZFuhtjy7","dec 3_5",1,0,62,0,3,0,0,"3.4","5",920,0
"236","R_1INrCyE2eqlJuuS","dec 11_4",1,0,58,0,1,1,0,"3.7","4",11668,0
"237","R_1Io5noYva4PeC0R","jan 6_5",1,0,55,0,1,1,1,"3.2","5",12673,0
"238","R_1IoqhoCfGnh74k0","nov 20_4",1,0,71,0,4,0,3,"2.7","4",5440,0
"239","R_1IoqhoCfGnh74k0","nov 20_5",1,0,71,0,4,0,3,"2.7","5",368,0
"240","R_1IozvRlrRiDK2a5","dec 9_4",1,0,43,0,4,1,1,"4.6","4",11452,0
"241","R_1IozvRlrRiDK2a5","dec 9_5",1,0,43,0,4,1,1,"4.6","5",1308,0
"242","R_1IQ1gJ0KVIqpSbF","dec 4_4",1,0,46,0,1,0,0,"3.8","4",6039,0
"243","R_1is8xQ9ZfWrIEWK","nov 20_4",0,0,41,0,4,0,2,"4.3","4",5425,0
"244","R_1is8xQ9ZfWrIEWK","nov 20_5",0,0,41,0,4,0,2,"4.3","5",10497,1
"245","R_1IuDEOr5nU8tyvr","jan 7_4",1,0,65,0,1,1,1,"3.4","4",2606,0
"246","R_1IXjZ3wpGiVMuCX","nov 20_4",1,0,67,0,3,0,1,"4.9","4",10498,0
"247","R_1IyjziH2Q4zaKfG","jan 7_4",1,0,60,0,1,1,0,"3.9","4",2629,0
"248","R_1IyjziH2Q4zaKfG","jan 7_5",1,0,60,1,1,1,0,"3.9","5",7701,0
"249","R_1IYrNosYfdz2kv8","dec 4_4",1,0,48,0,1,1,0,"2.5","4",11192,0
"250","R_1Izy6xFnY1VSOvR","dec 11_4",1,0,74,0,1,1,0,"4","4",1533,0
"251","R_1Izy6xFnY1VSOvR","dec 11_5",1,0,74,0,1,1,0,"4","5",11677,0
"252","R_1j9sCLZJkkvzxsM","dec 5_4",1,0,28,1,1,1,0,"3.4","4",6254,0
"253","R_1jAH1ZRuT8OpOrb","dec 3_5",1,0,34,0,1,1,2,"3.6","5",11016,0
"254","R_1jcEDAJXydpNjeP","dec 11_4",1,0,28,0,1,1,0,"3.1","4",6572,0
"255","R_1jcEDAJXydpNjeP","dec 11_5",0,0,28,0,1,1,0,"3.1","5",1500,0
"256","R_1JCu7zznVxe6YnL","dec 9_5",1,0,38,0,3,1,1,"5","5",6356,0
"257","R_1JF3QJ7HAc4XlVJ","dec 9_4",1,0,33,0,1,1,0,"3.6","4",1298,0
"258","R_1jGNDCcQowX9Nem","dec 5_5",1,0,42,0,3,1,1,"3.4","5",1191,0
"259","R_1jGS1pIOlOeaefj","dec 10_4",0,0,41,0,3,1,3,"4.3","4",11581,0
"260","R_1jGS1pIOlOeaefj","dec 10_5",1,0,41,0,3,1,3,"4.3","5",1437,0
"261","R_1jHykvGBQVjjGXv","dec 3_4",0,0,62,0,4,0,3,"3.4","4",10963,0
"262","R_1jHykvGBQVjjGXv","dec 3_5",1,0,62,0,4,0,3,"3.4","5",5891,0
