"","ResponseId","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","X","Search_Online"
"59","R_1f2g5YQplptml9m","jan 21_3",0,3,21,4,1,1,"No",1,1056,0,0,0,"Moderate","Conservative",0,0,0,14413,1
"60","R_1f3GccU7QHbiZuq","jan 13_1",0,4,37,4.2,2,1,"Yes",3,836,1,1,0,"Conservative","Neutral",0,0,0,12093,0
"61","R_1F3ScSVJqx92jr9","feb 6_3",1,6,25,4.2,2,2,"Not Sure",3,2037,-2,0,0,"Liberal","Conservative",0,1,0,10618,1
"62","R_1F4cNuaUKIWryT0","jan 21_1",0,3,35,5,0,1,"Yes",3,1100,2,0,0,"Conservative","Conservative",1,0,0,14394,0
"63","R_1f6IPmEuMnZT5P5","dec 11_1",0,4,50,3.5,1,3,"No",3,463,0,0,0,"Moderate","Conservative",0,0,0,13264,0
"64","R_1FaB2KahBzOPiWR","dec 16_1",1,6,33,3.6,1,3,"No",3,4534,0,0,0,"Moderate","Conservative",0,1,0,10089,0
"65","R_1fdTSwtebuHFh0w","jan 27_3",0,1,39,5,3,4,"Yes",3,716,-2,0,0,"Liberal","Neutral",0,0,0,12171,1
"66","R_1fdyWkvgNnUNIEb","jan 28_1",0,3,36,4.5,0,1,"No",2,1422,-2,0,0,"Liberal","Conservative",0,0,0,12956,0
"67","R_1FEV9skQhLuv5Ca","jan 13_1",0,3,61,4.8,1,0,"No",3,1161,0,0,0,"Moderate","Neutral",0,0,0,11977,0
"68","R_1Fh03s74ovCUAs6","dec 11_3",0,5,23,3.5,3,4,"No",3,785,1,0,0,"Conservative","Conservative",1,0,0,13268,0
"69","R_1FIBjLiiBV3oXiB","feb 6_3",1,6,41,4.3,1,2,"Yes",4,1138,1,0,0,"Conservative","Conservative",1,1,0,10651,1
"70","R_1FLihm2kHnvc8Tr","dec 4_1",0,4,48,2.9,1,4,"Not Sure",4,1536,-2,1,0,"Liberal","Conservative",0,0,0,10061,0
"71","R_1FqQDpNP2eFqZ55","feb 6_3",0,5,49,4.3,0,2,"Yes",3,3298,0,1,0,"Moderate","Conservative",0,0,0,10678,0
"72","R_1FR1ZdjALrYfcYW","jan 27_3",1,5,38,4.7,1,2,"No",2,1233,1,0,0,"Conservative","Neutral",0,1,0,12200,0
"73","R_1FsnV2HleIaoL62","feb 4_3",1,5,53,3.7,2,1,"Yes",2,622,1,1,0,"Conservative","Neutral",0,1,0,13841,0
"74","R_1FtBptxS90yaz4U","dec 10_1",0,1,50,4.1,0,1,"Yes",4,1703,0,1,0,"Moderate","Conservative",0,0,0,12451,0
"75","R_1Ftw0cTSKjU1qrx","dec 18_1",0,5,48,4.2,2,1,"Not Sure",4,704,0,0,0,"Moderate","Conservative",0,0,0,11870,0
"76","R_1FyPxsVmje0QuuM","dec 2_3",1,6,39,3.6,0,1,"No",3,758,1,1,0,"Conservative","Neutral",0,1,0,13209,0
"77","R_1g7TLvHtvQOVgl3","jan 13_1",1,6,45,4.8,1,3,"No",4,1286,0,0,0,"Moderate","Neutral",0,1,0,12029,0
"78","R_1g8gUQ8TFuTIBKZ","dec 4_2",1,4,49,4,1,3,"Yes",1,1206,-2,1,0,"Liberal","Liberal",1,1,0,10054,0
"79","R_1g8xyRrOobYrl74","feb 4_3",0,3,21,5,2,2,"No",3,586,2,0,0,"Conservative","Neutral",0,0,0,13730,1
"80","R_1gAyn5ZCNo1qn6x","feb 5_3",0,3,24,5,1,3,"No",4,1176,-3,0,0,"Liberal","Neutral",0,0,0,14570,0
"81","R_1GBRW7GYJdiXbwW","feb 5_1",0,2,40,3.7,0,1,"No",1,1296,0,0,0,"Moderate","Conservative",0,0,0,14542,0
"82","R_1gcFgwiTzvlfNzZ","jan 28_1",1,7,67,2.6,0,0,"Yes",0,1333,-3,1,0,"Liberal","Conservative",0,1,0,12986,0
"83","R_1gedL1V9S6CSKxy","nov 21_1",0,4,67,4.9,0,0,"No",2,1208,3,0,0,"Conservative","Conservative",1,0,0,12290,0
"84","R_1gI1gsKHkG1oOiE","jan 8_1",0,1,63,2.8,1,3,"No",4,1549,-1,1,0,"Liberal","Conservative",0,0,0,10371,0
"85","R_1gkIoiDVRn7dJvt","dec 3_2",0,1,27,2.6,1,1,"No",4,1184,1,0,0,"Conservative","Liberal",0,0,0,13991,0
"86","R_1gkJKj2ziOFFZAw","dec 11_3",1,7,39,3.2,3,1,"Yes",5,763,2,1,0,"Conservative","Conservative",1,1,0,13368,0
"87","R_1GKu0vKKFu0ICA1","dec 11_3",1,6,36,2.8,2,2,"No",3,2499,-1,0,0,"Liberal","Conservative",0,1,0,13285,0
"88","R_1GOkXsQOzrgBXEF","dec 4_2",0,5,23,4.6,0,2,"No",3,1033,3,0,0,"Conservative","Liberal",0,0,0,9996,0
"89","R_1guqpx3pEpulxlm","dec 4_1",0,2,64,4.4,1,1,"No",4,872,-2,1,0,"Liberal","Conservative",0,0,0,9958,0
"90","R_1gzM48QRppur1qd","dec 19_1",0,5,36,2.8,3,0,"No",3,679,3,1,0,"Conservative","Conservative",1,0,0,12725,0
"91","R_1gzqx7XMnKQN1PW","jan 13_1",1,4,19,4,0,3,"No",1,1612,2,0,0,"Conservative","Neutral",0,1,0,11989,1
"92","R_1H5IgTe9CNJG6Rz","dec 16_1",1,6,66,4.9,2,0,"Yes",4,1074,1,0,0,"Conservative","Conservative",1,1,0,10164,0
"93","R_1H8ABBGoWxDIOq6","dec 18_1",1,5,70,3.5,0,3,"Not Sure",1,2875,-2,1,0,"Liberal","Conservative",0,1,0,11865,0
"94","R_1HbZitqzQDlRoU7","jan 13_2",0,4,33,3.1,3,1,"Yes",5,609,-2,1,0,"Liberal","Liberal",1,0,0,12064,0
"95","R_1hEakeXKKYKtRlj","jan 13_2",0,2,18,4.2,1,3,"No",1,1116,-2,1,0,"Liberal","Liberal",1,0,0,12006,0
"96","R_1Herg2KF6yqQkBw","feb 4_3",0,6,54,4.2,3,3,"Yes",2,697,3,1,0,"Conservative","Neutral",0,0,0,13812,0
"97","R_1hGygEg725Yhnt3","feb 5_1",1,6,31,3.1,1,2,"No",3,718,0,0,0,"Moderate","Conservative",0,1,0,14558,0
"98","R_1HhsMNwdXLJc5lA","jan 21_3",0,4,18,3.7,0,2,"Not Sure",1,701,1,1,0,"Conservative","Conservative",1,0,0,14443,0
"99","R_1HiMQInmsb032Lj","dec 17_1",0,1,28,4.2,0,2,"No",2,2556,0,1,0,"Moderate","Conservative",0,0,0,11143,0
"100","R_1HivvWcHp4bB6cV","nov 21_3",0,1,63,3.8,3,1,"Yes",1,768,0,0,0,"Moderate","Conservative",0,0,0,12373,0
"101","R_1HixYk2g4sfI7ZI","jan 21_3",1,6,38,2.9,1,2,"Yes",3,984,1,0,0,"Conservative","Conservative",1,1,0,14388,0
"102","R_1Hkn3wv3mbkUkns","feb 4_3",0,1,41,4.9,1,0,"Yes",3,893,2,0,0,"Conservative","Neutral",0,0,0,13780,0
"103","R_1hM900KgB40Nwkz","jan 21_3",0,1,46,5,0,3,"No",1,778,-2,0,0,"Liberal","Conservative",0,0,0,14332,0
"104","R_1hMTVCnWuKigfju","dec 3_2",1,6,36,4.1,0,2,"Not Sure",3,729,-1,0,0,"Liberal","Liberal",1,1,0,13882,0
"105","R_1HohPRwwJ9GWr9N","feb 4_3",0,2,40,4,1,0,"Yes",4,3332,-1,0,0,"Liberal","Neutral",0,0,0,13748,0
"106","R_1Hq9DQf2Hd6tusx","dec 3_2",0,4,49,4.9,0,3,"No",1,1188,2,0,0,"Conservative","Liberal",0,0,0,13995,0
"107","R_1HqOg6AarDkBPT8","feb 5_1",1,4,40,3.5,1,2,"Yes",4,1265,2,0,0,"Conservative","Conservative",1,1,0,14524,0
"108","R_1hxPXpgnqKFTMOy","feb 4_3",0,1,27,4.1,2,2,"No",4,857,0,0,0,"Moderate","Neutral",0,0,0,13771,0
"109","R_1i3dkYZoPH62zv5","dec 16_1",0,5,34,4.2,1,2,"No",2,1585,1,1,0,"Conservative","Conservative",1,0,0,10133,0
"110","R_1i4KETX7kRqQWsz","dec 4_2",0,4,57,3.6,1,1,"No",5,1663,0,1,0,"Moderate","Liberal",0,0,0,9926,0
"111","R_1I5WCzt2Uc4lwgX","jan 28_1",0,3,31,4.4,1,2,"No",3,1806,-2,1,0,"Liberal","Conservative",0,0,0,13028,0
"112","R_1i7ZZLeNO4ZWtn4","dec 4_1",1,6,61,3.5,0,1,"No",3,1109,-2,0,0,"Liberal","Conservative",0,1,0,10006,0
"113","R_1i8mDxzi9OCTDSh","jan 27_3",0,5,60,4.4,1,3,"Yes",2,1151,3,0,0,"Conservative","Neutral",0,0,0,12136,0
"114","R_1i8XdehTHy2V0ua","nov 21_1",0,4,67,1.6,0,1,"Yes",3,955,0,1,0,"Moderate","Conservative",0,0,0,12337,0
"115","R_1IaMSzgs4HnzoNX","feb 5_3",0,3,49,5,0,2,"No",3,1626,3,0,0,"Conservative","Neutral",0,0,0,14504,0
"116","R_1IblODu3bWCBnaT","dec 18_1",0,1,42,4.5,2,2,"No",4,846,-2,0,0,"Liberal","Conservative",0,0,0,11801,0
"117","R_1IcIbBaNPKbz6ou","feb 6_3",0,4,36,3.7,0,0,"No",1,649,0,1,0,"Moderate","Conservative",0,0,0,10690,0
"118","R_1IFoFuS9MiYAoyu","jan 28_1",0,3,22,3.9,2,1,"No",0,1297,-1,0,0,"Liberal","Conservative",0,0,0,13022,0
"119","R_1ifWg50jbW6vAWX","feb 6_3",1,6,36,3.5,0,1,"Not Sure",3,1502,0,1,0,"Moderate","Conservative",0,1,0,10699,0
"120","R_1IhORIyZyMtKfiu","dec 19_1",1,6,34,3.6,1,1,"Yes",2,1068,1,0,0,"Conservative","Conservative",1,1,0,12683,0
"121","R_1IHuM0yGrIyuY5J","feb 6_3",0,1,41,5,0,2,"Yes",3,1663,-1,0,0,"Liberal","Conservative",0,0,0,10588,0
"122","R_1ikh9nbYohMfbB0","feb 6_2",0,3,37,4,2,4,"No",3,659,0,0,0,"Moderate","Liberal",0,0,0,10652,0
"123","R_1ILOHj6F9ghRFNG","jan 13_2",1,6,55,3.4,0,1,"No",1,1194,-3,0,0,"Liberal","Liberal",1,1,0,12046,0
"124","R_1IN14iyFoK1YZ3K","dec 10_1",0,3,31,3.1,1,3,"No",4,895,0,1,0,"Moderate","Conservative",0,0,0,12444,0
"125","R_1IpiOglNXkJWztn","dec 4_2",0,3,43,3.1,3,1,"Yes",4,7801,-2,0,0,"Liberal","Liberal",1,0,0,9964,0
"126","R_1iqA95c6UUL1PSk","jan 8_1",0,3,19,4.2,0,3,"No",1,1328,2,0,0,"Conservative","Conservative",1,0,0,10292,1
"127","R_1IXEq23I2TP5J2l","jan 13_2",1,6,68,4.5,1,3,"Yes",2,3637,-3,0,0,"Liberal","Liberal",1,1,0,12058,0
"128","R_1IXh4h5Y6v4jRqG","dec 12_1",0,4,49,3.9,1,1,"No",2,566,0,1,0,"Moderate","Conservative",0,0,0,14019,0
"129","R_1j6Ac1QPLcRx5Qf","dec 19_1",0,4,52,2.6,1,1,"Yes",1,1723,3,1,0,"Conservative","Conservative",1,0,0,12594,0
"130","R_1j6yyHJFS0sYZuD","feb 6_2",0,4,31,4,1,1,"No",4,791,-2,0,0,"Liberal","Liberal",1,0,0,10643,0
"131","R_1j6zjRadg4MI0fi","nov 21_3",1,5,63,1.6,0,2,"No",3,1440,3,1,0,"Conservative","Conservative",1,1,0,12328,0
"132","R_1j7Xm9MZwx98Swc","dec 3_1",0,4,73,4.5,1,0,"No",4,1851,2,0,0,"Conservative","Neutral",0,0,0,13911,1
"133","R_1j7zzyvr6IvOohI","dec 10_1",0,4,30,4.2,0,2,"Yes",3,812,1,1,0,"Conservative","Conservative",1,0,0,12575,0
"134","R_1jD5MD9Mt2Aq1I2","feb 5_1",0,4,44,3.7,2,2,"No",3,755,1,1,0,"Conservative","Conservative",1,0,0,14643,0
"135","R_1jkQsWdehKZe4o3","dec 16_1",0,5,29,2.8,1,3,"No",3,829,2,1,0,"Conservative","Conservative",1,0,0,10128,0
"136","R_1JLsBzQGro9C0KJ","jan 6_1",1,5,40,4.7,2,2,"Yes",4,916,0,0,0,"Moderate","Conservative",0,1,0,13395,0
"137","R_1JQKLx06rqtSpq8","dec 10_1",0,3,58,3.5,3,1,"Yes",3,930,2,0,0,"Conservative","Conservative",1,0,0,12465,0
"138","R_1jrDDS9teu12mYM","dec 18_1",1,6,36,2.8,1,2,"No",3,510,2,0,0,"Conservative","Conservative",1,1,0,11882,0
"139","R_1jrgRPno7WExiVo","dec 17_1",0,1,36,4.5,2,3,"No",5,676,2,1,0,"Conservative","Conservative",1,0,0,11177,0
"140","R_1JWRjMZJzmG6pjw","dec 12_1",0,1,52,4.3,1,0,"No",1,795,-3,1,0,"Liberal","Conservative",0,0,0,14104,1
"141","R_1K0EWhlLolu3duE","feb 4_3",0,1,33,4.9,2,2,"No",4,1857,1,0,0,"Conservative","Neutral",0,0,0,13707,0
"142","R_1k23bayKe9cQA4e","feb 5_3",0,4,63,4.9,1,3,"No",3,2231,-3,1,0,"Liberal","Neutral",0,0,0,14605,1
"143","R_1K6Fi9oI39T0xhG","dec 17_1",1,6,54,3.3,0,2,"Yes",3,2180,3,0,0,"Conservative","Conservative",1,1,0,11071,0
"144","R_1K7401iYmkgjgxl","dec 4_2",0,3,39,2.8,1,0,"No",1,1512,1,0,0,"Conservative","Liberal",0,0,0,10002,0
"145","R_1K8VDFUzDq0ro6i","dec 10_2",0,4,49,3.9,2,0,"Yes",1,1425,1,1,0,"Conservative","Neutral",0,0,0,12459,0
"146","R_1K9CaEORj6cgy0g","dec 4_2",1,4,56,2.9,1,1,"No",1,1042,-2,1,0,"Liberal","Liberal",1,1,0,9965,0
"147","R_1KjaT6V0T8Sr7Ca","jan 8_4",0,2,32,4.9,0,1,"Yes",1,1318,-3,0,0,"Liberal","Conservative",0,0,0,10265,0
"148","R_1KlLy2V7eAVOa2n","nov 21_1",0,4,47,4.1,2,4,"No",2,1160,0,0,0,"Moderate","Conservative",0,0,0,12400,0
"149","R_1KoOmGOIUG0zdTu","dec 3_2",0,1,23,4.8,1,3,"No",2,630,0,1,0,"Moderate","Liberal",0,0,0,13931,1
"150","R_1kRBvCLKuYxFOJZ","feb 5_3",0,2,65,3.3,2,3,"No",1,1097,-2,0,0,"Liberal","Neutral",0,0,0,14540,0
"151","R_1KuTeQi6g5Pw8de","jan 6_1",1,7,71,2.5,0,3,"Yes",1,1912,0,1,0,"Moderate","Conservative",0,1,0,13511,0
"152","R_1Kx3L7qHlCTmUQV","jan 27_3",0,4,36,3.8,1,1,"Yes",2,1586,0,0,0,"Moderate","Neutral",0,0,0,12166,0
"153","R_1LbMBaTd1EkQ9by","feb 5_1",0,3,63,2.9,1,0,"Yes",3,1653,2,1,0,"Conservative","Conservative",1,0,0,14604,0
"154","R_1LC0EQNonpjEJGy","feb 6_2",1,6,51,3,1,0,"Not Sure",4,1032,0,1,0,"Moderate","Liberal",0,1,0,10657,0
"155","R_1lcNVTNK62T7vwA","nov 21_1",0,1,37,4.3,1,1,"No",3,2591,-3,0,0,"Liberal","Conservative",0,0,0,12377,0
"156","R_1Le4JSyxHcEAYOA","dec 11_1",0,5,61,3.8,0,0,"Yes",4,3300,-1,1,0,"Liberal","Conservative",0,0,0,13361,0
"157","R_1LFCz05sZ18Wt2Z","feb 5_1",1,7,73,3.4,1,2,"Yes",3,1485,3,0,0,"Conservative","Conservative",1,1,0,14521,0
"158","R_1LH1nMn6tJjERxf","dec 16_1",1,7,40,4.3,2,2,"No",2,716,-3,0,0,"Liberal","Conservative",0,1,0,10155,0
"159","R_1lht057hCq39kAI","dec 18_1",0,4,37,4.7,3,1,"No",4,724,2,0,0,"Conservative","Conservative",1,0,0,11876,0
"160","R_1LhWSZla3plY4r9","feb 6_3",0,4,18,3.9,0,3,"No",1,543,0,0,0,"Moderate","Conservative",0,0,0,10575,0
"161","R_1LIgrYwZZez4hxU","dec 12_1",0,6,65,2.9,1,0,"No",1,1387,0,0,0,"Moderate","Conservative",0,0,0,14091,0
"162","R_1llqrCORCON1hk9","dec 16_1",1,7,62,3.7,2,2,"No",2,1789,3,0,0,"Conservative","Conservative",1,1,0,10165,0
"163","R_1llv9nIXLcaR9Od","feb 5_3",0,4,51,3.4,0,2,"Not Sure",1,2089,0,1,0,"Moderate","Neutral",0,0,0,14490,0
"164","R_1LNkSmqYvKjumQM","dec 4_2",0,2,55,2.1,0,2,"No",1,1807,2,1,0,"Conservative","Liberal",0,0,0,10027,0
"165","R_1LO6cVGMwBkkVsM","dec 4_2",1,7,42,4.7,0,3,"Yes",3,2361,1,1,0,"Conservative","Liberal",0,1,0,10062,0
"166","R_1LOMLpVhOM6yfcC","dec 16_1",0,4,37,4.4,1,2,"No",1,1577,-1,1,0,"Liberal","Conservative",0,0,0,10220,0
"167","R_1LoMw0p7MCZLC5v","jan 8_4",1,6,18,4.6,0,1,"No",1,899,-2,0,0,"Liberal","Conservative",0,1,0,10278,0
"168","R_1LTjkaPvR9rZIw4","feb 4_3",0,1,47,5,2,4,"No",3,987,1,1,0,"Conservative","Neutral",0,0,0,13695,0
"169","R_1M0MpljBqIa1UrV","jan 21_1",1,7,56,3,0,0,"Yes",1,1440,3,1,0,"Conservative","Conservative",1,1,0,14461,0
"170","R_1M3XrmDl91iIuB2","nov 20_1",0,4,23,5,1,0,"No",1,990,-2,0,0,"Liberal","Conservative",0,0,0,11613,0
"171","R_1mf0jQbPJNCti3p","dec 2_3",0,5,27,4.6,1,1,"No",5,854,-1,0,0,"Liberal","Neutral",0,0,0,13091,0
"172","R_1mFojNy0CXSht8l","jan 13_1",1,5,21,4.7,0,2,"No",2,1034,0,0,0,"Moderate","Neutral",0,1,0,11994,0
"173","R_1mkr4JgcG64bAIO","dec 3_1",0,4,59,4.5,3,1,"No",1,1548,2,0,0,"Conservative","Neutral",0,0,0,13899,0
"174","R_1MLf0ULT3yUnhk0","dec 11_1",0,2,36,4.3,1,1,"No",2,2873,-2,0,0,"Liberal","Conservative",0,0,0,13311,0
"175","R_1MMwWJXf9Uqexzj","nov 21_1",0,6,39,4.4,3,1,"Yes",4,1283,2,0,0,"Conservative","Conservative",1,0,0,12363,0
"176","R_1MPYWrJkWyeDGbT","dec 12_1",1,6,21,4.1,0,3,"No",1,1340,0,1,0,"Moderate","Conservative",0,1,0,14156,0
