ResponseId,Day,Article_day,Category,True_Dummy,Seven_Ordinal,Four_Ordinal,Age,Gender,FC_Eval,Dummy_Ideology,Ideo_Congruence,Income_Score,Education_Score,Dig_Lit_Score,Article_Lean,Headline_Link,Search_Term
R_20M3irK9yP7zOGl,Day_1,Day_1_4,Misl,0,3,2,29,0,FM,Liberal,0,1,4,64,Neutral,0,arizona 2020 election audit
R_24d72uJHVnyQYtL,Day_1,Day_1_1,TRUE,1,6,4,67,0,FM,Liberal,0,2,3,42,Conservative,0,AZ Senator demands Biden elector recall
R_24d72uJHVnyQYtL,Day_1,Day_1_3,TRUE,1,6,4,67,0,FM,Liberal,0,2,3,42,Neutral,0,This is worrying me quite a bit
R_28LGm9yGG0Iqu3d,Day_1,Day_1_3,Misl,0,3,2,41,1,FM,Liberal,0,2,2,62,Neutral,0,covid cases in vaccinated areas
R_28LGm9yGG0Iqu3d,Day_1,Day_1_4,Misl,0,1,1,41,1,FM,Liberal,0,2,2,62,Neutral,0,arizona election results
R_29bRUJw7avEFWPS,Day_1,Day_1_1,TRUE,1,7,3,44,1,FM,Conservative,1,1,2,44,Conservative,0,Biden Shocking Audit Revelations
R_29bRUJw7avEFWPS,Day_1,Day_1_1,TRUE,1,7,3,44,1,FM,Conservative,1,1,2,44,Conservative,0,AZ State Senator
R_29bRUJw7avEFWPS,Day_1,Day_1_1,TRUE,1,7,3,44,1,FM,Conservative,1,1,2,44,Conservative,0,Biden electors to be recalled to Arizona
R_29bRUJw7avEFWPS,Day_1,Day_1_1,TRUE,1,7,3,44,1,FM,Conservative,1,1,2,44,Conservative,0,Biden electors to be recalled to Arizona 
R_29bRUJw7avEFWPS,Day_1,Day_1_4,TRUE,1,7,4,44,1,FM,Conservative,0,1,2,44,Neutral,0,Arizona Republicans audit claims
R_29bRUJw7avEFWPS,Day_1,Day_1_4,TRUE,1,7,4,44,1,FM,Conservative,0,1,2,44,Neutral,0,Arizona Republicans audit will show Trump won
R_29bRUJw7avEFWPS,Day_1,Day_1_4,TRUE,1,7,4,44,1,FM,Conservative,0,1,2,44,Neutral,0,Arizona Republicans audit will show Trump won
R_29bRUJw7avEFWPS,Day_1,Day_1_4,TRUE,1,7,4,44,1,FM,Conservative,0,1,2,44,Neutral,0,Arizona Republicans audit will show Trump won
R_2CP0ViI1UUoKy8a,Day_1,Day_1_3,TRUE,1,5,3,39,1,FM,Conservative,0,1,4,47,Neutral,0,Dr. Robert Malone covid surge
R_2CP0ViI1UUoKy8a,Day_1,Day_1_3,TRUE,1,5,3,39,1,FM,Conservative,0,1,4,47,Neutral,0,Dr. Robert Malone covid surge worries
R_2dNoaZl9MnI4t0A,Day_1,Day_1_3,Misl,0,1,1,33,1,FM,Liberal,0,2,3,64,Neutral,0,zerohedge.com bias
R_2dNoaZl9MnI4t0A,Day_1,Day_1_3,Misl,0,1,1,33,1,FM,Liberal,0,2,3,64,Neutral,0,robert w malone md quack
R_2dNoaZl9MnI4t0A,Day_1,Day_1_3,Misl,0,1,1,33,1,FM,Liberal,0,2,3,64,Neutral,0,Dr. Robert Malone fact check
R_2dNoaZl9MnI4t0A,Day_1,Day_1_4,TRUE,1,7,4,33,1,FM,Liberal,0,2,3,64,Neutral,0,OH Predictive Insights audit poll
R_2dNoaZl9MnI4t0A,Day_1,Day_1_4,TRUE,1,7,4,33,1,FM,Liberal,0,2,3,64,Neutral,0,OH Predictive Insights audit poll
R_2DUE1D5mL08oFSR,Day_1,Day_1_4,Misl,0,1,1,55,1,FM,Liberal,0,3,4,54,Neutral,0,arizona republicans believe trump won the election
R_2Eu812Bc6IVYhl8,Day_1,Day_1_4,TRUE,1,6,4,44,1,FM,Conservative,0,2,4,56,Neutral,0,AZ State Senator Electors Recalled audit
R_2Eu812Bc6IVYhl8,Day_1,Day_1_4,TRUE,1,6,4,44,1,FM,Conservative,0,2,4,56,Neutral,0,Arizona Republicans election audit Trump
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,arizona election recount
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,arizona election recount
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,arizona recount
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,arizona recount
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,az senator demands new election
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,az senator new election
R_2PpsctGRoIizGAS,Day_1,Day_1_1,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Conservative,0,republicans believe arizona audit will change election results
R_2PpsctGRoIizGAS,Day_1,Day_1_4,Misl,0,1,1,39,1,FM,Liberal,0,1,4,66,Neutral,0,arizona election recount
R_2RP4ieLcvxMjWJz,Day_1,Day_1_4,TRUE,1,7,4,32,1,FM,Liberal,0,1,4,60,Neutral,1,Majority of Arizona Republicans believe election audit will show Trump won%2C poll shows
R_2w67UkK5xJ0YRY2,Day_1,Day_1_3,Misl,0,2,2,26,1,FM,Liberal,0,2,2,63,Neutral,1,mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_2w67UkK5xJ0YRY2,Day_1,Day_1_3,Misl,0,2,2,26,1,FM,Liberal,0,2,2,63,Neutral,0, COVID Surge In Most-Vaxxed Countries
R_2y8dRM3TUWjSPIo,Day_1,Day_1_4,Misl,0,1,1,20,0,FM,Liberal,0,4,2,49,Neutral,0,trump arizona election
R_2zwiC5XznI1GQNC,Day_1,Day_1_1,TRUE,1,7,4,61,1,FM,Moderate,0,1,2,47,Conservative,0,AZ State Senator Demands Biden Electors Be Recalled
R_339mYCdr4LLvelb,Day_1,Day_1_3,Coul,0,5,3,37,1,FM,Liberal,0,2,4,52,Neutral,0,robert malone vaccination concerns
R_339mYCdr4LLvelb,Day_1,Day_1_3,Coul,0,5,3,37,1,FM,Liberal,0,2,4,52,Neutral,0,robert malone this is worrying me quite a bit
R_339mYCdr4LLvelb,Day_1,Day_1_3,Coul,0,5,3,37,1,FM,Liberal,0,2,4,52,Neutral,0,robert malone mrna vaccination concerns
R_339mYCdr4LLvelb,Day_1,Day_1_4,TRUE,1,6,4,37,1,FM,Liberal,0,2,4,52,Neutral,0,arizona republicans trump belief audit
R_339mYCdr4LLvelb,Day_1,Day_1_4,TRUE,1,6,4,37,1,FM,Liberal,0,2,4,52,Neutral,0,arizona republicans trump belief audit
R_3GoZZFWEtYePuGA,Day_1,Day_1_3,TRUE,1,6,4,37,0,FM,Conservative,0,1,3,58,Neutral,0,robert malone is worried
R_3hfIgiMxT4QVOM6,Day_1,Day_1_3,TRUE,1,5,3,51,0,FM,Moderate,0,1,4,62,Neutral,0,the most-vaccinated countries in the world are experiencing  a surge in COVID-19 cases
R_3Hk79B6qEfqWKaD,Day_1,Day_1_1,Misl,0,2,2,54,0,FM,Liberal,0,1,3,55,Conservative,0,results arizona audit
R_3Hk79B6qEfqWKaD,Day_1,Day_1_3,Misl,0,1,1,54,0,FM,Liberal,0,1,3,55,Neutral,0,rising covid numbers in areas with high vaccination rates
R_3Hk79B6qEfqWKaD,Day_1,Day_1_4,Misl,0,6,3,54,0,FM,Liberal,0,1,3,55,Neutral,0,arizona republicans believe trump won
R_3JfnfLnikoja6E7,Day_1,Day_1_3,Misl,0,2,2,38,1,FM,Liberal,0,2,2,53,Neutral,0,mrna vaacine show surge on covid 19
R_3JfnfLnikoja6E7,Day_1,Day_1_4,TRUE,1,7,4,38,1,FM,Liberal,0,2,2,53,Neutral,0,Ariazona republicians think trump won
R_3KT6q7Vntwvmg8Z,Day_1,Day_1_1,TRUE,1,7,3,33,1,FM,Conservative,1,2,5,51,Conservative,0,new election to be held in maricopa county
R_3KT6q7Vntwvmg8Z,Day_1,Day_1_3,TRUE,1,5,3,33,1,FM,Conservative,0,2,5,51,Neutral,0,mrna inventor worried about vaccinated countries
R_3LXaF7Z7z740d2k,Day_1,Day_1_1,Misl,0,1,1,26,1,FM,Moderate,0,1,2,57,Conservative,1,AZ State Senator Demands Biden Electors Be Recalled%2C New Election Be Held After Shocking Audit Revelations
R_3LXaF7Z7z740d2k,Day_1,Day_1_1,Misl,0,1,1,26,1,FM,Moderate,0,1,2,57,Conservative,1,"AZ State Senator Demands Biden Electors Be Recalled, New Election Be Held After Shocking Audit Revelations"
R_3LXaF7Z7z740d2k,Day_1,Day_1_3,Misl,0,2,2,26,1,FM,Moderate,0,1,2,57,Neutral,1,This Is Worrying Me Quite A Bit%22%3A mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_3MycWKTJGEI3fkc,Day_1,Day_1_3,TRUE,1,6,3,44,1,FM,Liberal,0,1,2,66,Neutral,0,countries with highest vaccination has most cases
R_3MycWKTJGEI3fkc,Day_1,Day_1_4,TRUE,1,7,4,44,1,FM,Liberal,0,1,2,66,Neutral,0,Secretary of State
R_3MycWKTJGEI3fkc,Day_1,Day_1_4,TRUE,1,7,4,44,1,FM,Liberal,0,1,2,66,Neutral,0,arizona republicans believe trump won
R_3n78jZ6Hp7o3yov,Day_1,Day_1_1,Coul,0,4,2,30,0,FM,Liberal,0,2,5,53,Conservative,0,elector recall
R_3n78jZ6Hp7o3yov,Day_1,Day_1_4,TRUE,1,6,4,30,0,FM,Liberal,0,2,5,53,Neutral,0,arizona election fraud
R_3PhjRWT2oK9dOnT,Day_1,Day_1_3,Coul,0,1,1,35,1,FM,Liberal,0,2,4,57,Neutral,0,Dr. Robert Malone
R_3PhjRWT2oK9dOnT,Day_1,Day_1_3,Coul,0,1,1,35,1,FM,Liberal,0,2,4,57,Neutral,0,Dr. Robert Malone unvaccinated counties not showing surge
R_3PhjRWT2oK9dOnT,Day_1,Day_1_3,Coul,0,1,1,35,1,FM,Liberal,0,2,4,57,Neutral,1,%22This Is Worrying Me Quite A Bit%22%3A mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_3PhjRWT2oK9dOnT,Day_1,Day_1_4,Misl,0,3,1,35,1,FM,Liberal,0,2,4,57,Neutral,0,Majority of Arizona Republicans believe election audit will show Trump won%2C poll shows
R_3rNwNy8LbfAkgSp,Day_1,Day_1_1,Coul,0,4,3,29,1,FM,Moderate,0,2,4,50,Conservative,1,AZ State Senator Demands Biden Electors Be Recalled%2C New Election Be Held After Shocking Audit Revelations
R_3rNwNy8LbfAkgSp,Day_1,Day_1_1,Coul,0,4,3,29,1,FM,Moderate,0,2,4,50,Conservative,0,AZ State Senator Demands Biden Electors Be Recalled
R_3yN8a8E0y6lUIqB,Day_1,Day_1_3,Coul,0,4,1,39,0,FM,Liberal,0,1,2,64,Neutral,0,mrna inventer worried
R_3yN8a8E0y6lUIqB,Day_1,Day_1_4,Misl,0,1,1,39,0,FM,Liberal,0,1,2,64,Neutral,0,arizona recount
R_3yN8a8E0y6lUIqB,Day_1,Day_1_4,Misl,0,1,1,39,0,FM,Liberal,0,1,2,64,Neutral,0,arizona recount trump lied
R_3yN8a8E0y6lUIqB,Day_1,Day_1_4,Misl,0,1,1,39,0,FM,Liberal,0,1,2,64,Neutral,0,arizona recount
R_5ovNt0RyjDe4zhD,Day_1,Day_1_3,TRUE,1,6,3,37,1,FM,Conservative,0,2,5,50,Neutral,0,Covid Mrna vaccine inventor worried 
R_5ovNt0RyjDe4zhD,Day_1,Day_1_3,TRUE,1,6,3,37,1,FM,Conservative,0,2,5,50,Neutral,0,Dr. Robert Malone worried about mrna vaccine
R_5ovNt0RyjDe4zhD,Day_1,Day_1_4,TRUE,1,5,3,37,1,FM,Conservative,0,2,5,50,Neutral,0,Majority of Arizona Republicans believe audit will reveal fraud
R_6gSAhAKCKeijlQZ,Day_1,Day_1_3,TRUE,1,6,4,39,0,FM,Liberal,0,2,2,50,Neutral,0,dr malone vaccination rate
R_6gSAhAKCKeijlQZ,Day_1,Day_1_3,TRUE,1,6,4,39,0,FM,Liberal,0,2,2,50,Neutral,0,dr malone vaccination rate worrying
R_6nuIDDUiCc5XdIt,Day_1,Day_1_3,TRUE,1,7,4,53,0,FM,Moderate,0,1,3,54,Neutral,0,covid surge in most vaccinated countries
R_6nuIDDUiCc5XdIt,Day_1,Day_1_3,TRUE,1,7,4,53,0,FM,Moderate,0,1,3,54,Neutral,0,covid surge in most vaccinated countries
R_6nuIDDUiCc5XdIt,Day_1,Day_1_3,TRUE,1,7,4,53,0,FM,Moderate,0,1,3,54,Neutral,0,covid surge in most vaccinated countries
R_6nuIDDUiCc5XdIt,Day_1,Day_1_3,TRUE,1,7,4,53,0,FM,Moderate,0,1,3,54,Neutral,0,covid surge in most vaccinated countries
R_9HwEYi8riTtKTW9,Day_1,Day_1_1,TRUE,1,7,4,28,1,FM,Conservative,1,2,2,51,Conservative,0,Arizona state senator demands new election be held after shocking audit revelations
R_9HwEYi8riTtKTW9,Day_1,Day_1_3,TRUE,1,7,4,28,1,FM,Conservative,0,2,2,51,Neutral,0,the highest vaccination rate countries having the most outbreaks
R_9XKvVtMFjqSITeN,Day_1,Day_1_3,Misl,0,4,3,36,0,FM,Moderate,0,2,3,52,Neutral,0,corona surge most vaccinated countries
R_9XKvVtMFjqSITeN,Day_1,Day_1_3,Misl,0,4,3,36,0,FM,Moderate,0,2,3,52,Neutral,0,covid surge most vaccinated countries
R_9XKvVtMFjqSITeN,Day_1,Day_1_4,Misl,0,4,3,36,0,FM,Moderate,0,2,3,52,Neutral,0,maricopa county audit
R_bqJ3HoBP0lqi7CN,Day_1,Day_1_1,Misl,0,4,3,30,0,FM,Conservative,1,1,4,65,Conservative,0,arizona Auditors also said 11%2C326 voters that weren%E2%80%99t on Nov. 7 voter rolls were suddenly on the voter rolls on Dec. 4.
R_bqJ3HoBP0lqi7CN,Day_1,Day_1_3,Misl,0,2,1,30,0,FM,Conservative,0,1,4,65,Neutral,0,vaccinated countries see increase in covid
R_bqJ3HoBP0lqi7CN,Day_1,Day_1_3,Misl,0,2,1,30,0,FM,Conservative,0,1,4,65,Neutral,0,countries not vaccinated for covid see decrease
R_bqJ3HoBP0lqi7CN,Day_1,Day_1_4,TRUE,1,5,3,30,0,FM,Conservative,0,1,4,65,Neutral,0,election results in Maricopa County
R_bqJ3HoBP0lqi7CN,Day_1,Day_1_4,TRUE,1,5,3,30,0,FM,Conservative,0,1,4,65,Neutral,0,Cotton also said auditors found 37%2C000 queries on an elections system in one day for using a blank password%3B
R_bqJ3HoBP0lqi7CN,Day_1,Day_1_4,TRUE,1,5,3,30,0,FM,Conservative,0,1,4,65,Neutral,0,arizona Auditors also said 11%2C326 voters that weren%E2%80%99t on Nov. 7 voter rolls were suddenly on the voter rolls on Dec. 4.
R_cUtE2g9RhTXd2Gl,Day_1,Day_1_1,TRUE,1,3,3,32,1,FM,Liberal,0,2,4,32,Conservative,0,election audit
R_cUtE2g9RhTXd2Gl,Day_1,Day_1_1,TRUE,1,3,3,32,1,FM,Liberal,0,2,4,32,Conservative,1,https%3A%2F%2Fwww.newsweek.com%2Farizona-state-senator-calls-new-election-says-biden-electors-must-recalled-1610274
R_ekCSZIaDtRtLlaV,Day_1,Day_1_1,Misl,0,2,1,55,0,FM,Conservative,1,2,5,50,Conservative,0,AZ voter fraud
R_ONBQ9F4K4eiEEff,Day_1,Day_1_1,TRUE,1,7,4,33,0,FM,Conservative,1,2,2,55,Conservative,0,arizona state senator demands election
R_ONBQ9F4K4eiEEff,Day_1,Day_1_4,TRUE,1,6,4,33,0,FM,Conservative,0,2,2,55,Neutral,0,arizona believes trump won election
R_PNwajSELAD6DGZX,Day_1,Day_1_1,TRUE,1,5,4,34,0,FM,Liberal,0,1,3,59,Conservative,0,AZ state senator order Joe Biden be recalled
R_PNwajSELAD6DGZX,Day_1,Day_1_1,TRUE,1,5,4,34,0,FM,Liberal,0,1,3,59,Conservative,0,az state senator calls for new election
R_PNwajSELAD6DGZX,Day_1,Day_1_1,TRUE,1,5,4,34,0,FM,Liberal,0,1,3,59,Conservative,0,az state senator calls for recall of joe biden
R_PNwajSELAD6DGZX,Day_1,Day_1_1,TRUE,1,5,4,34,0,FM,Liberal,0,1,3,59,Conservative,0,az state senator calls for new election
R_Wie14Y6yLeam4mt,Day_1,Day_1_1,Misl,0,1,1,33,0,FM,Liberal,0,2,4,59,Conservative,0,arizona electors
R_Wie14Y6yLeam4mt,Day_1,Day_1_1,Misl,0,1,1,33,0,FM,Liberal,0,2,4,59,Conservative,0,arizona electors
R_Wie14Y6yLeam4mt,Day_1,Day_1_3,Misl,0,6,2,33,0,FM,Liberal,0,2,4,59,Neutral,0,more vaccinated countries higher covid-19
R_Wie14Y6yLeam4mt,Day_1,Day_1_3,Misl,0,6,2,33,0,FM,Liberal,0,2,4,59,Neutral,0,Dr. Robert Malone
R_Wie14Y6yLeam4mt,Day_1,Day_1_3,Misl,0,6,2,33,0,FM,Liberal,0,2,4,59,Neutral,0,Dr. Robert Malone
R_Wie14Y6yLeam4mt,Day_1,Day_1_3,Misl,0,6,2,33,0,FM,Liberal,0,2,4,59,Neutral,0,more vaccinated countries higher covid-19
R_Wie14Y6yLeam4mt,Day_1,Day_1_3,Misl,0,6,2,33,0,FM,Liberal,0,2,4,59,Neutral,0,Dr. Robert Malone
R_Wie14Y6yLeam4mt,Day_1,Day_1_3,Misl,0,6,2,33,0,FM,Liberal,0,2,4,59,Neutral,0,Dr. Robert Malone
R_xFbsJFVOxgmNrEZ,Day_1,Day_1_4,TRUE,1,5,4,31,1,FM,Liberal,0,1,4,48,Neutral,0,Arizona 2020 poll audit results
R_xFbsJFVOxgmNrEZ,Day_1,Day_1_4,TRUE,1,5,4,31,1,FM,Liberal,0,1,4,48,Neutral,0,did trump win arizona
R_XilsxctsD6UhvsR,Day_1,Day_1_3,Misl,0,3,2,37,0,FM,Liberal,0,2,5,61,Neutral,0,vaccinated countries biggest surge
R_XilsxctsD6UhvsR,Day_1,Day_1_3,Misl,0,3,2,37,0,FM,Liberal,0,2,5,61,Neutral,0,robert malone vaccine
R_XilsxctsD6UhvsR,Day_1,Day_1_3,Misl,0,3,2,37,0,FM,Liberal,0,2,5,61,Neutral,0,vaccinated countries biggest surge
R_XilsxctsD6UhvsR,Day_1,Day_1_4,TRUE,1,7,4,37,0,FM,Liberal,0,2,5,61,Neutral,0,Republican voters Arizona audit beliefs
R_XilsxctsD6UhvsR,Day_1,Day_1_4,TRUE,1,7,4,37,0,FM,Liberal,0,2,5,61,Neutral,0,Republican voters Arizona audit poll
R_XilsxctsD6UhvsR,Day_1,Day_1_4,TRUE,1,7,4,37,0,FM,Liberal,0,2,5,61,Neutral,0,Republican voters Arizona audit overturn
R_Xj4sI7wBqGSbsC5,Day_1,Day_1_1,Misl,0,3,2,48,1,FM,Conservative,1,3,4,52,Conservative,0,recall Arizona Biden votes
R_Xj4sI7wBqGSbsC5,Day_1,Day_1_4,TRUE,1,6,4,48,1,FM,Conservative,0,3,4,52,Neutral,0,arizona republicans believe trump won state
R_XSwBTXOS8VVvbEt,Day_1,Day_1_3,Coul,0,4,2,37,1,FM,Moderate,0,1,2,62,Neutral,1,mRNA Vaccine Inventor Shares Viral Thread Showing COVID Surge In Most-Vaxxed Countries
R_XSwBTXOS8VVvbEt,Day_1,Day_1_4,Misl,0,2,1,37,1,FM,Moderate,0,1,2,62,Neutral,0,Republicans believe election audit will show Trump won
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,votesecure paper arizona audit
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,was there voter fraud in maricopa arizona%3F
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,how many ballots were returned in maricopa county
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,2020 election arizona electoral votes
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,kyle becker twitter
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,ben cotton arizona audit
R_yx69bWSwS7KJTDb,Day_1,Day_1_1,Misl,0,3,2,25,1,FM,Conservative,1,1,5,40,Conservative,0,full senate hearing arizona election
R_yx69bWSwS7KJTDb,Day_1,Day_1_4,Coul,0,4,2,25,1,FM,Conservative,0,1,5,40,Neutral,0,republican arizona 202 election
