"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"97","97","1","True",4,1,44,1,0,"0",NA,"1","1408","3.3","jan 8_5","R_3JfKONKCcbq8r38",NA,1,1,"5"
"98","98","0","CND",7,1,64,1,1,"0",0,"1","1594","4","jan 8_5","R_TqlVG9VkvTsfIat","0",1,0,"5"
"99","99","0","CND",4,1,62,0,0,"3",0,"1","1130","4.8","jan 8_5","R_2RPwTH1kb2QxC4V","0",1,0,"5"
"100","100","0","CND",5,1,76,1,1,"0",0,"1","1412","1.8","jan 8_5","R_1M709BgYfSM8YYF","1",1,0,"5"
"101","101","1","True",7,1,28,0,0,"3",NA,"1","1273","4.7","jan 8_5","R_1gHDhmLViHGouAA",NA,1,1,"5"
"102","102","1","True",7,4,39,0,0,"1",0,"1","1210","4.3","jan 8_5","R_8cZdGWdCpxN7yk9","-3",1,1,"5"
"103","103","0","Misl/False",1,1,59,1,0,"3",0,"1","3062","4.4","jan 8_5","R_2fg3kCa8PZAJDIZ","-2",1,0,"5"
"104","104","1","True",6,2,81,1,0,"1",0,"1","1202","1.5","jan 8_5","R_1OZu7zVjNtmZCbi","2",1,1,"5"
"105","105","0","CND",4,1,39,0,0,"4",NA,"0","798","3","jan 8_5","R_b1KG5nCNN3Rtv4B",NA,1,0,"5"
"106","106","1","True",7,1,43,1,0,"0",0,"0","7821","4.4","jan 8_5","R_PMR6LPRn2phz9qp","0",1,1,"5"
"107","107","1","True",7,1,53,1,1,"1",0,"1","1152","4.4","jan 8_5","R_2q7zbTKNfX1peJi","2",1,1,"5"
"108","108","0","Misl/False",2,2,75,0,1,"0",0,"1","1249","3.3","jan 8_5","R_2zU7oVmJ40DLQLW","1",1,0,"5"
"109","109","1","True",7,1,74,0,1,"2",0,"1","853","3.3","jan 8_5","R_UMc6uQYXOpxvSaB","2",1,1,"5"
"110","110","0","CND",4,1,49,0,0,"0",0,"1","1280","1.5","jan 8_5","R_3it1oWF0fL3fKKl","-2",1,0,"5"
"111","111","0","CND",4,1,67,1,0,"2",0,"1","1536","2.2","jan 8_5","R_3sBbE64zPurSYuU","2",1,0,"5"
"112","112","1","True",5,1,80,1,0,"0",0,"1","1592","1.6","jan 8_5","R_2aLakStksGSN5lG","1",1,1,"5"
"113","113","1","True",6,4,59,0,2,"0",0,"1","992","4.5","jan 8_5","R_1gFrhFrR50sZrXz","1",1,1,"5"
"114","114","1","True",4,1,20,0,2,"2",0,"1","557","4.4","jan 8_5","R_3lVnOlVQnrrPc1v","2",1,1,"5"
"115","115","1","True",7,2,69,0,0,"4",0,"1","1241","4.3","jan 8_5","R_2YVdGv5hzcZ1uA3","3",1,1,"5"
"116","116","1","True",6,4,43,0,3,"3",0,"0","462","3.3","jan 8_5","R_3m4f5SjR6kfOlcY","0",1,1,"5"
"117","117","0","Misl/False",4,4,40,1,0,"1",0,"1","566","3.6","jan 8_5","R_6rsvgkAO5cR8JVf","2",1,0,"5"
"118","118","1","True",7,3,52,0,1,"0",0,"1","735","3.4","jan 8_5","R_2du7Gi2fsjKp02M","3",1,1,"5"
"119","119","1","True",6,3,45,0,0,"3",0,"1","1961","4.3","jan 8_5","R_1fjuldeIzmNHxI0","-2",1,1,"5"
"120","120","1","True",5,4,47,1,2,"2",0,"0","956","4.4","jan 8_5","R_1OValTNUbnzk6n4","2",1,1,"5"
"121","121","0","CND",4,5,27,1,2,"1",0,"0","655","1","jan 8_5","R_0JR3DQhfEGgIvx7","-3",1,0,"5"
"122","122","1","True",6,4,46,1,3,"2",0,"1","1074","2.6","jan 8_5","R_3siXJZI0TSNbV4T","-2",1,1,"5"
"123","123","1","True",5,3,27,1,0,"2",0,"0","1278","4.4","jan 8_5","R_1n1TtiHLXvK4mJj","1",1,1,"5"
"124","124","0","CND",6,3,50,1,1,"2",0,"1","1563","2.9","jan 8_5","R_ThfH87YiddNyTbX","-1",1,0,"5"
"125","125","1","True",7,3,32,1,0,"1",0,"1","1334","3","jan 8_5","R_3n1qzvnM6kZvEPP","0",1,1,"5"
"126","126","1","True",6,3,49,1,2,"0",0,"1","1087","4.3","jan 8_5","R_1dNCRVTOGBPsVyN","0",1,1,"5"
"127","127","1","True",6,1,24,0,0,"4",0,"0","1296","3","jan 9_1","R_3hFomKeIhcret9p","-2",1,1,"1"
"128","128","1","True",5,4,37,0,1,"2",1,"0","1055","4.5","jan 9_1","R_2WYE36ceZphZmTA","1",1,1,"1"
"129","129","0","CND",4,1,23,1,1,"1",1,"0","915","3.5","jan 9_1","R_1IsfiVNtiRRpljD","2",1,0,"1"
"130","130","0","CND",5,1,24,1,3,"1",0,"0","981","3.5","jan 9_1","R_W7pxOlUgZUHJYNb","-1",1,0,"1"
"131","131","1","True",7,1,65,0,1,"1",0,"0","1230","3.3","jan 9_1","R_da53pjKI9c2Vq3D","0",1,1,"1"
"132","132","1","True",7,1,71,1,1,"1",0,"0","1363","2.8","jan 9_1","R_C8Nt1rX0EYOtyh3","-1",1,1,"1"
"133","133","0","Misl/False",2,1,64,1,0,"0",1,"0","1787","2.9","jan 9_1","R_PNfm50KMhNqBAtP","1",1,0,"1"
"134","134","0","CND",1,1,66,0,2,"1",1,"0","1766","2.5","jan 9_1","R_3PcdlgAKzfgw91m","2",1,0,"1"
"135","135","0","CND",3,4,70,1,2,"1",0,"0","1495","3.1","jan 9_1","R_3nwHYmRaeZt94qg","-2",1,0,"1"
"136","136","1","True",7,3,28,0,1,"2",1,"0","1120","3","jan 9_1","R_2whlbGgtxMlMmpE","1",1,1,"1"
"137","137","1","True",7,1,49,0,3,"2",1,"0","1538","5","jan 9_1","R_3Pk7y8FRqE9k3UD","2",1,1,"1"
"138","138","0","CND",5,1,74,1,0,"3",1,"1","1882","2.4","jan 9_1","R_2PzDGKYryIyEi4a","1",1,0,"1"
"139","139","1","True",6,4,29,0,3,"3",1,"0","757","4.6","jan 9_1","R_2QJz5N3mDk0Zswa","2",1,1,"1"
"140","140","1","True",7,4,40,1,2,"1",1,"0","662","4.1","jan 9_1","R_3LbQuUPVqlfdhWw","2",1,1,"1"
"141","141","0","CND",4,4,47,1,1,"3",1,"0","988","3.6","jan 9_1","R_3Ny4UKmn8SHLcxW","2",1,0,"1"
"142","142","1","True",7,3,66,0,2,"0",0,"0","965","4.2","jan 9_1","R_2D03jJlsAB9XVNa","-1",1,1,"1"
"143","143","0","Misl/False",1,4,35,1,2,"0",0,"0","1005","3.3","jan 9_1","R_0TdGWOlHGDQT8LT","-2",1,0,"1"
"144","144","0","CND",4,3,60,1,0,"2",0,"0","1114","3.9","jan 9_1","R_yIQ9tj2Y2D4SpnX","0",1,0,"1"
"145","145","1","True",5,3,35,1,2,"0",0,"0","1443","3.6","jan 9_1","R_1IibV1tvBroMX3V","0",1,1,"1"
"146","146","1","True",7,4,41,1,2,"3",0,"0","956","4.6","jan 9_1","R_3fwVzeJ8VoVn02e","0",1,1,"1"
"147","147","1","True",5,3,50,0,0,"0",0,"1","1407","4.4","jan 9_3","R_2rTMfsgpOteyybU","0",1,1,"3"
"148","148","0","CND",4,3,35,0,0,"3",0,"0","1079","4.3","jan 9_3","R_33v7iWpWaSouvB1","0",1,0,"3"
"149","149","1","True",6,1,51,0,2,"0",0,"0","1000","4","jan 9_3","R_1KvXRRT6ro8MP5X","0",1,1,"3"
"150","150","1","True",7,1,18,1,2,"3",1,"0","599","4.4","jan 9_3","R_1pmSsMD7EqOeflC","-3",1,1,"3"
"151","151","1","True",7,1,37,1,0,"2",0,"0","1347","4.6","jan 9_3","R_1GBRSTeEYkaslGb","2",1,1,"3"
"152","152","1","True",7,1,28,0,0,"1",0,"0","1390","3.9","jan 9_3","R_3hmEEgl6d7IWBFi","0",1,1,"3"
"153","153","0","Misl/False",3,1,54,1,0,"3",0,"0","2269","3.1","jan 9_3","R_1GZGSW8T637h41e","2",1,0,"3"
"154","154","1","True",5,1,36,1,0,"2",0,"0","1789","4","jan 9_3","R_2RVpLccWjZySFi2","2",1,1,"3"
"155","155","0","CND",6,3,32,0,1,"2",1,"0","675","4","jan 9_3","R_2iswNoDzPp142pX","-2",1,0,"3"
"156","156","1","True",7,1,33,1,0,"2",0,"1","2227","4.4","jan 9_3","R_1riVixWo5LEodMG","0",1,1,"3"
"157","157","0","CND",4,1,47,1,2,"0",0,"0","425","3","jan 9_3","R_vcYmvcUbWiRmnYt","0",1,0,"3"
"158","158","1","True",5,1,34,0,1,"0",0,"1","851","5","jan 9_3","R_2PoJ4GjjNIzoOMD","0",1,1,"3"
"159","159","1","True",6,1,52,1,1,"2",0,"0","1318","4","jan 9_3","R_RklnqIp6HIWiEH7","0",1,1,"3"
"160","160","0","CND",3,1,34,0,1,"2",0,"0","1407","2.7","jan 9_3","R_55fWEcI1RufDVnP","0",1,0,"3"
"161","161","1","True",6,1,60,0,1,"0",1,"0","1803","2.6","jan 9_3","R_2fLmPxjY6hU9Gxz","-2",1,1,"3"
"162","162","0","CND",4,4,47,1,1,"0",1,"0","504","1.8","jan 9_3","R_BRHGSKgSR6MDijT","-3",1,0,"3"
"163","163","1","True",7,1,36,0,0,"2",0,"0","2199","3.7","jan 9_3","R_41mE5Bhzn4phs0F","2",1,1,"3"
"164","164","1","True",4,1,64,1,0,"4",1,"0","2194","3.6","jan 9_3","R_1F396q1ByspftP2","-2",1,1,"3"
"165","165","0","Misl/False",1,1,68,1,1,"0",0,"0","2169","4","jan 9_3","R_2chI5UwVZRM7qh3","3",1,0,"3"
"166","166","1","True",5,2,32,0,1,"1",0,"0","1115","4.5","jan 9_3","R_yyFjXzXJHtx6r1T","2",1,1,"3"
"167","167","0","CND",7,1,27,0,0,"0",0,"0","1638","3.7","jan 9_3","R_vdWLnzzTAeiNV0B","0",1,0,"3"
"168","168","0","CND",3,1,18,0,2,"4",0,"0","381","4.1","jan 9_3","R_3isEe7YgkSA17O3","1",1,0,"3"
"169","169","0","CND",4,1,56,1,0,"0",0,"0","671","2.7","jan 9_3","R_3kyXlun4ry81BRU","1",1,0,"3"
"170","170","0","Misl/False",3,1,41,0,1,"1",0,"0","948","4.6","jan 9_3","R_1QsYeblyvdn9tDp","3",1,0,"3"
"171","171","0","CND",4,1,25,1,0,"0",NA,"1","577","2.8","jan 9_3","R_3oHel9T2lUCDKY2",NA,1,0,"3"
"172","172","0","CND",4,1,68,1,0,"2",1,"0","1861","3.3","jan 9_3","R_a8J7NKB8JJ6U6gF","-2",1,0,"3"
"173","173","1","True",7,1,56,1,1,"2",0,"0","1735","2.4","jan 9_3","R_3kjMu8BRO8biDJx","2",1,1,"3"
"174","174","0","Misl/False",4,3,21,1,2,"2",0,"0","312","2.9","jan 9_3","R_sulmcp4MvAZ61mF","0",1,0,"3"
"175","175","0","CND",4,3,47,1,1,"2",0,"0","595","3.3","jan 9_3","R_2BnX0uovk1QUPLN","1",1,0,"3"
"176","176","0","Misl/False",3,3,64,0,1,"3",0,"0","1172","5","jan 9_3","R_3PdH870d1oSBeNN","0",1,0,"3"
"177","177","0","Misl/False",1,5,67,0,1,"2",0,"0","1243","4.2","jan 9_3","R_3Grl53HkJfFXMyz","2",1,0,"3"
"178","178","1","True",5,4,40,1,0,"1",1,"1","1808","3.7","jan 9_3","R_2uU1sQ5eRd2Pdur","-2",1,1,"3"
"179","179","1","True",7,4,35,0,0,"0",1,"1","2049","4.2","jan 9_3","R_1CIO1krgbUTHpE9","-3",1,1,"3"
"180","180","0","CND",7,3,35,0,3,"3",0,"1","615","3.7","jan 9_3","R_1rxfrHoAm5pqFve","0",1,0,"3"
"181","181","1","True",6,3,40,1,1,"1",1,"0","712","4.5","jan 9_3","R_12zCKKPWKOKcoXU","-2",1,1,"3"
"182","182","0","CND",4,5,31,1,3,"2",0,"0","627","3.2","jan 9_4","R_25LsosSmImN2qT3","0",1,0,"4"
"183","183","0","CND",3,4,51,0,3,"0",0,"0","517","5","jan 9_4","R_3L8vk7ZbsK1yba9","2",1,0,"4"
"184","184","1","True",7,4,33,0,1,"3",0,"1","778","4.3","jan 9_4","R_VVxnMBikoz5k4Nz","0",1,1,"4"
"185","185","1","True",6,3,25,0,1,"3",0,"0","898","4.7","jan 9_4","R_3IWupqYRlIJdArG","0",1,1,"4"
"186","186","1","True",5,1,55,1,1,"2",0,"0","1825","2.3","jan 9_4","R_phhpJkopXNewf8R","2",1,1,"4"
"187","187","1","True",7,2,48,0,0,"2",0,"0","1662","5","jan 9_4","R_3DuQrv4cyHmqz37","-3",1,1,"4"
"188","188","1","True",5,3,32,0,2,"2",0,"0","452","4.6","jan 9_4","R_1NlYzu3Hw6Brpjy","0",1,1,"4"
"189","189","1","True",6,2,41,0,0,"2",0,"0","3775","4.2","jan 9_4","R_eCWKpxXTpGftgn7","-2",1,1,"4"
"190","190","0","Misl/False",4,1,56,1,0,"3",0,"0","855","3.6","jan 9_4","R_8pmctvDQqxCMMi5","2",1,0,"4"
"191","191","1","True",7,2,43,0,2,"1",0,"0","889","5","jan 9_4","R_3oSMiU30AabSfT2","2",1,1,"4"
"192","192","1","True",7,4,43,0,2,"3",0,"1","1484","4.7","jan 9_4","R_9Sp7XHhggFEa0lX","0",1,1,"4"
"193","193","1","True",4,2,20,1,0,"1",0,"0","755","3.8","jan 9_4","R_r2ezhA7eaQSTJkJ","0",1,1,"4"
"194","194","1","True",5,3,28,1,1,"3",0,"0","1145","3.8","jan 9_4","R_1JPj5wIL6Dv1sdc","-1",1,1,"4"
"195","195","1","True",2,0,31,1,0,"2",NA,"0","1421","3.8","jan 9_4","R_Ap9Uz0jD6NFO8Tf",NA,1,1,"4"
"196","196","1","True",7,1,24,0,0,"0",0,"0","1277","4.5","jan 9_4","R_Z44PPXU4fQpNgbL","-2",1,1,"4"
"197","197","1","True",7,1,64,1,0,"1",0,"1","1381","4.4","jan 9_4","R_WBfwNFP7MiyEOit","-3",1,1,"4"
"198","198","0","CND",2,1,67,1,0,"0",NA,"0","841","1","jan 9_4","R_1jIjl5Ajv4wGFnl",NA,1,0,"4"
"199","199","1","True",5,1,57,1,1,"3",0,"0","1771","5","jan 9_4","R_DksvXqbmGLN2IBr","1",1,1,"4"
"200","200","1","True",7,0,26,1,0,"3",0,"0","1789","2.5","jan 9_4","R_SOS1OwU6OVquBIl","0",1,1,"4"
