"","Article_day","X","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Treatment","Article_Lean","Dummy_Ideology","Ideo_Congruence","FC_Eval"
"13","Day_1_2",33,"R_339mYCdr4LLvelb","Day_1",2,"True",7,4,37,1,0,5,0,4,2,"Liberal",52,-2,1,1,"Liberal","Liberal",1,"T"
"14","Day_1_2",35,"R_2AN0WJrztQOAllS","Day_1",2,"Misl",5,3,60,1,0,5,0,4,1,"Extremely Liberal",66,-3,0,0,"Liberal","Liberal",1,"T"
"15","Day_1_2",1955,"R_23fvz3TGpwRq52c","Day_1",2,"True",6,4,24,0,0,5,0,4,3,"Extremely Liberal",50,-3,1,0,"Liberal","Liberal",1,"T"
"16","Day_1_2",1065,"R_sOqSRGdmizVRIYN","Day_1",2,"True",7,4,38,0,0,5,0,2,2,"Slightly Liberal",62,-1,1,0,"Liberal","Liberal",1,"T"
"17","Day_1_2",1057,"R_poSOYUdgYWcWE0x","Day_1",2,"True",7,4,29,1,0,5,0,5,1,"Liberal",59,-2,1,0,"Liberal","Liberal",1,"T"
"18","Day_1_2",966,"R_117sQcp0GuxoSJi","Day_1",2,"Misl",3,2,42,0,0,5,0,4,1,"Moderate: Middle of the road",60,0,0,0,"Liberal","Moderate",0,"T"
"19","Day_1_2",1976,"R_2SHA4PAmYMekNQQ","Day_1",2,"True",5,3,24,1,0,5,0,2,2,"Extremely Liberal",45,-3,1,0,"Liberal","Liberal",1,"T"
"20","Day_1_2",2017,"R_DIApoRkc5XHMSiJ","Day_1",2,"True",5,3,32,0,0,5,0,4,2,"Moderate: Middle of the road",64,0,1,0,"Liberal","Moderate",0,"T"
"21","Day_1_2",2016,"R_d72CcNq6RUTok0N","Day_1",2,"Coul",5,3,29,1,0,5,0,2,2,"Slightly Conservative",54,1,0,0,"Liberal","Conservative",0,"T"
"22","Day_1_2",107,"R_vOk3KIG6Brou7ol","Day_1",2,"Coul",4,3,34,1,0,5,0,3,1,"Liberal",50,-2,0,0,"Liberal","Liberal",1,"T"
"23","Day_1_2",2034,"R_VWO7dQ95VxSmIyR","Day_1",2,"Misl",5,3,53,0,0,5,0,5,2,"Slightly Conservative",51,1,0,0,"Liberal","Conservative",0,"T"
"24","Day_1_2",1442,"R_1Iowj4KY95icjDS","Day_1",2,"Misl",4,2,33,0,0,5,0,4,1,"Moderate: Middle of the road",66,0,0,1,"Liberal","Moderate",0,"T"
"25","Day_1_2",753,"R_3jUIXOwW8rtLv6O","Day_1",2,"True",7,4,38,1,0,5,0,4,1,"Liberal",47,-2,1,1,"Liberal","Liberal",1,"T"
"26","Day_1_2",771,"R_ONBQ9F4K4eiEEff","Day_1",2,"Coul",4,3,33,0,0,5,0,2,2,"Conservative",55,2,0,1,"Liberal","Conservative",0,"T"
"27","Day_1_2",1481,"R_9HwEYi8riTtKTW9","Day_1",2,"True",7,4,28,1,0,5,0,2,2,"Extremely Conservative",51,3,1,1,"Liberal","Conservative",0,"T"
"28","Day_1_2",754,"R_3KT6q7Vntwvmg8Z","Day_1",2,"True",7,4,33,1,0,5,0,5,2,"Slightly Conservative",51,1,1,1,"Liberal","Conservative",0,"T"
"29","Day_1_2",770,"R_ekCSZIaDtRtLlaV","Day_1",2,"True",7,4,55,0,0,5,0,5,2,"Conservative",50,2,1,1,"Liberal","Conservative",0,"T"
"30","Day_1_2",775,"R_xFbsJFVOxgmNrEZ","Day_1",2,"True",5,4,31,1,0,5,0,4,1,"Liberal",48,-2,1,1,"Liberal","Liberal",1,"T"
"31","Day_1_2",1439,"R_1Gv8iAs1HEqGuUe","Day_1",2,"True",7,4,35,1,0,5,0,4,2,"Extremely Liberal",66,-3,1,1,"Liberal","Liberal",1,"T"
"32","Day_1_2",46,"R_5ovNt0RyjDe4zhD","Day_1",2,"True",5,3,37,1,0,5,0,5,2,"Conservative",50,2,1,1,"Liberal","Conservative",0,"T"
"33","Day_1_2",22,"R_2CP0ViI1UUoKy8a","Day_1",2,"True",6,4,39,1,0,5,0,4,1,"Slightly Conservative",47,1,1,1,"Liberal","Conservative",0,"T"
"34","Day_1_2",26,"R_2Eu812Bc6IVYhl8","Day_1",2,"True",6,4,44,1,0,5,0,4,2,"Slightly Conservative",56,1,1,1,"Liberal","Conservative",0,"T"
"35","Day_1_2",764,"R_6nuIDDUiCc5XdIt","Day_1",2,"True",6,4,53,0,0,5,0,3,1,"Moderate: Middle of the road",54,0,1,1,"Liberal","Moderate",0,"T"
"36","Day_1_2",37,"R_3JfnfLnikoja6E7","Day_1",2,"True",6,3,38,1,0,5,0,2,2,"Slightly Liberal",53,-1,1,1,"Liberal","Liberal",1,"T"
"37","Day_1_2",1455,"R_2DUE1D5mL08oFSR","Day_1",2,"True",5,3,55,1,0,5,0,4,3,"Liberal",54,-2,1,1,"Liberal","Liberal",1,"T"
"38","Day_1_2",14,"R_1M650C4SP13LBzM","Day_1",2,"True",6,4,28,1,0,5,0,4,2,"Moderate: Middle of the road",49,0,1,1,"Liberal","Moderate",0,"T"
"39","Day_1_2",1470,"R_3LXaF7Z7z740d2k","Day_1",2,"True",7,4,26,1,0,5,0,2,1,"Moderate: Middle of the road",57,0,1,1,"Liberal","Moderate",0,"T"
"40","Day_1_2",772,"R_pKKq0lDl8CMtWb7","Day_1",2,"Misl",6,2,33,0,0,5,0,4,2,"Conservative",41,2,0,1,"Liberal","Conservative",0,"T"
"41","Day_1_2",1472,"R_3n78jZ6Hp7o3yov","Day_1",2,"True",6,4,30,0,0,5,0,5,2,"Extremely Liberal",53,-3,1,1,"Liberal","Liberal",1,"T"
"42","Day_1_2",1460,"R_2y8dRM3TUWjSPIo","Day_1",2,"True",6,3,20,0,0,5,0,2,4,"Liberal",49,-2,1,1,"Liberal","Liberal",1,"T"
"43","Day_1_2",746,"R_2zwiC5XznI1GQNC","Day_1",2,"Misl",1,1,61,1,0,5,0,2,1,"Moderate: Middle of the road",47,0,0,1,"Liberal","Moderate",0,"T"
"44","Day_1_2",48,"R_6gSAhAKCKeijlQZ","Day_1",2,"True",6,4,39,0,0,5,0,2,2,"Liberal",50,-2,1,1,"Liberal","Liberal",1,"T"
"45","Day_1_2",1477,"R_6DmNQwfWiHVl65r","Day_1",2,"Misl",1,2,71,0,0,5,0,3,1,"Extremely Conservative",40,3,0,1,"Liberal","Conservative",0,"T"
"46","Day_1_2",993,"R_23UHYgIKYY7beZ8","Day_1",2,"Coul",4,3,31,0,0,5,0,4,2,"Liberal",63,-2,0,0,"Liberal","Liberal",1,"T"
"47","Day_1_2",2000,"R_3JxTg6zHgt6JMLN","Day_1",2,"Coul",4,3,30,0,0,5,0,4,1,"Slightly Conservative",41,1,0,0,"Liberal","Conservative",0,"T"
"48","Day_1_2",1954,"R_22ViTzEFVSwllnP","Day_1",2,"Misl",2,1,33,0,0,5,0,2,1,"Extremely Liberal",56,-3,0,0,"Liberal","Liberal",1,"T"
"49","Day_1_2",1959,"R_27BUxX1hrag93bU","Day_1",2,"Misl",1,1,35,0,0,5,0,4,2,"Liberal",56,-2,0,0,"Liberal","Liberal",1,"T"
"50","Day_1_2",110,"R_z5YqiZXOR1TESOJ","Day_1",2,"Coul",3,2,48,1,0,5,0,2,1,"Liberal",47,-2,0,0,"Liberal","Liberal",1,"T"
"51","Day_1_2",62,"R_3DbB1HXzP58EhQ3","Day_1",2,"Coul",4,3,37,0,0,5,0,4,2,"Conservative",41,2,0,0,"Liberal","Conservative",0,"T"
"52","Day_1_2",1973,"R_2qq6C028YMrog23","Day_1",2,"Misl",5,3,66,1,0,5,0,5,2,"Extremely Conservative",48,3,0,0,"Liberal","Conservative",0,"T"
"53","Day_1_2",989,"R_22KXG1ASfl9xfEz","Day_1",2,"Misl",1,1,50,0,0,5,0,4,1,"Moderate: Middle of the road",59,0,0,0,"Liberal","Moderate",0,"T"
"54","Day_1_2",1963,"R_2axn6JVgiduOlyF","Day_1",2,"True",5,3,25,1,0,5,0,2,2,"Liberal",51,-2,1,0,"Liberal","Liberal",1,"T"
"55","Day_1_2",1966,"R_2CNwGybcIQnEktJ","Day_1",2,"Misl",1,1,28,1,0,5,0,2,1,"Moderate: Middle of the road",53,0,0,0,"Liberal","Moderate",0,"T"
"56","Day_1_2",27,"R_22t2HIeTMqiaiCa","Day_1",2,"Misl",1,1,35,0,0,5,0,2,1,"Conservative",48,2,0,0,"Liberal","Conservative",0,"T"
"57","Day_1_2",104,"R_sSDb8askd89uHIZ","Day_1",2,"True",6,4,28,0,0,5,0,2,1,"Slightly Liberal",50,-1,1,0,"Liberal","Liberal",1,"T"
"58","Day_1_2",39,"R_2bPMGVyo9T9t8oP","Day_1",2,"True",7,4,32,1,0,5,0,3,1,"Liberal",60,-2,1,0,"Liberal","Liberal",1,"T"
"59","Day_1_2",2,"R_10HKlUuSWljvrqp","Day_1",2,"True",6,3,28,1,0,5,0,4,1,"Extremely Liberal",43,-3,1,0,"Liberal","Liberal",1,"T"
"60","Day_1_2",974,"R_1i4LXivIpu7vdr1","Day_1",2,"True",5,3,65,1,0,5,0,4,1,"Conservative",40,2,1,0,"Liberal","Conservative",0,"T"
"61","Day_1_2",2026,"R_rcFF25UIWNrCLEB","Day_1",2,"Misl",1,1,58,1,0,5,0,4,1,"Moderate: Middle of the road",61,0,0,0,"Liberal","Moderate",0,"T"
"62","Day_1_2",975,"R_1iebICloigpJcNG","Day_1",2,"Coul",4,2,39,1,0,5,0,2,1,"Slightly Conservative",57,1,0,0,"Liberal","Conservative",0,"T"
"63","Day_1_2",46,"R_2pPQAmaWmPwb2LX","Day_1",2,"True",7,4,35,1,0,5,0,4,2,"Moderate: Middle of the road",60,0,1,0,"Liberal","Moderate",0,"T"
"64","Day_1_2",8,"R_1EgtX4AKhOHU7SY","Day_1",2,"Coul",4,3,23,1,0,5,0,2,2,"Moderate: Middle of the road",51,0,0,0,"Liberal","Moderate",0,"T"
"65","Day_1_2",1033,"R_3gTbPk6cj8CguwO","Day_1",2,"Coul",6,2,36,0,0,5,0,3,1,"Conservative",63,2,0,0,"Liberal","Conservative",0,"T"
"66","Day_1_2",103,"R_SPmPHLfa1iJ2v97","Day_1",2,"Coul",4,3,35,0,0,5,0,2,3,"Extremely Liberal",59,-3,0,0,"Liberal","Liberal",1,"T"
"67","Day_1_2",25,"R_1QuU671mMTHeSVk","Day_1",2,"Coul",4,2,52,0,0,5,0,4,1,"Moderate: Middle of the road",55,0,0,0,"Liberal","Moderate",0,"T"
"68","Day_1_2",2019,"R_Oqj8QCrdc0N9E2d","Day_1",2,"Misl",3,2,32,1,0,5,0,4,3,"Slightly Liberal",36,-1,0,0,"Liberal","Liberal",1,"T"
"69","Day_1_2",2021,"R_pueOnSUiOr8B6Vj","Day_1",2,"Coul",4,3,28,1,0,5,0,4,1,"Extremely Liberal",64,-3,0,0,"Liberal","Liberal",1,"T"
"70","Day_1_2",67,"R_3EL9GaQ4jhW6VFE","Day_1",2,"Misl",4,1,52,1,0,5,0,4,3,"Moderate: Middle of the road",62,0,0,0,"Liberal","Moderate",0,"T"
"71","Day_1_2",43,"R_2dMFbNQkjManOjV","Day_1",2,"Coul",3,2,32,1,0,5,0,4,2,"Liberal",64,-2,0,0,"Liberal","Liberal",1,"T"
"72","Day_1_2",985,"R_1OrWwRmUOtbPgMp","Day_1",2,"True",7,4,49,0,0,5,0,3,1,"Moderate: Middle of the road",60,0,1,0,"Liberal","Moderate",0,"T"
"73","Day_1_2",1958,"R_26mQdc8Zux3gJHh","Day_1",2,"Misl",1,1,50,1,0,5,0,5,4,"Conservative",52,2,0,0,"Liberal","Conservative",0,"T"
"74","Day_1_2",58,"R_30dHp4iKLTWKLBu","Day_1",2,"Misl",3,2,40,1,0,5,0,4,2,"Moderate: Middle of the road",60,0,0,0,"Liberal","Moderate",0,"T"
"75","Day_1_2",1028,"R_3e3L1pS99R8qcCE","Day_1",2,"True",7,4,67,0,0,5,0,4,2,"Liberal",58,-2,1,0,"Liberal","Liberal",1,"T"
"76","Day_1_2",77,"R_3lzvqhmsACeCOTx","Day_1",2,"Misl",6,1,60,1,0,5,0,1,1,"Conservative",41,2,0,0,"Liberal","Conservative",0,"T"
"77","Day_1_2",2001,"R_3Kwj6A2aBFbRYDJ","Day_1",2,"Coul",4,3,41,0,0,5,0,3,1,"Moderate: Middle of the road",49,0,0,0,"Liberal","Moderate",0,"T"
"78","Day_1_2",1990,"R_3dVS8YYhX51iWDb","Day_1",2,"True",6,3,26,1,0,5,0,4,4,"Liberal",50,-2,1,0,"Liberal","Liberal",1,"T"
"79","Day_1_2",76,"R_3lud9cKSaIihlMi","Day_1",2,"Coul",4,2,36,1,0,5,0,4,3,"Slightly Conservative",65,1,0,0,"Liberal","Conservative",0,"T"
"80","Day_1_2",41,"R_2COKghWcJFaG2QY","Day_1",2,"Misl",3,2,56,0,0,5,0,4,4,"Conservative",42,2,0,0,"Liberal","Conservative",0,"T"
"81","Day_1_2",51,"R_2sUe8vdpMzWQ6V4","Day_1",2,"True",6,3,54,0,0,5,0,2,1,"Slightly Liberal",56,-1,1,0,"Liberal","Liberal",1,"T"
"82","Day_1_2",53,"R_2uBYONSl8Gd3Itq","Day_1",2,"True",6,4,37,1,0,5,0,5,4,"Conservative",66,2,1,0,"Liberal","Conservative",0,"T"
"83","Day_1_2",1940,"R_1lfB5upbU8O7YfV","Day_1",2,"Misl",3,2,30,0,0,5,0,4,1,"Conservative",57,2,0,0,"Liberal","Conservative",0,"T"
"84","Day_1_2",1041,"R_3n0i6n1NNgrVPRP","Day_1",2,"Coul",4,2,34,1,0,5,0,4,1,"Liberal",48,-2,0,0,"Liberal","Liberal",1,"T"
"85","Day_1_2",2009,"R_3s6zPRuIThij9Ee","Day_1",2,"Misl",1,1,39,0,0,5,0,4,1,"Conservative",54,2,0,0,"Liberal","Conservative",0,"T"
"86","Day_1_2",1012,"R_2rpusZesPEFARAJ","Day_1",2,"True",7,4,71,1,0,5,0,5,1,"Extremely Liberal",56,-3,1,0,"Liberal","Liberal",1,"T"
"87","Day_1_2",1931,"R_1BPYLTwEiMWtkb1","Day_1",2,"Coul",4,3,30,1,0,5,0,4,1,"Moderate: Middle of the road",44,0,0,0,"Liberal","Moderate",0,"T"
"88","Day_1_2",88,"R_Ck0LOwrXY9BBpLz","Day_1",2,"Misl",3,2,25,0,0,5,0,4,2,"Liberal",55,-2,0,0,"Liberal","Liberal",1,"T"
"89","Day_1_2",1032,"R_3fN1yaQLQyQ4K3U","Day_1",2,"True",7,4,34,1,0,5,0,4,1,"Moderate: Middle of the road",42,0,1,0,"Liberal","Moderate",0,"T"
"90","Day_1_2",1042,"R_3png4HpyErO9r8B","Day_1",2,"Misl",3,2,60,1,0,5,0,4,1,"Slightly Conservative",53,1,0,0,"Liberal","Conservative",0,"T"
"91","Day_1_2",1031,"R_3ezsba9muO8vbFv","Day_1",2,"True",5,3,25,0,0,5,0,4,4,"Extremely Liberal",66,-3,1,0,"Liberal","Liberal",1,"T"
"92","Day_1_2",92,"R_ehQbxaYKTXyU6zv","Day_1",2,"Misl",6,2,31,1,0,5,0,4,1,"Conservative",63,2,0,0,"Liberal","Conservative",0,"T"
"93","Day_1_2",983,"R_1mVKCgBSFndXcNM","Day_1",2,"Misl",4,3,29,1,0,5,0,4,2,"Extremely Liberal",50,-3,0,0,"Liberal","Liberal",1,"T"
"94","Day_1_2",1035,"R_3I4XfQnYB0IEkNZ","Day_1",2,"True",7,4,27,1,0,5,0,4,3,"Liberal",40,-2,1,0,"Liberal","Liberal",1,"T"
"95","Day_1_2",2032,"R_velIFfia1bfFV8l","Day_1",2,"True",5,3,24,1,0,5,0,2,1,"Liberal",64,-2,1,0,"Liberal","Liberal",1,"T"
"96","Day_1_2",1957,"R_263dRvfYsdO8jbd","Day_1",2,"Misl",4,2,41,0,0,5,0,4,3,"Liberal",61,-2,0,0,"Liberal","Liberal",1,"T"
"97","Day_1_2",1987,"R_3CEr4rP4b9ubH7V","Day_1",2,"True",6,3,35,1,0,5,0,3,1,"Liberal",60,-2,1,0,"Liberal","Liberal",1,"T"
"98","Day_1_2",1980,"R_2uJJo3vn4MnFN3C","Day_1",2,"Misl",1,1,50,0,0,5,0,5,4,"Conservative",59,2,0,0,"Liberal","Conservative",0,"T"
"99","Day_1_4",2028,"R_sOqSRGdmizVRIYN","Day_1",4,"True",6,4,38,0,4,1,0,2,2,"Slightly Liberal",62,-1,1,0,"Neutral","Liberal",0,"T"
"100","Day_1_4",1058,"R_pueOnSUiOr8B6Vj","Day_1",4,"True",7,4,28,1,4,1,0,4,1,"Extremely Liberal",64,-3,1,0,"Neutral","Liberal",0,"T"
"101","Day_1_4",1950,"R_1pFr2EgT5XEN885","Day_1",4,"True",6,4,43,1,4,1,0,5,2,"Liberal",57,-2,1,0,"Neutral","Liberal",0,"T"
"102","Day_1_4",1020,"R_2zl0F69loi1ZuKe","Day_1",4,"Coul",4,2,62,0,4,1,0,4,1,"Conservative",52,2,0,0,"Neutral","Conservative",0,"T"
"103","Day_1_4",981,"R_1MQkyKlJCdcOCfL","Day_1",4,"True",7,4,44,0,4,1,0,2,1,"Liberal",58,-2,1,0,"Neutral","Liberal",0,"T"
"104","Day_1_4",1953,"R_22t2HIeTMqiaiCa","Day_1",4,"True",7,4,35,0,4,1,0,2,1,"Conservative",48,2,1,0,"Neutral","Conservative",0,"T"
"105","Day_1_4",93,"R_Oqj8QCrdc0N9E2d","Day_1",4,"Misl",5,3,32,1,4,1,0,4,3,"Slightly Liberal",36,-1,0,0,"Neutral","Liberal",0,"T"
"106","Day_1_4",14,"R_1lfB5upbU8O7YfV","Day_1",4,"Misl",3,2,30,0,4,1,0,4,1,"Conservative",57,2,0,0,"Neutral","Conservative",0,"T"
"107","Day_1_4",1450,"R_29bRUJw7avEFWPS","Day_1",4,"True",7,4,44,1,4,1,0,2,1,"Conservative",44,2,1,1,"Neutral","Conservative",0,"T"
"108","Day_1_4",722,"R_1f9gtWqvqX7DD4y","Day_1",4,"True",7,3,31,1,4,1,0,4,2,"Liberal",65,-2,1,1,"Neutral","Liberal",0,"T"
"109","Day_1_4",973,"R_1f1lcPfCp1Os9c1","Day_1",4,"Coul",4,3,32,1,4,1,0,4,1,"Liberal",53,-2,0,0,"Neutral","Liberal",0,"T"
"110","Day_1_4",1985,"R_31BnlMya1nYwVu4","Day_1",4,"Coul",3,2,43,1,4,1,0,2,2,"Liberal",65,-2,0,0,"Neutral","Liberal",0,"T"
"111","Day_1_4",5,"R_1BPYLTwEiMWtkb1","Day_1",4,"True",6,3,30,1,4,1,0,4,1,"Moderate: Middle of the road",44,0,1,0,"Neutral","Moderate",0,"T"
"112","Day_1_4",6,"R_1C6ZKwgBj0StJwU","Day_1",4,"True",6,4,25,1,4,1,0,4,2,"Slightly Conservative",39,1,1,0,"Neutral","Conservative",0,"T"
"113","Day_1_4",1947,"R_1OgcarKXnozj8Hf","Day_1",4,"Coul",4,2,22,0,4,1,0,5,2,"Moderate: Middle of the road",46,0,0,0,"Neutral","Moderate",0,"T"
"114","Day_1_4",101,"R_s7HD2m3E9ynGNLH","Day_1",4,"Misl",3,2,72,0,4,1,0,2,1,"Slightly Liberal",40,-1,0,0,"Neutral","Liberal",0,"T"
"115","Day_1_4",1935,"R_1ePP6M0xrILmcje","Day_1",4,"Coul",5,3,35,1,4,1,0,3,1,"Slightly Liberal",64,-1,0,0,"Neutral","Liberal",0,"T"
"116","Day_1_4",979,"R_1LwmPqsZ3VU1MCY","Day_1",4,"Coul",3,2,39,1,4,1,0,4,2,"Slightly Conservative",58,1,0,0,"Neutral","Conservative",0,"T"
"117","Day_1_4",1021,"R_30dHp4iKLTWKLBu","Day_1",4,"True",6,3,40,1,4,1,0,4,2,"Moderate: Middle of the road",60,0,1,0,"Neutral","Moderate",0,"T"
"118","Day_1_4",78,"R_3n0i6n1NNgrVPRP","Day_1",4,"True",7,4,34,1,4,1,0,4,1,"Liberal",48,-2,1,0,"Neutral","Liberal",0,"T"
"119","Day_1_4",967,"R_12i5eDf0NB2NI5K","Day_1",4,"True",6,4,38,1,4,1,0,4,1,"Extremely Conservative",61,3,1,0,"Neutral","Conservative",0,"T"
"120","Day_1_4",1995,"R_3fN1yaQLQyQ4K3U","Day_1",4,"Misl",2,2,34,1,4,1,0,4,1,"Moderate: Middle of the road",42,0,0,0,"Neutral","Moderate",0,"T"
"121","Day_1_4",15,"R_1luiNDjHNMxyf6l","Day_1",4,"Misl",5,3,40,1,4,1,0,4,3,"Conservative",55,2,0,0,"Neutral","Conservative",0,"T"
"122","Day_1_4",986,"R_1P0Q5sxtr30wamF","Day_1",4,"Misl",1,1,42,1,4,1,0,4,2,"Liberal",59,-2,0,0,"Neutral","Liberal",0,"T"
"123","Day_1_4",1027,"R_3dVS8YYhX51iWDb","Day_1",4,"True",5,3,26,1,4,1,0,4,4,"Liberal",50,-2,1,0,"Neutral","Liberal",0,"T"
"124","Day_1_4",98,"R_r3jqXmcEcqNve5H","Day_1",4,"Misl",7,1,51,1,4,1,0,4,1,"Slightly Liberal",64,-1,0,0,"Neutral","Liberal",0,"T"
"125","Day_1_4",19,"R_1mVhYD2WrwXJKJ9","Day_1",4,"Misl",3,2,39,0,4,1,0,4,2,"Slightly Liberal",53,-1,0,0,"Neutral","Liberal",0,"T"
"126","Day_1_4",60,"R_31YrTcs39YzlWEt","Day_1",4,"Coul",4,2,55,0,4,1,0,3,2,"Slightly Conservative",47,1,0,0,"Neutral","Conservative",0,"T"
"127","Day_1_4",61,"R_3CEr4rP4b9ubH7V","Day_1",4,"True",7,4,35,1,4,1,0,3,1,"Liberal",60,-2,1,0,"Neutral","Liberal",0,"T"
"128","Day_1_4",1045,"R_3rMJTpw2eyXi87h","Day_1",4,"Misl",1,1,30,1,4,1,0,4,2,"Slightly Liberal",66,-1,0,0,"Neutral","Liberal",0,"T"
"129","Day_1_4",1977,"R_2sUe8vdpMzWQ6V4","Day_1",4,"True",7,4,54,0,4,1,0,2,1,"Slightly Liberal",56,-1,1,0,"Neutral","Liberal",0,"T"
"130","Day_1_4",994,"R_263dRvfYsdO8jbd","Day_1",4,"Misl",3,2,41,0,4,1,0,4,3,"Liberal",61,-2,0,0,"Neutral","Liberal",0,"T"
"131","Day_1_4",105,"R_T5ynVswOt2OjVRL","Day_1",4,"True",5,3,43,0,4,1,0,3,2,"Moderate: Middle of the road",56,0,1,0,"Neutral","Moderate",0,"T"
"132","Day_1_4",66,"R_3eHpYvbOUXaJABj","Day_1",4,"Misl",1,1,30,0,4,1,0,4,3,"Liberal",59,-2,0,0,"Neutral","Liberal",0,"T"
"133","Day_1_4",2007,"R_3QYupCANSk9IRmF","Day_1",4,"Misl",2,2,30,1,4,1,0,2,2,"Moderate: Middle of the road",54,0,0,0,"Neutral","Moderate",0,"T"
"134","Day_1_4",1038,"R_3Kwj6A2aBFbRYDJ","Day_1",4,"True",5,3,41,0,4,1,0,3,1,"Moderate: Middle of the road",49,0,1,0,"Neutral","Moderate",0,"T"
"135","Day_1_4",2010,"R_3syUgK2rJa4iFJ5","Day_1",4,"Misl",1,2,37,0,4,1,0,5,1,"Extremely Conservative",45,3,0,0,"Neutral","Conservative",0,"T"
"136","Day_1_4",1039,"R_3lud9cKSaIihlMi","Day_1",4,"True",6,3,36,1,4,1,0,4,3,"Slightly Conservative",65,1,1,0,"Neutral","Conservative",0,"T"
"137","Day_1_4",1001,"R_2B2I0tfdYLLWaDz","Day_1",4,"True",5,3,33,1,4,1,0,4,1,"Extremely Liberal",59,-3,1,0,"Neutral","Liberal",0,"T"
"138","Day_1_4",72,"R_3I4XfQnYB0IEkNZ","Day_1",4,"Misl",7,1,27,1,4,1,0,4,3,"Liberal",40,-2,0,0,"Neutral","Liberal",0,"T"
"139","Day_1_4",33,"R_27BUxX1hrag93bU","Day_1",4,"True",3,4,35,0,4,1,0,4,2,"Liberal",56,-2,1,0,"Neutral","Liberal",0,"T"
"140","Day_1_4",34,"R_27mzK8fKw0Cbyo4","Day_1",4,"Misl",3,2,33,0,4,1,0,3,1,"Conservative",54,2,0,0,"Neutral","Conservative",0,"T"
"141","Day_1_4",976,"R_1K9F5L3BKUsOua6","Day_1",4,"Coul",4,3,46,0,4,1,0,2,2,"Conservative",28,2,0,0,"Neutral","Conservative",0,"T"
"142","Day_1_4",89,"R_D34sAmKvq9ujWTf","Day_1",4,"Coul",4,3,30,1,4,1,0,2,1,"Extremely Liberal",50,-3,0,0,"Neutral","Liberal",0,"T"
"143","Day_1_4",37,"R_2axn6JVgiduOlyF","Day_1",4,"True",6,4,25,1,4,1,0,2,2,"Liberal",51,-2,1,0,"Neutral","Liberal",0,"T"
"144","Day_1_4",1008,"R_2PAnNpcbbNdhqR0","Day_1",4,"True",5,3,32,1,4,1,0,4,3,"Moderate: Middle of the road",42,0,1,0,"Neutral","Moderate",0,"T"
"145","Day_1_4",2033,"R_vOk3KIG6Brou7ol","Day_1",4,"True",7,4,34,1,4,1,0,3,1,"Liberal",50,-2,1,0,"Neutral","Liberal",0,"T"
