"","ResponseId","Article_day","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Ideology_Score","Treat_Search","True_Dummy","Article","X","Search_Online"
"32","R_1eQvvOFUMmoeZ1R","Jun 8_5","1401","0","T",7,1,29,1,0,0,"1","24.4166666666667","4.4","-2",0,1,"5",2865,0
"33","R_1EXuzXKWZmcicvj","Jun 3_5","1346","0","FM",4,3,37,0,2,0,"0","23.7666666666667","1.8","0",0,0,"5",2743,0
"34","R_1eXW8W63zo1SqGf","Jun 8_5","1404","0","FM",1,5,39,0,2,0,"1","19.5","5","0",0,0,"5",2874,0
"35","R_1f0EOwd3YIxX7Fi","Jun 22_4","1228","0","T",6,4,67,0,3,0,"1","15.1333333333333","3.4","0",0,1,"4",3455,0
"36","R_1fjTtVc48yAz159","Jun 3_4","1315","0","CND",4,4,67,0,1,0,"0","16.55","2.9","-1",0,0,"4",2735,0
"37","R_1flawP8WKleSlLi","Jun 22_4","1243","0","T",4,2,19,1,1,0,"0","40.85","3.2","0",0,1,"4",3542,1
"38","R_1Fnx9XIh2osqOuL","Jun 15_4","963","0","FM",1,3,22,1,1,0,"1","9.48333333333333","3.6","-2",0,0,"4",3190,1
"39","R_1FrNmpVgCJXyWMi","Jun 1_5","770","0","CND",4,4,38,0,1,0,"0","18.1833333333333","4.2","1",0,0,"5",2569,0
"40","R_1GB8J0phJ4om5ge","Jun 17_4","1088","0","CND",4,3,75,1,0,0,"0","22.8","4","0",0,0,"4",3242,0
"41","R_1gdrg9aDqIFUe4m","Jun 3_5","1337","0","T",7,1,69,1,3,0,"1","38.3","4","0",0,1,"5",2682,0
"42","R_1GHaBzZQ85eqk4w","Jun 1_5","765","0","FM",3,2,60,0,0,0,"0","20.3","1.8","3",0,0,"5",2557,0
"43","R_1gMFUafBBBoHAn3","Jun 17_5","1141","0","FM",4,3,23,0,3,0,"1","14.7166666666667","3.2","2",0,0,"5",3322,0
"44","R_1gT2Uyec5ZzCfZd","Jun 1_5","774","0","CND",5,2,35,0,0,0,"0","15.0166666666667","4.9","-2",0,0,"5",2581,0
"45","R_1GZ9auLaxxudRcx","Jun 10_5","859","0","T",6,3,28,0,2,0,"1","20.8833333333333","3.4","-1",0,1,"5",3023,0
"46","R_1H2lFdw4t3O7LIn","Jun 17_4","1109","0","T",5,2,71,0,1,0,"0","45.25","3.8","1",0,1,"4",3318,0
"47","R_1HeovHyh9UITRCF","Jun 15_4","942","0","T",6,2,69,1,0,0,"0","27.7333333333333","4.3","3",0,1,"4",3090,0
"48","R_1hGrQ6hESdtuqtC","Jun 10_4","829","0","FM",4,1,69,0,0,0,"0","24.8833333333333","3.5","0",0,0,"4",3029,0
"49","R_1hLovSfZF3MpHlz","Jun 3_4","1310","0","T",7,4,33,0,1,0,"1","21.2333333333333","4.4","1",0,1,"4",2706,0
"50","R_1HoFetm84B9e9m9","May 28_5","1447","0","T",7,1,55,0,1,0,"0","31.6166666666667","4.7","1",0,1,"5",2392,1
"51","R_1HUEYXDw5s3m60p","Jun 1_4","750","0","T",6,1,20,0,1,0,"0","12.85","3.8","-1",0,1,"4",2593,0
"52","R_1hywesAsdRzVKPW","Jun 22_4","1236","0","T",7,3,22,1,0,0,"0","19.75","4.6","-2",0,1,"4",3492,1
"53","R_1hyzr2WX66lNUts","Jun 10_4","827","0","T",6,4,70,1,1,0,"0","25.7833333333333","3.9","2",0,1,"4",3020,0
"54","R_1ifxsUGpvkltYQV","Jun 17_4","1118","0","CND",5,2,37,1,0,0,"0","33.3","4.2","-1",0,0,"4",3356,0
"55","R_1IGxhtApwOH5MZv","Jun 3_4","1311","0","T",5,1,61,1,0,0,"0","56.6","3.2","1",0,1,"4",2711,0
"56","R_1Ihgp81JCkQovVX","May 28_5","1469","0","FM",3,3,46,1,1,0,"0","17.1833333333333","4","2",0,0,"5",2508,0
"57","R_1Ii5Hnua1tRauZY","Jun 1_4","745","0","CND",5,3,45,1,2,0,"0","26.3833333333333","5","0",0,0,"4",2555,0
"58","R_1IK0d11qIgw7DRP","Jun 10_4","823","0","T",7,3,34,0,0,0,"0","10.8","5","3",0,1,"4",3004,0
"59","R_1IQbWANamqOnqkG","Jun 3_5","1352","0","T",7,2,42,1,0,0,"0","60","3.2","0",0,1,"5",2754,0
"60","R_1IYGx0VlA8Hm4HV","Jun 1_5","768","0","T",6,5,34,0,3,0,"0","14.8166666666667","4.7","1",0,1,"5",2563,0
"61","R_1IyYaO5gO9eT1nS","Jun 17_4","1117","0","T",5,4,33,1,0,0,"0","14.1","3.4","1",0,1,"4",3352,0
"62","R_1Iz7Ljx1uzLSomH","Jun 3_5","1340","0","T",6,4,66,1,2,NA,"0","29.45","2.5",NA,0,1,"5",2694,0
"63","R_1jHx5W0AgIBXRK1","Jun 8_5","1407","0","T",6,3,74,1,0,0,"1","13.1166666666667","2.4","2",0,1,"5",2886,0
"64","R_1jivM6qXwCi6MOq","Jun 10_4","839","0","T",6,1,21,1,0,0,"0","37.8","3.7","0",0,1,"4",3076,0
"65","R_1JJB4apjj05kiqa","Jun 10_4","833","0","T",5,1,19,1,1,0,"1","14.0333333333333","3.7","0",0,1,"4",3047,0
"66","R_1jJq3G9ToNhR4zr","May 28_5","1443","0","T",7,1,51,0,2,0,"0","26.15","3.4","0",0,1,"5",2379,0
"67","R_1JXdJ7Rr9GXlcY3","Jun 3_4","1314","0","T",7,1,67,0,0,0,"0","22.95","4.7","1",0,1,"4",2733,0
"68","R_1k0119hwZAF9HjD","Jun 15_4","949","0","T",6,4,78,0,3,0,"1","17","2.7","-2",0,1,"4",3125,0
"69","R_1K0AVmTk5U1vsza","Jun 1_5","772","0","T",7,0,33,0,0,0,"0","58.3833333333333","4","-2",0,1,"5",2575,0
"70","R_1K1oHllSKyqsdzX","Jun 22_4","1240","0","T",7,3,32,1,2,0,"0","37.1166666666667","4.6","3",0,1,"4",3529,0
"71","R_1KfqvicrsmSr56g","Jun 8_4","1363","0","CND",4,0,18,0,0,0,"1","60","3.3","-3",0,0,"4",2809,1
"72","R_1KkHUMCV5pFNjfW","May 28_4","1429","0","FM",3,3,66,0,0,0,"1","25.6166666666667","4.9","-2",0,0,"4",2434,0
"73","R_1LhQoN44amwHYU1","Jun 17_4","1123","0","T",3,2,39,1,2,0,"0","19.4166666666667","2.1","2",0,1,"4",3384,0
"74","R_1LHUeDUWypUjKXq","Jun 3_4","1295","0","T",5,4,42,0,3,0,"0","23.8166666666667","3.3","2",0,1,"4",2666,0
"75","R_1LHXfL4fsOvZTw5","Jun 10_5","871","0","CND",4,2,37,1,0,0,"0","9.06666666666667","4.7","0",0,0,"5",3071,0
"76","R_1LHXNaFdEYtou6u","May 28_5","1464","0","T",6,4,40,0,2,0,"0","42.15","4.2","2",0,1,"5",2491,0
"77","R_1M5iY6FaNYq3O0H","Jun 10_4","825","0","T",6,4,39,0,2,0,"0","36.9666666666667","4.6","3",0,1,"4",3017,0
"78","R_1M5QZQpaSwAyHNy","Jun 15_5","990","0","T",5,1,18,1,2,0,"1","24.3333333333333","4.2","0",0,1,"5",3204,0
"79","R_1mDx2WqUL4qusRu","May 28_4","1419","0","T",6,3,32,0,3,0,"0","36.2833333333333","4","-1",0,1,"4",2385,0
"80","R_1mgsCSfRfqwSpgH","Jun 10_5","857","0","T",6,3,40,0,0,0,"0","36.3","4.1","0",0,1,"5",3013,0
"81","R_1MSzWOUnEFZKxC5","Jun 22_5","1263","0","T",5,3,20,1,1,0,"0","13.5","3.2","2",0,1,"5",3514,0
"82","R_1mUeQk6jzJ7vnsg","May 28_5","1441","0","T",7,2,62,1,1,0,"1","15.1333333333333","3.4","0",0,1,"5",2368,0
"83","R_1NmhwtDo7juaTyP","Jun 10_4","803","0","T",6,5,72,0,3,0,"1","20.7833333333333","2.3","-2",0,1,"4",2935,0
"84","R_1Nwy3eAkZnvfQxh","Jun 8_4","1361","0","T",7,5,30,0,1,0,"0","23.45","4.3","-3",0,1,"4",2802,0
"85","R_1o5U1KqaqgHKTSV","Jun 22_4","1220","0","T",7,4,40,0,3,0,"1","33.2666666666667","4.8","0",0,1,"4",3407,1
"86","R_1OIHCUOMClKNrfm","Jun 3_5","1325","0","T",7,2,34,1,1,0,"0","30.2333333333333","4.3","0",0,1,"5",2630,0
"87","R_1OmCXpp6mkqjhpn","Jun 10_4","811","0","T",4,2,20,1,0,0,"1","10.8166666666667","3.4","-2",0,1,"4",2952,1
"88","R_1OOwVQGUS8cSxjX","Jun 10_4","821","0","FM",3,1,45,0,0,0,"1","11.1333333333333","2.6","3",0,0,"4",2990,0
"89","R_1opWByJDLdTsoZv","Jun 17_4","1098","0","T",5,3,57,0,1,0,"1","27.4833333333333","1.7","0",0,1,"4",3289,0
"90","R_1PdFKHVZmTJ86en","Jun 15_5","985","0","T",7,3,22,0,1,0,"0","6.53333333333333","4.3","0",0,1,"5",3178,0
"91","R_1pJqc40WEeXde7A","Jun 3_4","1304","0","CND",4,3,22,0,1,0,"0","8.9","4.7","0",0,0,"4",2691,0
"92","R_1qamqr6WF8bQsuu","Jun 10_5","858","0","T",7,4,25,0,2,0,"0","6.1","3.7","1",0,1,"5",3021,0
"93","R_1QcM0LnC0ZYfU3H","Jun 10_4","806","0","T",7,2,75,0,1,0,"1","29.1","3","2",0,1,"4",2942,0
"94","R_1qdGS51jY7XR4Tg","Jun 17_4","1094","0","T",7,4,75,0,0,0,"1","39.2333333333333","3.6","-2",0,1,"4",3265,0
"95","R_1QsgzZGDYUrXCMU","Jun 15_4","948","0","CND",5,2,59,1,0,0,"0","14.3333333333333","1.9","-3",0,0,"4",3117,0
"96","R_1QsIeerboHsYsNe","Jun 8_4","1383","0","CND",4,3,35,1,1,0,"0","30.4166666666667","3.5","0",0,0,"4",2929,0
"97","R_1r02BLSDSNwx5ZC","May 28_5","1461","0","T",6,0,NA,1,0,0,"0","35.35","3.8","0",0,1,"5",2466,0
"98","R_1r7TUpz7FjovKtG","Jun 15_4","957","0","T",7,3,29,0,1,0,"0","28.45","4.8","-3",0,1,"4",3157,1
"99","R_1rH8SN9jtSeSlVY","Jun 3_5","1323","0","T",6,3,54,1,0,0,"0","17.55","3.9","0",0,1,"5",2626,0
"100","R_21apWH87rO2B9Mc","Jun 22_5","1261","0","T",7,4,36,1,1,0,"1","21.2666666666667","4.5","3",0,1,"5",3503,0
"101","R_21GSofoJaysGXF0","Jun 15_4","952","0","CND",5,1,71,1,1,0,"1","21.0333333333333","4.6","2",0,0,"4",3137,0
"102","R_21vVAaz5TwWtyVv","Jun 8_4","1379","0","T",7,1,61,1,1,0,"0","30.3","3.7","2",0,1,"4",2889,0
"103","R_22EUvhXW0UVdUhC","Jun 8_4","1377","0","T",6,3,62,0,1,0,"1","56.2333333333333","1.9","1",0,1,"4",2881,0
"104","R_22Kx9UVqKll1p16","Jun 3_4","1309","0","T",6,4,60,0,1,0,"1","14.9666666666667","5","-2",0,1,"4",2703,0
"105","R_22s67cowN2FB2Ma","Jun 22_4","1238","0","T",5,4,36,1,2,0,"0","21.85","5","0",0,1,"4",3510,0
"106","R_22sQrTJGHjrjodc","Jun 8_4","1378","0","T",6,2,77,1,0,0,"1","11.9833333333333","4.6","2",0,1,"4",2884,0
"107","R_238pcbRdkHHSsDN","Jun 3_4","1299","0","T",6,1,19,1,1,0,"1","25.4","2.9","0",0,1,"4",2677,0
"108","R_23aGTEAe3EsK7wu","Jun 17_5","1137","0","FM",2,3,70,0,0,0,"0","42.2","3","2",0,0,"5",3304,0
"109","R_23eKt208yDJToUw","Jun 3_5","1329","0","T",7,2,60,1,0,0,"0","24.2","2.8","0",0,1,"5",2641,0
"110","R_23f12juUH6NOdY7","May 28_4","1432","0","CND",5,3,60,0,0,0,"0","36.4833333333333","2.5","2",0,0,"4",2454,0
"111","R_24CKUKkkGGBSgq1","May 28_5","1467","0","FM",4,2,63,1,2,0,"1","24.1333333333333","4.3","2",0,0,"5",2504,0
"112","R_25NoLFgkdNaF5xR","Jun 3_5","1333","0","T",7,1,36,1,2,0,"0","60","3.6","-1",0,1,"5",2670,1
"113","R_268XDZ276HP474k","Jun 8_5","1399","0","T",6,1,22,1,1,0,"0","13.1666666666667","4.3","1",0,1,"5",2862,0
"114","R_27CE0SFmfEmjd23","Jun 3_5","1327","0","CND",4,3,71,1,0,0,"0","29.6166666666667","1.5","-1",0,0,"5",2636,0
"115","R_27ezl8FA2R0Zf9Q","Jun 1_4","747","0","FM",4,2,42,0,0,0,"1","48.7666666666667","4.2","1",0,0,"4",2574,1
"116","R_27KH2BJBl09t5tZ","Jun 10_5","867","0","T",5,3,32,1,1,0,"0","27.6","4.6","0",0,1,"5",3054,0
"117","R_27srLxP0OmKDGTQ","Jun 22_4","1230","0","T",6,3,67,0,2,0,"0","25.2333333333333","4","-1",0,1,"4",3466,0
"118","R_27xH4sq7tRSqfzf","Jun 15_4","956","0","T",6,3,72,0,2,0,"1","20.6","3.9","2",0,1,"4",3156,0
"119","R_28CyAHE4lh3WcBG","Jun 22_5","1269","0","FM",3,2,28,1,1,0,"1","8.93333333333333","3.1","0",0,0,"5",3543,0
"120","R_28M5Z1sJuZIDrLG","Jun 17_4","1121","0","CND",4,1,30,1,0,0,"0","16.0666666666667","3.2","-2",0,0,"4",3379,0
"121","R_28RFkDxYlioxzBw","Jun 17_5","1152","0","T",6,1,18,1,1,0,"0","30.1833333333333","3.9","1",0,1,"5",3385,1
"122","R_29amoRm4kx2pbEU","Jun 10_5","869","0","CND",4,1,28,1,0,0,"0","9.33333333333333","3.2","0",0,0,"5",3061,0
"123","R_29uZuahnBzyNgrL","Jun 17_5","1129","0","T",6,4,65,1,1,0,"1","31.9666666666667","2.6","3",0,1,"5",3253,0
"124","R_2AMDuhDvxEW01lk","Jun 10_4","836","0","CND",6,1,28,1,0,0,"0","15.85","4.3","3",0,0,"4",3067,0
"125","R_2anOm9EVPaTaQS6","Jun 15_4","965","0","FM",2,1,20,0,2,0,"0","21.25","4.3","-3",0,0,"4",3195,0
"126","R_2axfSlHMdD18yAK","Jun 8_4","1369","0","T",5,4,66,0,0,0,"1","38.1166666666667","4.3","2",0,1,"4",2838,0
"127","R_2bIW3PrUSVyHDr6","Jun 1_5","769","0","CND",4,4,71,0,1,0,"0","22","3.3","2",0,0,"5",2568,0
"128","R_2BrNAQ9UvK3rTum","Jun 10_5","850","0","CND",5,1,49,0,0,0,"0","15.7333333333333","3.2","-2",0,0,"5",2977,0
"129","R_2bUBBarelKgQ0Ny","Jun 17_4","1089","0","CND",4,3,62,1,2,0,"0","17.8","4","3",0,0,"4",3243,1
"130","R_2ByvFRGV3PASFrx","Jun 3_5","1334","0","CND",4,2,25,0,2,0,"1","32.0666666666667","3.8","0",0,0,"5",2671,0
"131","R_2c7T5zoPo2TKw3b","Jun 1_4","743","0","T",7,4,35,0,2,0,"0","18.1","3.8","0",0,1,"4",2552,1
"132","R_2CdEM7Hc30IPpmv","May 28_4","1435","0","T",5,2,50,0,2,0,"0","14.2833333333333","3.7","2",0,1,"4",2481,0
"133","R_2Ce0T9WVOFu381R","Jun 3_4","1320","0","FM",4,0,45,1,0,0,"0","45.6833333333333","3.7","-3",0,0,"4",2768,0
"134","R_2citlw9qHOgoZlL","Jun 15_4","946","0","T",6,3,22,1,3,0,"1","10.3833333333333","4.9","0",0,1,"4",3113,0
"135","R_2ClDQSiYcQsKK0e","Jun 15_5","974","0","T",6,3,62,1,0,0,"0","60","2.8","-1",0,1,"5",3102,0
"136","R_2cpY7iYlqqJmqDm","Jun 1_5","778","0","T",4,3,70,0,2,0,"1","12.55","3.1","-2",0,1,"5",2614,0
"137","R_2Cs5JZBxX3pm2ym","Jun 10_5","846","0","T",4,2,27,0,0,0,"0","14.9","3.5","0",0,1,"5",2957,0
"138","R_2CUomBxqmN2lpjQ","Jun 3_5","1335","0","T",4,3,35,1,1,0,"0","34.3666666666667","4.8","-2",0,1,"5",2673,0
"139","R_2cwKNMwSTmISreG","Jun 15_5","975","0","T",6,3,61,0,0,0,"1","26.5666666666667","5","0",0,1,"5",3112,0
"140","R_2dAztZKnZ48dB4t","Jun 8_4","1372","0","T",4,3,36,1,1,0,"1","21.55","3.2","-2",0,1,"4",2854,0
"141","R_2dg7LgyWp7b3gNS","Jun 22_5","1257","0","T",5,1,21,1,1,0,"1","10.5166666666667","3","0",0,1,"5",3474,1
"142","R_2djfriBfidSa9kG","Jun 3_5","1349","0","CND",4,1,42,0,0,0,"0","35.1666666666667","2.2","0",0,0,"5",2746,0
"143","R_2dLqIdnrrEHlxIX","Jun 10_5","875","0","T",5,1,18,1,1,0,"0","11.4666666666667","3.2","0",0,1,"5",3082,0
"144","R_2dMYardSw8L5FcN","Jun 17_5","1125","0","FM",5,3,37,0,3,0,"0","14.1166666666667","4.5","0",0,0,"5",3232,1
"145","R_2e8oXVM2TH0cKVg","Jun 22_4","1229","0","T",7,5,41,0,3,0,"1","12.0333333333333","4.7","-2",0,1,"4",3459,1
"146","R_2ebfN3vSdj5ZNCR","Jun 22_5","1258","0","T",4,2,18,1,1,1,"0","8.01666666666667","3","-3",0,1,"5",3475,1
"147","R_2f0u5Ymr3ATIVPk","Jun 10_5","844","0","CND",4,2,51,1,0,0,"0","11.2333333333333","3","0",0,0,"5",2955,0
"148","R_2f0VNhiECG410EI","Jun 1_5","773","0","T",6,4,66,0,1,0,"0","50.5833333333333","4.7","-3",0,1,"5",2580,0
"149","R_2f70tvTtFzpqfOT","Jun 22_5","1267","0","CND",4,2,38,1,0,0,"0","36.3666666666667","5","0",0,0,"5",3525,0
"150","R_2fDMoFimsmUeZET","Jun 1_5","762","0","T",6,3,46,1,1,0,"0","41.2","4.8","-2",0,1,"5",2544,0
"151","R_2fekbMT9Y2dxWLv","May 28_5","1442","0","FM",2,3,41,0,1,0,"1","24.9833333333333","4","0",0,0,"5",2372,0
"152","R_2fIDI2TRodHvo9S","Jun 10_4","809","0","T",6,3,64,0,0,0,"1","19.65","4.5","-1",0,1,"4",2947,0
"153","R_2fm4oLNQzB7UNR3","Jun 17_5","1144","0","CND",5,3,44,1,1,0,"1","13.05","4.1","1",0,0,"5",3348,0
"154","R_2fp4eig7LVs6YuK","Jun 1_5","771","0","T",6,2,24,0,1,0,"0","21.8166666666667","4.7","0",0,1,"5",2572,0
"155","R_2i4HRv9F8EXZyeZ","Jun 3_5","1347","0","T",7,1,55,0,0,0,"1","21.7333333333333","4.4","2",0,1,"5",2744,0
"156","R_2P5aQK1MCnFR33D","Jun 15_4","955","0","T",7,5,42,0,2,0,"0","9.95","4.7","3",0,1,"4",3152,0
"157","R_2Ph7ks32xZNtiAV","Jun 10_4","822","0","T",7,5,41,0,3,0,"0","30.85","3.9","-1",0,1,"4",2993,0
"158","R_2pKRsBWEuOlIpy0","Jun 10_5","845","0","T",6,4,51,1,1,0,"0","12.25","3.7","0",0,1,"5",2956,0
"159","R_2pMio7NGm4tG0Qz","Jun 10_4","815","0","T",6,1,50,1,0,0,"1","18.3","4.5","0",0,1,"4",2965,0
"160","R_2PvSeyxm8YWyPdV","Jun 1_4","751","0","T",6,2,38,0,1,0,"1","60","4.7","-3",0,1,"4",2597,0
"161","R_2QrlASggUxS211I","Jun 15_5","972","0","T",6,1,18,0,1,0,"0","27.6833333333333","3.6","1",0,1,"5",3094,0
"162","R_2QzaXURV4CMrVNu","Jun 8_4","1366","0","T",7,4,41,0,2,0,"1","18.3","4.9","-1",0,1,"4",2833,1
"163","R_2R1XVDnbr7Fnusu","Jun 3_5","1326","0","CND",4,1,22,1,0,0,"0","15.4","1.8","0",0,0,"5",2631,1
"164","R_2R22hnQWQHpmjO9","Jun 15_4","960","0","T",7,5,35,0,3,0,"1","33.7","4.5","3",0,1,"4",3176,1
"165","R_2R2j0FrxDUOBvoy","Jun 1_5","775","0","CND",4,2,55,0,1,0,"0","29.5833333333333","3.4","-3",0,0,"5",2598,0
"166","R_2R9WbElaHnx1yFn","Jun 15_5","976","0","T",5,1,60,0,0,0,"0","20.5166666666667","3.6","-1",0,1,"5",3116,0
"167","R_2rA8fVFA2KAbR95","Jun 17_4","1105","0","CND",4,1,45,0,0,0,"0","11.6166666666667","2.4","3",0,0,"4",3309,0
"168","R_2Rb97BNpuFAGf5X","Jun 8_4","1375","0","T",5,2,41,0,0,0,"0","19.8833333333333","4.3","3",0,1,"4",2875,0
"169","R_2rjQEvNF5u7y3FQ","May 28_5","1456","0","T",2,3,32,1,0,0,"0","27.85","3.1","2",0,1,"5",2439,0
"170","R_2S3oLWmMoTVMu1j","Jun 22_5","1248","0","FM",1,3,53,0,1,1,"1","15.45","4","-2",0,0,"5",3416,0
"171","R_2s4Kx4VQSwXP8SB","Jun 17_4","1112","0","T",6,2,51,0,1,0,"1","52.2333333333333","3.8","-1",0,1,"4",3325,0
"172","R_2S5Z7IFfyD0XMJs","Jun 8_5","1414","0","FM",1,3,55,0,2,0,"1","12.7666666666667","5","3",0,0,"5",2912,0
"173","R_2Sf6L0S3xSwh5ih","Jun 10_4","802","0","T",6,1,71,0,0,0,"0","18.0166666666667","1.4","3",0,1,"4",2934,0
"174","R_2t4j618Ggay6Bum","Jun 17_4","1111","0","T",7,3,35,0,2,0,"0","29.0833333333333","4.7","-2",0,1,"4",3324,0
"175","R_2tbMvW0S4hcPRqQ","Jun 17_4","1113","0","CND",4,4,45,0,3,0,"0","10.2166666666667","3.1","0",0,0,"4",3330,0
"176","R_2tDSlLSLFOr0zoH","Jun 3_5","1328","0","T",6,1,19,1,0,0,"0","16.3333333333333","3.2","2",0,1,"5",2637,0
"177","R_2tEk9osEluYtWor","Jun 15_4","966","0","T",7,1,22,1,2,0,"1","20","4.2","0",0,1,"4",3196,0
"178","R_2TFYkJDYiIxjkds","Jun 17_5","1135","0","FM",4,1,69,0,0,0,"0","10.9","3.3","0",0,0,"5",3297,0
"179","R_2tiikUjy4UVE7X1","Jun 3_4","1307","0","T",6,1,62,1,1,0,"0","24.6833333333333","3.4","2",0,1,"4",2699,0
"180","R_2tmTWKTIoiDcpbQ","Jun 15_5","988","0","T",6,1,18,0,2,0,"1","25.1333333333333","3.9","-2",0,1,"5",3184,0
"181","R_2TSMsZD3nPP2zqh","Jun 17_4","1108","0","T",5,1,20,0,3,0,"0","14.85","4.7","-1",0,1,"4",3317,0
"182","R_2uCcxybfTQVA2L4","May 28_5","1463","0","T",5,1,46,0,0,0,"1","42.0666666666667","4.2","0",0,1,"5",2484,0
"183","R_2VmtyTTRSbofFX8","Jun 8_4","1364","0","T",7,3,21,1,1,0,"1","9.26666666666667","3.4","-3",0,1,"4",2823,0
"184","R_2VrU8VupyyF4FcR","Jun 15_4","971","0","T",7,1,39,1,1,0,"0","31.4","4.1","3",0,1,"4",3224,0
"185","R_2Vsc3eo1wQJeKYv","Jun 8_4","1376","0","T",7,3,43,0,1,0,"1","19.2166666666667","4.1","3",0,1,"4",2877,0
