"","ResponseId","Article_day","Category","True_Dummy","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_Eval","Dummy_Ideology","Ideo_Congruence","Income_Score","Education_Score","Dig_Lit_Score","Total_Links","avg_score","Unrel_contain","Total_Rel_85","Total_Unrel_60","Article_Lean"
"28","R_110ZUSS1THz3gx5","Day_11_2","True",1,7,4,23,1,"True","Moderate",0,3,3,58,11,97.7272727272727,0,1,0,"Liberal"
"29","R_110ZUSS1THz3gx5","Day_11_4","True",1,7,4,23,1,"True","Moderate",0,3,3,58,10,85.6,0,0,0,"Neutral"
"30","R_11aKu0pnwMoF1XB","Day_1_2","True",1,7,4,56,0,"True","Liberal",1,1,2,53,8,90.8125,0,0,0,"Liberal"
"31","R_11aKu0pnwMoF1XB","Day_1_3","Misl",0,3,2,56,0,"FM","Liberal",0,1,2,53,2,58.75,1,0,1,"Neutral"
"32","R_11aKu0pnwMoF1XB","Day_1_5","True",1,7,4,56,0,"True","Liberal",0,1,2,53,9,91.3888888888889,0,0,0,"Neutral"
"33","R_124h1ljRZZbHdbU","Day_4_1","Coul",0,4,2,41,1,"No Mode","Moderate",0,1,2,52,22,86.1363636363636,1,0,3,"Conservative"
"34","R_124h1ljRZZbHdbU","Day_4_5","Coul",0,5,3,41,1,"No Mode","Moderate",0,1,2,52,35,90.5142857142857,0,0,0,"Neutral"
"35","R_124pKC1XXZs4IMD","Day_11_1","Coul",0,5,3,19,0,"FM","Conservative",1,2,3,46,10,94.2,0,0,0,"Conservative"
"36","R_124pKC1XXZs4IMD","Day_11_3","True",1,7,4,19,0,"FM","Conservative",1,2,3,46,6,84.5833333333333,1,0,1,"Conservative"
"37","R_124pKC1XXZs4IMD","Day_11_4","True",1,7,4,19,0,"True","Conservative",0,2,3,46,9,94.7222222222222,0,1,0,"Neutral"
"38","R_12Kn34bmiCczsIe","Day_10_3","Misl",0,1,1,37,1,"FM","Liberal",0,1,2,64,10,87.75,0,0,0,"Conservative"
"39","R_12Kn34bmiCczsIe","Day_10_4","True",1,7,4,37,1,"True","Liberal",0,1,2,64,3,100,0,1,0,"Unclear"
"40","R_12Kn34bmiCczsIe","Day_10_5","True",1,7,4,37,1,"True","Liberal",0,1,2,64,8,89.0625,0,0,0,"Neutral"
"41","R_12u7hC5r2XVRlBD","Day_1_3","True",1,6,4,42,1,"FM","Liberal",0,3,4,49,9,94.1666666666667,0,0,0,"Neutral"
"42","R_12u7hC5r2XVRlBD","Day_1_4","Coul",0,4,3,42,1,"FM","Liberal",0,3,4,49,10,89.75,0,0,0,"Neutral"
"43","R_12u7hC5r2XVRlBD","Day_1_5","True",1,7,4,42,1,"True","Liberal",0,3,4,49,9,91.1111111111111,0,0,0,"Neutral"
"44","R_12xacBFD30myNiZ","Day_12_2","True",1,7,4,27,0,"True","Conservative",0,2,4,49,9,88.8333333333333,0,0,0,"Liberal"
"45","R_12xacBFD30myNiZ","Day_12_3","Misl",0,3,2,27,0,"FM","Conservative",1,2,4,49,3,79.1666666666667,1,0,1,"Conservative"
"46","R_12xacBFD30myNiZ","Day_12_5","True",1,4,3,27,0,"True","Conservative",0,2,4,49,9,93.3333333333333,0,0,0,"Neutral"
"47","R_12yuOZ4NAmwedep","Day_10_2","True",1,7,4,30,0,"No Mode","Moderate",0,1,2,58,19,93.6315789473684,0,0,0,"Liberal"
"48","R_12yuOZ4NAmwedep","Day_10_3","True",1,5,3,30,0,"FM","Moderate",0,1,2,58,10,91,1,0,1,"Conservative"
"49","R_12yuOZ4NAmwedep","Day_10_5","True",1,7,4,30,0,"True","Moderate",0,1,2,58,4,96.875,0,1,0,"Neutral"
"50","R_12zCrmxldBqmADN","Day_10_1","True",1,6,4,27,0,"True","Liberal",0,1,2,61,9,91.6111111111111,0,0,0,"Conservative"
"51","R_12zCrmxldBqmADN","Day_10_4","True",1,6,4,27,0,"True","Liberal",0,1,2,61,3,81.5,0,0,0,"Unclear"
"52","R_12zCrmxldBqmADN","Day_10_5","True",1,7,4,27,0,"True","Liberal",0,1,2,61,7,87.8571428571429,0,0,0,"Neutral"
"53","R_1CBX3DzxfYEoiZ0","Day_11_3","True",1,6,3,44,0,"FM","Conservative",1,1,2,55,3,87.5,0,0,0,"Conservative"
"54","R_1CBX3DzxfYEoiZ0","Day_11_4","True",1,7,4,44,0,"True","Conservative",0,1,2,55,10,87.65,0,0,0,"Neutral"
"55","R_1CdTvSZD2SCwCTc","Day_9_2","True",1,7,4,35,0,"True","Liberal",1,2,4,56,10,91.25,0,0,0,"Liberal"
"56","R_1CdTvSZD2SCwCTc","Day_9_3","Coul",0,4,3,35,0,"FM","Liberal",0,2,4,56,4,92.5,0,0,0,"Conservative"
"57","R_1CdTvSZD2SCwCTc","Day_9_4","True",1,7,4,35,0,"True","Liberal",0,2,4,56,9,90.2222222222222,0,0,0,"Neutral"
"58","R_1CfgKmxgGzlDjJ7","Day_9_1","True",1,5,3,30,1,"True","Conservative",1,2,4,31,6,90,0,0,0,"Conservative"
"59","R_1CfgKmxgGzlDjJ7","Day_9_5","True",1,6,3,30,1,"True","Conservative",0,2,4,31,8,92.1875,0,0,0,"Neutral"
"60","R_1Cj5aD3DeplrphD","Day_2_2","True",1,5,4,24,0,"No Mode","Liberal",1,3,4,35,9,95.2222222222222,1,0,1,"Liberal"
"61","R_1Cj5aD3DeplrphD","Day_2_3","True",1,6,4,24,0,"True","Liberal",0,3,4,35,8,84.875,0,0,0,"Neutral"
"62","R_1Cj5aD3DeplrphD","Day_2_4","True",1,6,3,24,0,"True","Liberal",0,3,4,35,5,89.9,0,0,0,"Conservative"
"63","R_1Cl2VC219fy4TG9","Day_10_1","True",1,6,4,34,0,"True","Moderate",0,1,2,54,9,90.2222222222222,0,0,0,"Conservative"
"64","R_1Cl2VC219fy4TG9","Day_10_2","True",1,7,4,34,0,"No Mode","Moderate",0,1,2,54,9,89.0555555555556,0,0,0,"Liberal"
"65","R_1Cl2VC219fy4TG9","Day_10_5","True",1,7,4,34,0,"True","Moderate",0,1,2,54,7,88.9285714285714,0,0,0,"Neutral"
"66","R_1Cr6QLqQcjGmEWV","Day_1_1","True",1,5,3,53,0,"FM","Liberal",0,2,4,57,4,70.5,1,0,1,"Conservative"
"67","R_1Cr6QLqQcjGmEWV","Day_1_3","Misl",0,2,1,53,0,"FM","Liberal",0,2,4,57,5,79,1,0,1,"Neutral"
"68","R_1Cr6QLqQcjGmEWV","Day_1_4","True",1,6,3,53,0,"FM","Liberal",0,2,4,57,8,95,0,0,0,"Neutral"
"69","R_1CvhikLP9b0BabF","Day_2_1","Misl",0,2,2,78,1,"True","Liberal",0,1,5,63,10,79.3,1,0,4,"Conservative"
"70","R_1CvhikLP9b0BabF","Day_2_3","True",1,7,4,78,1,"True","Liberal",0,1,5,63,8,76.1875,1,0,1,"Neutral"
"71","R_1CvhikLP9b0BabF","Day_2_4","True",1,7,4,78,1,"True","Liberal",0,1,5,63,7,91,0,0,0,"Conservative"
"72","R_1d6oC64872yBZPi","Day_5_1","True",1,6,3,25,0,"FM","Liberal",0,2,4,55,3,98.3333333333333,0,1,0,"Conservative"
"73","R_1d6oC64872yBZPi","Day_5_4","True",1,6,3,25,0,"FM","Liberal",0,2,4,55,7,90.7142857142857,0,0,0,"Conservative"
"74","R_1d6oC64872yBZPi","Day_5_5","True",1,7,4,25,0,"True","Liberal",0,2,4,55,5,100,0,1,0,"Neutral"
"75","R_1DBbGoILdVFzBXZ","Day_6_2","True",1,7,4,34,0,"True","Liberal",1,3,5,56,4,89.375,0,0,0,"Liberal"
"76","R_1DBbGoILdVFzBXZ","Day_6_5","Coul",0,4,3,34,0,"CND","Liberal",0,3,5,56,30,85.3833333333333,0,0,0,"Neutral"
"77","R_1dEwXbUvwaIOgwC","Day_9_5","True",1,7,4,62,1,"True","Liberal",0,3,4,59,9,92.2222222222222,0,0,0,"Neutral"
"78","R_1DFFHZYvfjimmAl","Day_1_3","True",1,5,3,36,0,"FM","Liberal",0,3,4,57,15,88.6666666666667,1,0,1,"Neutral"
"79","R_1DFFHZYvfjimmAl","Day_1_5","True",1,7,4,36,0,"True","Liberal",0,3,4,57,6,92.9166666666667,0,0,0,"Neutral"
"80","R_1dGGS3fjHTPIeNa","Day_12_1","True",1,7,4,35,1,"FM","Moderate",0,3,3,57,20,87.65,0,0,0,"Conservative"
"81","R_1dGGS3fjHTPIeNa","Day_12_3","True",1,7,4,35,1,"FM","Moderate",0,3,3,57,19,85.1052631578947,1,0,3,"Conservative"
"82","R_1dGGS3fjHTPIeNa","Day_12_4","True",1,7,4,35,1,"True","Moderate",0,3,3,57,10,87.1,0,0,0,"Conservative"
"83","R_1dK16k7dgLyPHcs","Day_9_1","True",1,6,4,36,1,"True","Conservative",1,1,5,62,17,81.9411764705882,1,0,3,"Conservative"
"84","R_1dK16k7dgLyPHcs","Day_9_3","Misl",0,4,3,36,1,"FM","Conservative",1,1,5,62,17,88.6176470588235,0,0,0,"Conservative"
"85","R_1dK16k7dgLyPHcs","Day_9_4","True",1,7,4,36,1,"True","Conservative",0,1,5,62,33,88.1515151515152,1,0,1,"Neutral"
"86","R_1dnN3CoV0sEMGVE","Day_11_2","True",1,7,4,45,1,"True","Liberal",1,2,4,60,4,95.625,0,1,0,"Liberal"
"87","R_1dnN3CoV0sEMGVE","Day_11_3","True",1,5,3,45,1,"FM","Liberal",0,2,4,60,5,63.5,1,0,2,"Conservative"
"88","R_1dnN3CoV0sEMGVE","Day_11_4","True",1,7,4,45,1,"True","Liberal",0,2,4,60,9,88.7777777777778,0,0,0,"Neutral"
"89","R_1dsghXaQe7bEaf6","Day_10_5","True",1,7,4,44,0,"True","Conservative",0,2,4,45,5,88.5,0,0,0,"Neutral"
"90","R_1DT3Z2M9eYLz8EA","Day_2_1","True",1,7,4,34,0,"True","Conservative",1,1,2,39,4,52.75,1,0,2,"Conservative"
"91","R_1DT3Z2M9eYLz8EA","Day_2_3","True",1,6,3,34,0,"True","Conservative",0,1,2,39,8,76.1875,1,0,1,"Neutral"
"92","R_1DT3Z2M9eYLz8EA","Day_2_4","True",1,7,4,34,0,"True","Conservative",1,1,2,39,5,83.8,0,0,0,"Conservative"
"93","R_1Dx5CC8LBWeQNxR","Day_5_4","Misl",0,1,1,27,1,"FM","Liberal",0,3,4,59,6,73,0,0,0,"Conservative"
"94","R_1dz6tLKCczIHJ23","Day_5_2","True",1,7,4,36,0,"FM","Liberal",1,4,2,58,10,95.5,0,1,0,"Liberal"
"95","R_1dz6tLKCczIHJ23","Day_5_4","Misl",0,1,2,36,0,"FM","Liberal",0,4,2,58,27,82.8888888888889,1,0,3,"Conservative"
"96","R_1dz6tLKCczIHJ23","Day_5_5","True",1,7,4,36,0,"True","Liberal",0,4,2,58,2,93.75,0,1,0,"Neutral"
"97","R_1DzZ42Igcf1hq7D","Day_3_1","True",1,7,4,41,0,"True","Liberal",0,1,2,60,5,96,0,1,0,"Conservative"
"98","R_1DzZ42Igcf1hq7D","Day_3_3","True",1,7,4,41,0,"True","Liberal",0,1,2,60,20,92.2,0,0,0,"Neutral"
"99","R_1DzZ42Igcf1hq7D","Day_3_4","True",1,7,4,41,0,"True","Liberal",0,1,2,60,12,80.875,0,0,0,"Conservative"
"100","R_1EiZlx7SqdknrKq","Day_6_1","True",1,5,4,23,1,"FM","Conservative",1,1,2,43,4,66.625,1,0,1,"Conservative"
"101","R_1EiZlx7SqdknrKq","Day_6_2","True",1,5,3,23,1,"True","Conservative",0,1,2,43,2,91.25,0,0,0,"Liberal"
"102","R_1EiZlx7SqdknrKq","Day_6_4","True",1,6,4,23,1,"FM","Conservative",1,1,2,43,8,84.9375,1,0,1,"Conservative"
"103","R_1eJfNGmx5Y0mzWI","Day_11_1","True",1,7,4,57,1,"FM","Conservative",1,1,4,66,6,59.4166666666667,1,0,3,"Conservative"
"104","R_1eJfNGmx5Y0mzWI","Day_11_2","True",1,5,4,57,1,"True","Conservative",0,1,4,66,23,98.4782608695652,0,0,0,"Liberal"
"105","R_1eJfNGmx5Y0mzWI","Day_11_4","True",1,7,4,57,1,"True","Conservative",0,1,4,66,26,89.8269230769231,0,0,0,"Neutral"
"106","R_1f8GvjVD4YcG08K","Day_4_1","Misl",0,4,2,30,0,"No Mode","Moderate",0,1,3,25,7,83.0714285714286,1,0,1,"Conservative"
"107","R_1f8GvjVD4YcG08K","Day_4_3","Coul",0,3,3,30,0,"FM","Moderate",0,1,3,25,3,23.1666666666667,1,0,2,"Neutral"
"108","R_1f8GvjVD4YcG08K","Day_4_4","True",1,6,4,30,0,"True","Moderate",0,1,3,25,14,92.0357142857143,0,0,0,"Neutral"
"109","R_1F96HD89xMS18pL","Day_11_2","True",1,7,4,60,1,"True","Liberal",1,1,2,45,8,85.9375,0,0,0,"Liberal"
"110","R_1F96HD89xMS18pL","Day_11_3","Misl",0,5,3,60,1,"FM","Liberal",0,1,2,45,26,71.0192307692308,1,0,9,"Conservative"
"111","R_1F96HD89xMS18pL","Day_11_5","True",1,7,4,60,1,"True","Liberal",0,1,2,45,10,92.5,0,0,0,"Neutral"
"112","R_1F9AhzaOGVVYk7N","Day_10_1","Misl",0,4,3,29,1,"True","Moderate",0,3,5,66,22,92.6590909090909,0,0,0,"Conservative"
"113","R_1F9AhzaOGVVYk7N","Day_10_4","True",1,7,4,29,1,"True","Moderate",0,3,5,66,7,78.1428571428571,1,0,1,"Unclear"
"114","R_1F9AhzaOGVVYk7N","Day_10_5","True",1,7,4,29,1,"True","Moderate",0,3,5,66,7,93.9285714285714,0,0,0,"Neutral"
"115","R_1f9gtWqvqX7DD4y","Day_1_3","Misl",0,1,1,31,1,"FM","Liberal",0,2,4,65,2,100,0,1,0,"Neutral"
"116","R_1f9gtWqvqX7DD4y","Day_1_4","True",1,7,3,31,1,"FM","Liberal",0,2,4,65,13,92.8076923076923,0,0,0,"Neutral"
"117","R_1FbKOnfZ3mICgWF","Day_11_1","Misl",0,2,2,38,0,"FM","Liberal",0,2,2,66,7,98.5714285714286,0,1,0,"Conservative"
"118","R_1FbKOnfZ3mICgWF","Day_11_2","True",1,6,4,38,0,"True","Liberal",1,2,2,66,10,98.75,0,1,0,"Liberal"
"119","R_1FbKOnfZ3mICgWF","Day_11_5","True",1,7,4,38,0,"True","Liberal",0,2,2,66,10,91.75,0,0,0,"Neutral"
"120","R_1FbxyYSRmA3h9Z0","Day_8_2","True",1,7,4,40,1,"True","Liberal",1,2,2,66,9,98.6111111111111,0,1,0,"Liberal"
"121","R_1FbxyYSRmA3h9Z0","Day_8_4","True",1,7,4,40,1,"True","Liberal",0,2,2,66,11,88.3181818181818,0,0,0,"Neutral"
"122","R_1FbxyYSRmA3h9Z0","Day_8_5","True",1,7,4,40,1,"No Mode","Liberal",0,2,2,66,9,89.1111111111111,1,0,1,"Neutral"
"123","R_1fjF8uhJM4Mkvek","Day_1_4","True",1,5,3,27,0,"FM","Liberal",0,1,2,58,20,95.875,0,1,0,"Neutral"
"124","R_1fjF8uhJM4Mkvek","Day_1_5","True",1,7,4,27,0,"True","Liberal",0,1,2,58,9,96.1111111111111,0,0,0,"Neutral"
"125","R_1fk3ExEYy98Dd5W","Day_2_1","True",1,7,4,49,0,"True","Moderate",0,1,2,64,6,56.25,1,0,4,"Conservative"
"126","R_1fk3ExEYy98Dd5W","Day_2_2","True",1,7,4,49,0,"No Mode","Moderate",0,1,2,64,8,98.4375,0,1,0,"Liberal"
"127","R_1fk3ExEYy98Dd5W","Day_2_4","True",1,7,4,49,0,"True","Moderate",0,1,2,64,8,96.875,0,1,0,"Conservative"
"128","R_1FOZtGoGkUzc985","Day_4_1","Misl",0,4,3,35,1,"No Mode","Liberal",0,2,4,61,39,81.025641025641,1,0,8,"Conservative"
"129","R_1FOZtGoGkUzc985","Day_4_2","Misl",0,5,3,35,1,"FM","Liberal",1,2,4,61,170,90.7617647058824,0,0,0,"Liberal"
"130","R_1FOZtGoGkUzc985","Day_4_3","Misl",0,1,1,35,1,"FM","Liberal",0,2,4,61,3,79.6666666666667,0,0,0,"Neutral"
"131","R_1FyL2WMo00auovJ","Day_11_1","True",1,5,3,42,0,"FM","Conservative",1,1,4,53,7,81.2857142857143,1,0,1,"Conservative"
"132","R_1FyL2WMo00auovJ","Day_11_2","Misl",0,2,1,42,0,"True","Conservative",0,1,4,53,14,91.0714285714286,0,0,0,"Liberal"
"133","R_1FyL2WMo00auovJ","Day_11_5","Misl",0,3,2,42,0,"True","Conservative",0,1,4,53,65,90.2230769230769,1,0,1,"Neutral"
"134","R_1gdA9KHqlU0feQe","Day_2_1","True",1,4,3,38,0,"True","Conservative",1,4,5,50,4,64,1,0,2,"Conservative"
"135","R_1gdA9KHqlU0feQe","Day_2_2","True",1,6,4,38,0,"No Mode","Conservative",0,4,5,50,14,92.6785714285714,0,0,0,"Liberal"
"136","R_1gdA9KHqlU0feQe","Day_2_5","Coul",0,2,2,38,0,"True","Conservative",0,4,5,50,4,92.375,0,0,0,"Neutral"
"137","R_1gexZ1oqGVoRnz4","Day_6_1","Misl",0,1,1,32,0,"FM","Liberal",0,1,2,65,8,97.1875,0,1,0,"Conservative"
"138","R_1gexZ1oqGVoRnz4","Day_6_3","Misl",0,6,3,32,0,"No Mode","Liberal",0,1,2,65,4,54.625,1,0,2,"Neutral"
"139","R_1gexZ1oqGVoRnz4","Day_6_5","True",1,7,4,32,0,"CND","Liberal",0,1,2,65,30,85.3,0,0,0,"Neutral"
"140","R_1gHmcRzCty24XY1","Day_7_2","True",1,7,4,36,1,"FM","Conservative",0,3,2,60,9,91.9444444444444,0,0,0,"Liberal"
"141","R_1gHmcRzCty24XY1","Day_7_3","Coul",0,3,2,36,1,"No Mode","Conservative",1,3,2,60,10,92.75,0,0,0,"Conservative"
"142","R_1gHmcRzCty24XY1","Day_7_5","True",1,6,3,36,1,"True","Conservative",0,3,2,60,9,95.2777777777778,0,0,0,"Neutral"
"143","R_1gM7t0U8Q3BvsgB","Day_10_1","True",1,5,3,34,0,"True","Liberal",0,1,2,46,34,92.9117647058823,0,0,0,"Conservative"
"144","R_1gM7t0U8Q3BvsgB","Day_10_2","True",1,7,4,34,0,"No Mode","Liberal",1,1,2,46,30,87.8666666666667,0,0,0,"Liberal"
"145","R_1gM7t0U8Q3BvsgB","Day_10_4","True",1,6,3,34,0,"True","Liberal",0,1,2,46,42,95.1190476190476,0,0,0,"Unclear"
"146","R_1gqmetqopOvHTrs","Day_2_1","True",1,7,4,24,0,"True","Liberal",0,2,5,39,7,58.2142857142857,1,0,4,"Conservative"
"147","R_1gqmetqopOvHTrs","Day_2_2","True",1,5,3,24,0,"No Mode","Liberal",1,2,5,39,8,97.1875,0,1,0,"Liberal"
"148","R_1gqmetqopOvHTrs","Day_2_3","True",1,6,4,24,0,"True","Liberal",0,2,5,39,10,90.65,0,0,0,"Neutral"
"149","R_1gtqeumqir3Fl3t","Day_9_1","True",1,7,4,32,0,"True","Moderate",0,3,4,66,4,84.375,0,0,0,"Conservative"
"150","R_1gtqeumqir3Fl3t","Day_9_2","True",1,7,4,32,0,"True","Moderate",0,3,4,66,8,93.125,0,0,0,"Liberal"
"151","R_1gtqeumqir3Fl3t","Day_9_3","Misl",0,2,2,32,0,"FM","Moderate",0,3,4,66,7,76.6428571428571,1,0,1,"Conservative"
"152","R_1Gv8iAs1HEqGuUe","Day_1_1","Misl",0,1,1,35,1,"FM","Liberal",0,2,4,66,29,91.448275862069,1,0,1,"Conservative"
"153","R_1Gv8iAs1HEqGuUe","Day_1_2","True",1,7,4,35,1,"True","Liberal",1,2,4,66,32,89.1875,0,0,0,"Liberal"
"154","R_1Gv8iAs1HEqGuUe","Day_1_4","True",1,7,4,35,1,"FM","Liberal",0,2,4,66,24,95.3125,0,0,0,"Neutral"
"155","R_1Hhi6x2wmvepUp9","Day_10_1","True",1,7,4,38,0,"True","Moderate",0,2,3,55,15,89.4666666666667,0,0,0,"Conservative"
"156","R_1Hhi6x2wmvepUp9","Day_10_3","True",1,7,4,38,0,"FM","Moderate",0,2,3,55,7,85.2857142857143,0,0,0,"Conservative"
"157","R_1Hhi6x2wmvepUp9","Day_10_5","True",1,7,4,38,0,"True","Moderate",0,2,3,55,6,85,0,0,0,"Neutral"
"158","R_1HiVm0pCUHy73HR","Day_4_2","True",1,7,4,51,0,"True","Liberal",1,2,5,62,20,94.95,0,0,0,"Liberal"
"159","R_1HiVm0pCUHy73HR","Day_4_3","Misl",0,4,3,51,0,"FM","Liberal",0,2,5,62,11,83.3181818181818,0,0,0,"Neutral"
"160","R_1HiVm0pCUHy73HR","Day_4_5","True",1,7,4,51,0,"True","Liberal",0,2,5,62,10,93.5,0,0,0,"Neutral"
"161","R_1hSz0M1k59LEHGQ","Day_12_2","True",1,7,4,21,0,"True","Moderate",0,2,2,31,6,79.8333333333333,0,0,0,"Liberal"
"162","R_1hWouDbgPThmJAQ","Day_9_1","True",1,7,4,46,0,"True","Conservative",1,2,3,61,15,82.2333333333333,1,0,1,"Conservative"
"163","R_1hWouDbgPThmJAQ","Day_9_3","Misl",0,1,1,46,0,"FM","Conservative",1,2,3,61,18,90.9444444444444,0,0,0,"Conservative"
"164","R_1hWouDbgPThmJAQ","Day_9_5","True",1,7,4,46,0,"True","Conservative",0,2,3,61,8,94.6875,0,1,0,"Neutral"
"165","R_1hXaEfZBa7Vgqn9","Day_3_3","True",1,7,4,40,1,"True","Liberal",0,1,2,66,6,92.8333333333333,0,0,0,"Neutral"
"166","R_1hXaEfZBa7Vgqn9","Day_3_4","True",1,7,4,40,1,"True","Liberal",0,1,2,66,5,70.5,1,0,2,"Conservative"
"167","R_1hXaEfZBa7Vgqn9","Day_3_5","True",1,7,4,40,1,"True","Liberal",0,1,2,66,4,86.25,0,0,0,"Neutral"
"168","R_1hz1kFZWpKIf58R","Day_5_3","True",1,7,4,23,0,"FM","Moderate",0,2,4,58,6,92.5,0,1,0,"Conservative"
"169","R_1hz1kFZWpKIf58R","Day_5_4","True",1,6,3,23,0,"FM","Moderate",0,2,4,58,2,87.5,0,1,0,"Conservative"
"170","R_1hz1kFZWpKIf58R","Day_5_5","True",1,7,4,23,0,"True","Moderate",0,2,4,58,7,97.1428571428571,0,1,0,"Neutral"
"171","R_1hZlcXLMmDVZudI","Day_9_3","Coul",0,3,2,30,0,"FM","Conservative",1,2,3,62,10,90.4,0,0,0,"Conservative"
"172","R_1hZlcXLMmDVZudI","Day_9_4","True",1,7,4,30,0,"True","Conservative",0,2,3,62,17,91.4117647058823,0,0,0,"Neutral"
"173","R_1hZlcXLMmDVZudI","Day_9_5","True",1,7,4,30,0,"True","Conservative",0,2,3,62,18,98.0555555555556,0,1,0,"Neutral"
"174","R_1i2Uvli3z2hveS0","Day_2_1","True",1,7,4,51,1,"True","Conservative",1,3,2,57,1,37,1,0,1,"Conservative"
"175","R_1i2Uvli3z2hveS0","Day_2_2","Misl",0,4,2,51,1,"No Mode","Conservative",0,3,2,57,7,96.4285714285714,0,1,0,"Liberal"
"176","R_1i2Uvli3z2hveS0","Day_2_3","True",1,6,4,51,1,"True","Conservative",0,3,2,57,47,94.3085106382979,0,0,0,"Neutral"
"177","R_1i42ciBq8XkJNfQ","Day_4_3","Coul",0,4,2,46,0,"FM","Liberal",0,1,2,42,9,83.7777777777778,0,0,0,"Neutral"
